,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,intoxicaciones,"otras intoxicaciones (drogas, farmacos, etc.)",2011-01-01,0,0,0,0,0,0,0,1,0,2,0,0,0,3,3
AIQUILE,intoxicaciones,"otras intoxicaciones (drogas, farmacos, etc.)",2011-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,intoxicaciones,"otras intoxicaciones (drogas, farmacos, etc.)",2011-01-01,0,0,1,1,0,0,0,0,3,1,0,0,4,2,6
BERMEJO,intoxicaciones,"otras intoxicaciones (drogas, farmacos, etc.)",2011-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
CAMIRI,intoxicaciones,"otras intoxicaciones (drogas, farmacos, etc.)",2011-01-01,0,0,0,0,0,1,0,0,1,2,0,0,1,3,4
CHALLAPATA,intoxicaciones,"otras intoxicaciones (drogas, farmacos, etc.)",2011-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
COBIJA,intoxicaciones,"otras intoxicaciones (drogas, farmacos, etc.)",2011-01-01,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3
COCHABAMBA,intoxicaciones,"otras intoxicaciones (drogas, farmacos, etc.)",2011-01-01,0,0,0,0,1,0,2,8,16,12,1,0,20,20,40
COLCAPIRHUA,intoxicaciones,"otras intoxicaciones (drogas, farmacos, etc.)",2011-01-01,0,0,0,0,0,0,0,2,2,0,0,0,2,2,4
COLPA BELGICA,intoxicaciones,"otras intoxicaciones (drogas, farmacos, etc.)",2011-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
COMARAPA,intoxicaciones,"otras intoxicaciones (drogas, farmacos, etc.)",2011-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CONCEPCION,intoxicaciones,"otras intoxicaciones (drogas, farmacos, etc.)",2011-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COPACABANA,intoxicaciones,"otras intoxicaciones (drogas, farmacos, etc.)",2011-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COROICO,intoxicaciones,"otras intoxicaciones (drogas, farmacos, etc.)",2011-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
COTOCA,intoxicaciones,"otras intoxicaciones (drogas, farmacos, etc.)",2011-01-01,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2
CUATRO CAÑADAS,intoxicaciones,"otras intoxicaciones (drogas, farmacos, etc.)",2011-01-01,0,0,0,0,0,0,1,0,2,0,0,0,3,0,3
EL ALTO,intoxicaciones,"otras intoxicaciones (drogas, farmacos, etc.)",2011-01-01,2,1,3,2,1,2,11,7,15,10,0,0,32,22,54
EL CHORO,intoxicaciones,"otras intoxicaciones (drogas, farmacos, etc.)",2011-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
