municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 9 años,10 a 20 años,21 a 59 años,60 y más,TOTAL
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,fiebre amarilla,2011-01-01,0,0,0,0,0,0,0
CHIMORE,sospecha diagnostica,fiebre amarilla,2011-02-01,0,0,0,0,1,0,1
COCHABAMBA,sospecha diagnostica,fiebre amarilla,2011-02-01,0,0,0,1,0,0,1
ENTRE RIOS CBBA,sospecha diagnostica,fiebre amarilla,2011-02-01,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,fiebre amarilla,2011-02-01,0,0,0,0,0,0,0
TARIJA,sospecha diagnostica,fiebre amarilla,2011-02-01,0,0,0,0,1,0,1
ICLA,sospecha diagnostica,fiebre amarilla,2011-03-01,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,fiebre amarilla,2011-03-01,0,0,0,0,1,0,1
VINTO,sospecha diagnostica,fiebre amarilla,2011-03-01,0,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,fiebre amarilla,2011-04-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,fiebre amarilla,2011-05-01,0,0,0,0,0,0,0
CHIMORE,sospecha diagnostica,fiebre amarilla,2011-06-01,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,fiebre amarilla,2011-06-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,fiebre amarilla,2011-07-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,fiebre amarilla,2011-08-01,0,0,0,0,0,0,0
VILLA TUNARI,sospecha diagnostica,fiebre amarilla,2011-08-01,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,fiebre amarilla,2011-09-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,fiebre amarilla,2011-10-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,fiebre amarilla,2011-11-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,fiebre amarilla,2011-12-01,0,0,0,0,0,0,0
