municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 9 años,10 a 20 años,21 a 59 años,60 y más,TOTAL
COCHABAMBA,sospecha diagnostica,influenza / pandemica,2011-01-01,0,1,0,0,0,0,1
LA PAZ,sospecha diagnostica,influenza / pandemica,2011-01-01,1,2,0,0,2,0,5
POTOSI,sospecha diagnostica,influenza / pandemica,2011-01-01,0,0,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,influenza / pandemica,2011-01-01,0,2,0,4,3,0,9
TARIJA,sospecha diagnostica,influenza / pandemica,2011-01-01,0,0,0,0,1,0,1
COCHABAMBA,sospecha diagnostica,influenza / pandemica,2011-02-01,0,0,0,0,1,1,2
EL ALTO,sospecha diagnostica,influenza / pandemica,2011-02-01,0,0,0,0,1,0,1
LA PAZ,sospecha diagnostica,influenza / pandemica,2011-02-01,0,1,0,0,1,0,2
POTOSI,sospecha diagnostica,influenza / pandemica,2011-02-01,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,influenza / pandemica,2011-02-01,2,0,0,1,0,0,3
VIACHA,sospecha diagnostica,influenza / pandemica,2011-02-01,0,0,1,0,0,0,1
COCHABAMBA,sospecha diagnostica,influenza / pandemica,2011-03-01,0,1,0,0,0,0,1
EL ALTO,sospecha diagnostica,influenza / pandemica,2011-03-01,0,0,0,0,1,0,1
LA PAZ,sospecha diagnostica,influenza / pandemica,2011-03-01,0,5,2,0,2,0,9
POTOSI,sospecha diagnostica,influenza / pandemica,2011-03-01,0,0,0,3,3,1,7
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,influenza / pandemica,2011-03-01,1,0,0,0,2,0,3
COCHABAMBA,sospecha diagnostica,influenza / pandemica,2011-04-01,0,6,0,1,2,0,9
EL ALTO,sospecha diagnostica,influenza / pandemica,2011-04-01,0,0,0,0,1,0,1
LA PAZ,sospecha diagnostica,influenza / pandemica,2011-04-01,4,10,1,1,1,1,18
POTOSI,sospecha diagnostica,influenza / pandemica,2011-04-01,0,0,0,1,2,2,5
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,influenza / pandemica,2011-04-01,4,4,0,1,1,0,10
