,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ANCORAIMES,infec. de transmision sexual,flujo uretral (uretritis),2009-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
BERMEJO,infec. de transmision sexual,flujo uretral (uretritis),2009-01-01,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3
COCHABAMBA,infec. de transmision sexual,flujo uretral (uretritis),2009-01-01,0,0,0,0,0,0,11,0,53,0,8,0,72,0,72
DESAGUADERO,infec. de transmision sexual,flujo uretral (uretritis),2009-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
EL ALTO,infec. de transmision sexual,flujo uretral (uretritis),2009-01-01,0,0,0,0,0,0,4,0,25,0,3,0,32,0,32
LA PAZ,infec. de transmision sexual,flujo uretral (uretritis),2009-01-01,0,0,0,0,1,0,8,0,32,0,5,0,46,0,46
MAGDALENA,infec. de transmision sexual,flujo uretral (uretritis),2009-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
ORURO,infec. de transmision sexual,flujo uretral (uretritis),2009-01-01,0,0,0,0,0,0,2,0,3,0,3,0,8,0,8
POROMA,infec. de transmision sexual,flujo uretral (uretritis),2009-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
POTOSI,infec. de transmision sexual,flujo uretral (uretritis),2009-01-01,0,0,0,0,0,0,2,0,4,0,1,0,7,0,7
PUERTO QUIJARRO,infec. de transmision sexual,flujo uretral (uretritis),2009-01-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
PUERTO SUAREZ,infec. de transmision sexual,flujo uretral (uretritis),2009-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SACABA,infec. de transmision sexual,flujo uretral (uretritis),2009-01-01,0,0,0,0,0,0,1,0,6,0,0,0,7,0,7
SACACA,infec. de transmision sexual,flujo uretral (uretritis),2009-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN CARLOS,infec. de transmision sexual,flujo uretral (uretritis),2009-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
SAN IGNACIO DE VELASCO,infec. de transmision sexual,flujo uretral (uretritis),2009-01-01,0,0,0,0,0,0,2,0,3,0,0,0,5,0,5
SAN RAFAEL,infec. de transmision sexual,flujo uretral (uretritis),2009-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,infec. de transmision sexual,flujo uretral (uretritis),2009-01-01,0,0,0,0,0,0,1,0,15,0,0,0,16,0,16
SUCRE,infec. de transmision sexual,flujo uretral (uretritis),2009-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
TARIJA,infec. de transmision sexual,flujo uretral (uretritis),2009-01-01,0,0,0,0,0,0,1,0,7,0,0,0,8,0,8
