,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACHACACHI,estado nutricional,desnutricion leve (l),2013-01-01,2,1,5,1,6,2,0,0,13,4,17
ACHOCALLA,estado nutricional,desnutricion leve (l),2013-01-01,0,0,0,0,2,0,0,0,2,0,2
AIQUILE,estado nutricional,desnutricion leve (l),2013-01-01,18,8,10,12,6,10,0,0,34,30,64
ALALAY,estado nutricional,desnutricion leve (l),2013-01-01,3,0,1,0,2,1,0,0,6,1,7
ALCALA,estado nutricional,desnutricion leve (l),2013-01-01,1,0,1,0,0,1,0,0,2,1,3
ALTO BENI,estado nutricional,desnutricion leve (l),2013-01-01,0,3,4,1,0,1,0,0,4,5,9
ANCORAIMES,estado nutricional,desnutricion leve (l),2013-01-01,2,2,0,0,0,1,0,0,2,3,5
ANDAMARCA,estado nutricional,desnutricion leve (l),2013-01-01,1,1,0,0,0,0,0,0,1,1,2
ANTEQUERA,estado nutricional,desnutricion leve (l),2013-01-01,1,4,0,0,0,0,0,0,1,4,5
ANZALDO,estado nutricional,desnutricion leve (l),2013-01-01,1,0,1,3,1,1,0,0,3,4,7
APOLO,estado nutricional,desnutricion leve (l),2013-01-01,4,1,2,1,1,3,0,0,7,5,12
ARAMPAMPA,estado nutricional,desnutricion leve (l),2013-01-01,1,1,1,0,3,2,0,0,5,3,8
ARANI,estado nutricional,desnutricion leve (l),2013-01-01,0,3,0,2,1,3,0,0,1,8,9
ARBIETO,estado nutricional,desnutricion leve (l),2013-01-01,1,3,3,1,1,1,0,0,5,5,10
ARQUE,estado nutricional,desnutricion leve (l),2013-01-01,4,2,7,6,5,5,0,0,16,13,29
ASCENCION DE GUARAYOS,estado nutricional,desnutricion leve (l),2013-01-01,11,19,23,18,16,20,0,0,50,57,107
ATOCHA,estado nutricional,desnutricion leve (l),2013-01-01,3,6,9,11,12,11,0,0,24,28,52
AYATA,estado nutricional,desnutricion leve (l),2013-01-01,0,0,2,2,0,2,0,0,2,4,6
AYO AYO,estado nutricional,desnutricion leve (l),2013-01-01,0,0,1,0,0,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,desnutricion leve (l),2013-01-01,0,1,3,0,3,1,0,0,6,2,8
AZURDUY,estado nutricional,desnutricion leve (l),2013-01-01,1,0,3,2,1,0,0,0,5,2,7
BAURES,estado nutricional,desnutricion leve (l),2013-01-01,0,0,0,2,0,1,0,0,0,3,3
BELEN DE ANDAMARCA,estado nutricional,desnutricion leve (l),2013-01-01,1,0,0,0,0,0,0,0,1,0,1
BELEN DE URMIRI,estado nutricional,desnutricion leve (l),2013-01-01,1,0,0,0,0,0,0,0,1,0,1
BELLA FLOR,estado nutricional,desnutricion leve (l),2013-01-01,0,0,1,0,0,0,0,0,1,0,1
BERMEJO,estado nutricional,desnutricion leve (l),2013-01-01,4,9,3,4,1,0,0,0,8,13,21
BETANZOS,estado nutricional,desnutricion leve (l),2013-01-01,4,3,4,5,2,1,0,0,10,9,19
BOLIVAR,estado nutricional,desnutricion leve (l),2013-01-01,1,1,4,3,2,1,0,0,7,5,12
BOYUIBE,estado nutricional,desnutricion leve (l),2013-01-01,0,0,1,1,1,1,0,0,2,2,4
BUENA VISTA,estado nutricional,desnutricion leve (l),2013-01-01,1,0,1,1,0,0,0,0,2,1,3
CAIROMA,estado nutricional,desnutricion leve (l),2013-01-01,1,0,0,0,0,0,0,0,1,0,1
"CAIZA ""D""",estado nutricional,desnutricion leve (l),2013-01-01,1,0,0,0,1,0,0,0,2,0,2
CAJUATA,estado nutricional,desnutricion leve (l),2013-01-01,0,2,0,0,0,0,0,0,0,2,2
CALAMARCA,estado nutricional,desnutricion leve (l),2013-01-01,0,0,1,0,0,1,0,0,1,1,2
CAMARGO,estado nutricional,desnutricion leve (l),2013-01-01,2,1,2,1,1,1,0,0,5,3,8
CAMIRI,estado nutricional,desnutricion leve (l),2013-01-01,0,2,1,0,2,2,0,0,3,4,7
CAPINOTA,estado nutricional,desnutricion leve (l),2013-01-01,2,3,1,1,1,0,0,0,4,4,8
CAQUIAVIRI,estado nutricional,desnutricion leve (l),2013-01-01,0,1,2,1,0,2,0,0,2,4,6
CARACOLLO,estado nutricional,desnutricion leve (l),2013-01-01,2,1,1,0,0,0,0,0,3,1,4
CARANAVI,estado nutricional,desnutricion leve (l),2013-01-01,4,5,9,9,18,15,0,0,31,29,60
CARANGAS,estado nutricional,desnutricion leve (l),2013-01-01,1,0,0,0,0,0,0,0,1,0,1
