,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACHACACHI,estado nutricional,sobrepeso (s),2013-01-01,5,11,2,7,7,3,5,0,19,21,40
ACHOCALLA,estado nutricional,sobrepeso (s),2013-01-01,5,6,5,3,3,4,28,0,41,13,54
AIQUILE,estado nutricional,sobrepeso (s),2013-01-01,10,10,5,5,7,3,13,0,35,18,53
ALALAY,estado nutricional,sobrepeso (s),2013-01-01,0,2,0,0,1,1,1,0,2,3,5
ALCALA,estado nutricional,sobrepeso (s),2013-01-01,1,0,2,0,1,0,3,0,7,0,7
ALTO BENI,estado nutricional,sobrepeso (s),2013-01-01,3,0,1,1,0,1,9,0,13,2,15
ANCORAIMES,estado nutricional,sobrepeso (s),2013-01-01,1,2,0,1,3,1,4,0,8,4,12
ANDAMARCA,estado nutricional,sobrepeso (s),2013-01-01,2,0,0,0,0,0,1,0,3,0,3
ANTEQUERA,estado nutricional,sobrepeso (s),2013-01-01,0,0,0,0,0,0,2,0,2,0,2
ANZALDO,estado nutricional,sobrepeso (s),2013-01-01,0,3,1,2,1,1,0,0,2,6,8
APOLO,estado nutricional,sobrepeso (s),2013-01-01,12,13,8,5,1,5,14,0,35,23,58
ARAMPAMPA,estado nutricional,sobrepeso (s),2013-01-01,1,1,1,2,0,0,1,0,3,3,6
ARANI,estado nutricional,sobrepeso (s),2013-01-01,3,2,2,0,3,0,6,0,14,2,16
ARBIETO,estado nutricional,sobrepeso (s),2013-01-01,3,4,5,2,7,8,5,0,20,14,34
ARQUE,estado nutricional,sobrepeso (s),2013-01-01,8,11,7,6,5,8,16,0,36,25,61
ASCENCION DE GUARAYOS,estado nutricional,sobrepeso (s),2013-01-01,9,7,2,2,3,2,0,0,14,11,25
ATOCHA,estado nutricional,sobrepeso (s),2013-01-01,14,9,5,2,8,1,7,0,34,12,46
AYATA,estado nutricional,sobrepeso (s),2013-01-01,2,0,3,1,3,2,4,0,12,3,15
AYO AYO,estado nutricional,sobrepeso (s),2013-01-01,0,0,0,1,0,0,2,0,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,sobrepeso (s),2013-01-01,5,1,4,3,3,3,13,0,25,7,32
AZURDUY,estado nutricional,sobrepeso (s),2013-01-01,5,8,4,1,4,4,1,0,14,13,27
BATALLAS,estado nutricional,sobrepeso (s),2013-01-01,5,5,3,5,0,0,11,0,19,10,29
BAURES,estado nutricional,sobrepeso (s),2013-01-01,2,1,0,0,2,0,0,0,4,1,5
BELEN DE URMIRI,estado nutricional,sobrepeso (s),2013-01-01,1,0,0,0,0,0,0,0,1,0,1
BELLA FLOR,estado nutricional,sobrepeso (s),2013-01-01,1,1,0,1,3,1,0,0,4,3,7
BERMEJO,estado nutricional,sobrepeso (s),2013-01-01,5,14,5,5,2,1,7,0,19,20,39
BETANZOS,estado nutricional,sobrepeso (s),2013-01-01,1,1,1,0,2,0,10,0,14,1,15
BOLIVAR,estado nutricional,sobrepeso (s),2013-01-01,1,0,0,2,2,2,7,0,10,4,14
BOLPEBRA,estado nutricional,sobrepeso (s),2013-01-01,0,0,0,0,0,0,1,0,1,0,1
BOYUIBE,estado nutricional,sobrepeso (s),2013-01-01,0,1,0,0,0,0,0,0,0,1,1
BUENA VISTA,estado nutricional,sobrepeso (s),2013-01-01,2,0,0,0,0,0,0,0,2,0,2
CABEZAS,estado nutricional,sobrepeso (s),2013-01-01,0,4,0,1,0,0,10,0,10,5,15
CAIROMA,estado nutricional,sobrepeso (s),2013-01-01,2,5,0,1,4,2,4,0,10,8,18
"CAIZA ""D""",estado nutricional,sobrepeso (s),2013-01-01,1,0,0,0,0,0,0,0,1,0,1
CAJUATA,estado nutricional,sobrepeso (s),2013-01-01,5,4,0,2,0,2,2,0,7,8,15
CALACOTO,estado nutricional,sobrepeso (s),2013-01-01,0,0,0,0,0,0,1,0,1,0,1
CALAMARCA,estado nutricional,sobrepeso (s),2013-01-01,1,2,2,2,2,1,12,0,17,5,22
CAMARGO,estado nutricional,sobrepeso (s),2013-01-01,3,1,0,1,5,0,10,0,18,2,20
CAMATAQUI (C. VILLA ABECIA),estado nutricional,sobrepeso (s),2013-01-01,1,0,1,1,0,2,0,0,2,3,5
CAMIRI,estado nutricional,sobrepeso (s),2013-01-01,4,1,0,1,2,3,7,0,13,5,18
CAPINOTA,estado nutricional,sobrepeso (s),2013-01-01,2,1,2,3,1,0,3,0,8,4,12
CAQUIAVIRI,estado nutricional,sobrepeso (s),2013-01-01,0,2,1,1,1,0,1,0,3,3,6
