,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACHACACHI,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,2,0,2,0,2
ALTO BENI,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,5,0,5,0,5
ANCORAIMES,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,1,0,1,0,1
APOLO,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,11,0,11,0,11
ARAMPAMPA,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,7,0,7,0,7
ARBIETO,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,2,0,2,0,2
ARQUE,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,3,0,3,0,3
ATOCHA,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,8,0,8,0,8
AYATA,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,1,0,1,0,1
BATALLAS,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,3,0,3,0,3
BERMEJO,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,1,0,1,0,1
BOLIVAR,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,1,0,1,0,1
BOLPEBRA,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,3,0,3,0,3
CAMIRI,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,14,0,14,0,14
CAPINOTA,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,2,0,2,0,2
CAQUIAVIRI,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,2,0,2,0,2
CARACOLLO,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,3,0,3,0,3
CARIPUYO,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,1,0,1,0,1
CARMEN RIVERO TORREZ,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,3,0,3,0,3
CHALLAPATA,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,5,0,5,0,5
CHUMA,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,2,0,2,0,2
CLIZA,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,1,0,1,0,1
COBIJA,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,8,0,8,0,8
COCAPATA,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,1,0,1,0,1
COCHABAMBA,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,50,0,50,0,50
COLCAPIRHUA,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,1,0,1,0,1
COLPA BELGICA,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,1,0,1,0,1
COLQUECHACA,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,4,0,4,0,4
COLQUENCHA,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,3,0,3,0,3
COMANCHE,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,2,0,2,0,2
CORQUE,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,1,0,1,0,1
COTOCA,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,1,0,1,0,1
DESAGUADERO,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,1,0,1,0,1
EL ALTO,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,150,0,150,0,150
EL VILLAR,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,3,0,3,0,3
ENTRE RIOS TRJ,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,5,0,5,0,5
ENTRE RIOS CBBA,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,5,0,5,0,5
EUREKA (SANTOS MERCADO),estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,2,0,2,0,2
FILADELFIA,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,3,0,3,0,3
GUAYARAMERIN,estado nutricional,embarazada desnutrida,2013-01-01,0,0,0,0,0,0,56,0,56,0,56
