,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
AIQUILE,estado nutricional,desnutricion grave (g),2013-01-01,0,0,0,0,1,0,0,0,1,0,1
ALALAY,estado nutricional,desnutricion grave (g),2013-01-01,1,1,0,0,0,0,0,0,1,1,2
ALTO BENI,estado nutricional,desnutricion grave (g),2013-01-01,1,0,0,0,0,0,0,0,1,0,1
ASCENCION DE GUARAYOS,estado nutricional,desnutricion grave (g),2013-01-01,1,0,2,0,0,0,0,0,3,0,3
AYATA,estado nutricional,desnutricion grave (g),2013-01-01,1,0,0,0,0,0,0,0,1,0,1
BETANZOS,estado nutricional,desnutricion grave (g),2013-01-01,1,0,0,0,0,0,0,0,1,0,1
BOYUIBE,estado nutricional,desnutricion grave (g),2013-01-01,0,0,0,1,0,0,0,0,0,1,1
CAMIRI,estado nutricional,desnutricion grave (g),2013-01-01,0,0,1,0,0,0,0,0,1,0,1
CARANAVI,estado nutricional,desnutricion grave (g),2013-01-01,0,0,0,0,1,0,0,0,1,0,1
CARMEN RIVERO TORREZ,estado nutricional,desnutricion grave (g),2013-01-01,0,0,0,1,0,0,0,0,0,1,1
CHARAGUA,estado nutricional,desnutricion grave (g),2013-01-01,1,0,0,0,0,0,0,0,1,0,1
CHIMORE,estado nutricional,desnutricion grave (g),2013-01-01,1,1,0,0,0,0,0,0,1,1,2
CHUMA,estado nutricional,desnutricion grave (g),2013-01-01,1,0,0,0,0,0,0,0,1,0,1
CLIZA,estado nutricional,desnutricion grave (g),2013-01-01,3,0,0,0,1,0,0,0,4,0,4
COBIJA,estado nutricional,desnutricion grave (g),2013-01-01,1,1,1,0,0,2,0,0,2,3,5
COCHABAMBA,estado nutricional,desnutricion grave (g),2013-01-01,4,6,3,4,5,3,0,0,12,13,25
COLLANA,estado nutricional,desnutricion grave (g),2013-01-01,1,0,0,0,0,0,0,0,1,0,1
COLPA BELGICA,estado nutricional,desnutricion grave (g),2013-01-01,1,0,0,0,0,0,0,0,1,0,1
COLQUECHACA,estado nutricional,desnutricion grave (g),2013-01-01,0,0,1,0,0,0,0,0,1,0,1
CUEVO,estado nutricional,desnutricion grave (g),2013-01-01,0,0,1,0,0,0,0,0,1,0,1
CULPINA,estado nutricional,desnutricion grave (g),2013-01-01,1,1,0,0,1,0,0,0,2,1,3
EL ALTO,estado nutricional,desnutricion grave (g),2013-01-01,2,0,0,1,0,2,0,0,2,3,5
EL TORNO,estado nutricional,desnutricion grave (g),2013-01-01,0,0,0,1,0,0,0,0,0,1,1
ENTRE RIOS TRJ,estado nutricional,desnutricion grave (g),2013-01-01,2,1,0,0,0,0,0,0,2,1,3
EUREKA (SANTOS MERCADO),estado nutricional,desnutricion grave (g),2013-01-01,0,1,0,0,0,0,0,0,0,1,1
GENERAL SAAVEDRA,estado nutricional,desnutricion grave (g),2013-01-01,0,1,0,0,0,0,0,0,0,1,1
GUANAY,estado nutricional,desnutricion grave (g),2013-01-01,0,0,0,1,0,0,0,0,0,1,1
GUAYARAMERIN,estado nutricional,desnutricion grave (g),2013-01-01,0,1,3,0,1,0,0,0,4,1,5
HUANUNI,estado nutricional,desnutricion grave (g),2013-01-01,2,0,0,0,0,0,0,0,2,0,2
HUATAJATA,estado nutricional,desnutricion grave (g),2013-01-01,0,1,0,0,0,0,0,0,0,1,1
INCAHUASI,estado nutricional,desnutricion grave (g),2013-01-01,0,0,0,0,0,1,0,0,0,1,1
JESUS DE MACHACA,estado nutricional,desnutricion grave (g),2013-01-01,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,estado nutricional,desnutricion grave (g),2013-01-01,1,0,3,1,1,2,0,0,5,3,8
LLALLAGUA,estado nutricional,desnutricion grave (g),2013-01-01,0,0,0,0,1,0,0,0,1,0,1
MINEROS,estado nutricional,desnutricion grave (g),2013-01-01,2,0,0,0,0,0,0,0,2,0,2
MIZQUE,estado nutricional,desnutricion grave (g),2013-01-01,7,0,0,2,1,1,0,0,8,3,11
MONTEAGUDO,estado nutricional,desnutricion grave (g),2013-01-01,0,0,1,1,0,0,0,0,1,1,2
MOROCHATA,estado nutricional,desnutricion grave (g),2013-01-01,0,0,1,0,0,0,0,0,1,0,1
OCURI,estado nutricional,desnutricion grave (g),2013-01-01,0,1,0,0,0,0,0,0,0,1,1
OKINAWA,estado nutricional,desnutricion grave (g),2013-01-01,1,0,0,0,0,0,0,0,1,0,1
ORURO,estado nutricional,desnutricion grave (g),2013-01-01,1,3,1,0,1,0,0,0,3,3,6
