municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 14 años,15 a 59 años,60 y más,TOTAL
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,paralisis flacida aguda,2005-01-01,0,2,0,0,0,2
HUACARETA,sospecha diagnostica,paralisis flacida aguda,2005-02-01,0,0,1,0,0,1
MONTEAGUDO,sospecha diagnostica,paralisis flacida aguda,2005-02-01,0,0,0,2,0,2
MONTERO,sospecha diagnostica,paralisis flacida aguda,2005-02-01,0,1,1,0,0,2
CAMARGO,sospecha diagnostica,paralisis flacida aguda,2005-03-01,0,0,0,1,0,1
COCHABAMBA,sospecha diagnostica,paralisis flacida aguda,2005-03-01,0,0,1,0,0,1
MONTEAGUDO,sospecha diagnostica,paralisis flacida aguda,2005-03-01,0,0,1,1,0,2
MONTERO,sospecha diagnostica,paralisis flacida aguda,2005-03-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,paralisis flacida aguda,2005-03-01,0,2,0,0,0,2
HUACARETA,sospecha diagnostica,paralisis flacida aguda,2005-04-01,0,1,2,0,0,3
MONTEAGUDO,sospecha diagnostica,paralisis flacida aguda,2005-04-01,0,1,0,0,0,1
SORATA,sospecha diagnostica,paralisis flacida aguda,2005-04-01,0,0,0,1,0,1
MONTEAGUDO,sospecha diagnostica,paralisis flacida aguda,2005-05-01,0,2,1,0,0,3
SAN IGNACIO,sospecha diagnostica,paralisis flacida aguda,2005-05-01,0,0,1,0,0,1
SUCRE,sospecha diagnostica,paralisis flacida aguda,2005-05-01,0,0,1,0,0,1
TARIJA,sospecha diagnostica,paralisis flacida aguda,2005-05-01,0,0,1,0,0,1
COCHABAMBA,sospecha diagnostica,paralisis flacida aguda,2005-06-01,0,0,2,0,0,2
SUCRE,sospecha diagnostica,paralisis flacida aguda,2005-07-01,1,0,0,0,0,1
MONTEAGUDO,sospecha diagnostica,paralisis flacida aguda,2005-08-01,0,0,1,0,0,1
MONTERO,sospecha diagnostica,paralisis flacida aguda,2005-09-01,0,1,0,0,0,1
HUACARETA,sospecha diagnostica,paralisis flacida aguda,2005-10-01,0,2,0,0,0,2
SAN RAMON,sospecha diagnostica,paralisis flacida aguda,2005-10-01,0,1,0,0,0,1
LURIBAY,sospecha diagnostica,paralisis flacida aguda,2005-11-01,0,0,0,1,1,2
PUERTO VILLARROEL,sospecha diagnostica,paralisis flacida aguda,2005-11-01,0,1,0,0,0,1
SAN AGUSTIN,sospecha diagnostica,paralisis flacida aguda,2005-11-01,1,0,0,0,0,1
HUACARETA,sospecha diagnostica,paralisis flacida aguda,2005-12-01,0,1,0,0,0,1
LURIBAY,sospecha diagnostica,paralisis flacida aguda,2005-12-01,0,0,0,0,2,2
