municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 14 años,15 a 59 años,60 y más,TOTAL
COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2005-01-01,1,1,0,0,0,2
EL ALTO,sospecha diagnostica,sarampion / rubeola,2005-01-01,0,0,1,0,0,1
HUANUNI,sospecha diagnostica,sarampion / rubeola,2005-01-01,0,0,1,0,0,1
MONTERO,sospecha diagnostica,sarampion / rubeola,2005-01-01,0,1,0,1,0,2
ORURO,sospecha diagnostica,sarampion / rubeola,2005-01-01,1,0,2,0,0,3
PAMPA GRANDE,sospecha diagnostica,sarampion / rubeola,2005-01-01,0,0,1,0,0,1
PORTACHUELO,sospecha diagnostica,sarampion / rubeola,2005-01-01,0,0,0,1,0,1
POTOSI,sospecha diagnostica,sarampion / rubeola,2005-01-01,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2005-01-01,1,1,1,0,0,3
SUCRE,sospecha diagnostica,sarampion / rubeola,2005-01-01,0,0,1,0,0,1
TARIJA,sospecha diagnostica,sarampion / rubeola,2005-01-01,1,0,0,0,0,1
BUENA VISTA,sospecha diagnostica,sarampion / rubeola,2005-02-01,0,0,0,1,0,1
COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2005-02-01,0,2,0,0,0,2
MONTEAGUDO,sospecha diagnostica,sarampion / rubeola,2005-02-01,1,0,0,0,0,1
QUILLACOLLO,sospecha diagnostica,sarampion / rubeola,2005-02-01,1,0,0,0,0,1
TARIJA,sospecha diagnostica,sarampion / rubeola,2005-02-01,1,0,0,0,0,1
COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2005-03-01,1,0,0,1,0,2
HUAYLLAMARCA,sospecha diagnostica,sarampion / rubeola,2005-03-01,0,0,1,0,0,1
MONTEAGUDO,sospecha diagnostica,sarampion / rubeola,2005-03-01,1,2,0,0,0,3
ORURO,sospecha diagnostica,sarampion / rubeola,2005-03-01,0,0,2,0,0,2
PUNA,sospecha diagnostica,sarampion / rubeola,2005-03-01,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2005-03-01,0,1,1,0,0,2
URIONDO (A. CONCEPCION),sospecha diagnostica,sarampion / rubeola,2005-03-01,22,0,0,0,0,22
CARAPARI,sospecha diagnostica,sarampion / rubeola,2005-04-01,1,0,0,0,0,1
COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2005-04-01,2,0,1,0,0,3
EL ALTO,sospecha diagnostica,sarampion / rubeola,2005-04-01,1,0,0,0,0,1
MAIRANA,sospecha diagnostica,sarampion / rubeola,2005-04-01,0,0,0,1,0,1
POTOSI,sospecha diagnostica,sarampion / rubeola,2005-04-01,0,0,1,0,0,1
QUILLACOLLO,sospecha diagnostica,sarampion / rubeola,2005-04-01,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2005-04-01,0,0,1,0,0,1
SUCRE,sospecha diagnostica,sarampion / rubeola,2005-04-01,0,0,1,0,0,1
BUENA VISTA,sospecha diagnostica,sarampion / rubeola,2005-05-01,0,1,0,0,0,1
