municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 14 años,15 a 59 años,60 y más,TOTAL
COCHABAMBA,sospecha diagnostica,rabia humana,2005-01-01,0.0,0.0,1.0,0.0,0.0,1.0
SUCRE,sospecha diagnostica,rabia humana,2005-02-01,0.0,1.0,0.0,0.0,0.0,1.0
SAN BORJA,sospecha diagnostica,rabia humana,2005-03-01,0.0,0.0,0.0,1.0,0.0,1.0
SUCRE,sospecha diagnostica,rabia humana,2005-03-01,0.0,0.0,0.0,1.0,0.0,1.0
COCHABAMBA,sospecha diagnostica,rabia humana,2005-05-01,0.0,0.0,1.0,0.0,0.0,1.0
TARIJA,sospecha diagnostica,rabia humana,2005-05-01,0.0,0.0,0.0,1.0,0.0,1.0
SUCRE,sospecha diagnostica,rabia humana,2005-06-01,0.0,0.0,1.0,0.0,0.0,1.0
URIONDO (A. CONCEPCION),sospecha diagnostica,rabia humana,2005-06-01,0.0,0.0,0.0,2.0,0.0,2.0
COCHABAMBA,sospecha diagnostica,rabia humana,2005-07-01,0.0,0.0,0.0,1.0,0.0,1.0
SAN BORJA,sospecha diagnostica,rabia humana,2005-08-01,0.0,0.0,0.0,1.0,0.0,1.0
ORURO,sospecha diagnostica,rabia humana,2005-09-01,0.0,0.0,1.0,0.0,0.0,1.0
ORURO,sospecha diagnostica,rabia humana,2005-10-01,0.0,0.0,1.0,0.0,0.0,1.0
EL ALTO,sospecha diagnostica,rabia humana,2005-11-01,0.0,0.0,0.0,0.0,1.0,1.0
MONTEAGUDO,sospecha diagnostica,rabia humana,2005-12-01,0.0,0.0,0.0,0.0,4.0,4.0
VILLA VACA GUZMAN (MUYUPAMPA),sospecha diagnostica,rabia humana,2005-12-01,0.0,0.0,0.0,1.0,0.0,1.0
