municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 14 años,15 a 59 años,60 y más,TOTAL
BERMEJO,sospecha diagnostica,dengue clasico,2005-01-01,0,1,0,2,0,3
BOLPEBRA,sospecha diagnostica,dengue clasico,2005-01-01,0,0,1,1,0,2
BUENA VISTA,sospecha diagnostica,dengue clasico,2005-01-01,0,1,0,3,0,4
CHIMORE,sospecha diagnostica,dengue clasico,2005-01-01,0,0,1,0,0,1
COBIJA,sospecha diagnostica,dengue clasico,2005-01-01,3,18,37,171,5,234
ENTRE RIOS,sospecha diagnostica,dengue clasico,2005-01-01,0,0,0,1,0,1
FILADELFIA,sospecha diagnostica,dengue clasico,2005-01-01,0,0,1,0,0,1
GUANAY,sospecha diagnostica,dengue clasico,2005-01-01,0,0,1,1,1,3
GUAYARAMERIN,sospecha diagnostica,dengue clasico,2005-01-01,1,3,18,64,5,91
IXIAMAS,sospecha diagnostica,dengue clasico,2005-01-01,1,0,3,11,0,15
LA GUARDIA,sospecha diagnostica,dengue clasico,2005-01-01,0,0,1,0,0,1
MONTERO,sospecha diagnostica,dengue clasico,2005-01-01,0,0,0,3,0,3
PALOS BLANCOS,sospecha diagnostica,dengue clasico,2005-01-01,1,2,3,28,2,36
PORTACHUELO,sospecha diagnostica,dengue clasico,2005-01-01,0,0,1,4,1,6
PORVENIR,sospecha diagnostica,dengue clasico,2005-01-01,0,1,12,30,4,47
PUERTO GONZALO MORENO,sospecha diagnostica,dengue clasico,2005-01-01,0,0,1,1,0,2
PUERTO RICO,sospecha diagnostica,dengue clasico,2005-01-01,0,0,0,6,0,6
PUERTO SUAREZ,sospecha diagnostica,dengue clasico,2005-01-01,0,0,0,1,0,1
PUERTO VILLARROEL,sospecha diagnostica,dengue clasico,2005-01-01,0,1,2,2,1,6
REYES,sospecha diagnostica,dengue clasico,2005-01-01,3,5,2,12,2,24
RIBERALTA,sospecha diagnostica,dengue clasico,2005-01-01,96,272,209,583,26,1186
SAN BORJA,sospecha diagnostica,dengue clasico,2005-01-01,0,0,0,7,0,7
SAN BUENA VENTURA,sospecha diagnostica,dengue clasico,2005-01-01,2,3,3,16,0,24
SAN IGNACIO,sospecha diagnostica,dengue clasico,2005-01-01,0,1,4,2,0,7
SAN IGNACIO DE VELASCO,sospecha diagnostica,dengue clasico,2005-01-01,0,0,0,1,0,1
SAN JOAQUIN,sospecha diagnostica,dengue clasico,2005-01-01,0,0,0,1,0,1
SAN MIGUEL DE VELASCO,sospecha diagnostica,dengue clasico,2005-01-01,0,0,0,1,0,1
