municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 14 años,15 a 59 años,60 y más,TOTAL
COCHABAMBA,sospecha diagnostica,fiebre amarilla,2005-01-01,0.0,0.0,0.0,1.0,0.0,1.0
MONTERO,sospecha diagnostica,fiebre amarilla,2005-01-01,0.0,0.0,0.0,1.0,0.0,1.0
PUERTO VILLARROEL,sospecha diagnostica,fiebre amarilla,2005-01-01,0.0,1.0,0.0,0.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,fiebre amarilla,2005-01-01,0.0,0.0,1.0,4.0,0.0,5.0
PUERTO VILLARROEL,sospecha diagnostica,fiebre amarilla,2005-02-01,0.0,0.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,fiebre amarilla,2005-02-01,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,fiebre amarilla,2005-02-01,0.0,1.0,1.0,1.0,0.0,3.0
YAPACANI,sospecha diagnostica,fiebre amarilla,2005-02-01,0.0,1.0,0.0,0.0,0.0,1.0
COCHABAMBA,sospecha diagnostica,fiebre amarilla,2005-03-01,0.0,1.0,0.0,1.0,0.0,2.0
PUERTO VILLARROEL,sospecha diagnostica,fiebre amarilla,2005-03-01,0.0,2.0,0.0,1.0,0.0,3.0
VILLA TUNARI,sospecha diagnostica,fiebre amarilla,2005-03-01,0.0,0.0,0.0,5.0,0.0,5.0
VILLA TUNARI,sospecha diagnostica,fiebre amarilla,2005-04-01,0.0,0.0,0.0,8.0,0.0,8.0
COCHABAMBA,sospecha diagnostica,fiebre amarilla,2005-05-01,0.0,0.0,1.0,0.0,0.0,1.0
POROMA,sospecha diagnostica,fiebre amarilla,2005-05-01,0.0,0.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,fiebre amarilla,2005-06-01,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,fiebre amarilla,2005-06-01,0.0,0.0,0.0,1.0,0.0,1.0
COCHABAMBA,sospecha diagnostica,fiebre amarilla,2005-08-01,0.0,0.0,0.0,1.0,0.0,1.0
PORTACHUELO,sospecha diagnostica,fiebre amarilla,2005-08-01,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,fiebre amarilla,2005-08-01,0.0,0.0,1.0,1.0,0.0,2.0
CARANAVI,sospecha diagnostica,fiebre amarilla,2005-09-01,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,fiebre amarilla,2005-09-01,0.0,0.0,0.0,1.0,0.0,1.0
TIRAQUE (CBBA),sospecha diagnostica,fiebre amarilla,2005-10-01,0.0,0.0,0.0,1.0,0.0,1.0
CARANAVI,sospecha diagnostica,fiebre amarilla,2005-11-01,0.0,0.0,1.0,0.0,0.0,1.0
COCHABAMBA,sospecha diagnostica,fiebre amarilla,2005-11-01,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,fiebre amarilla,2005-11-01,0.0,0.0,0.0,1.0,0.0,1.0
PUERTO VILLARROEL,sospecha diagnostica,fiebre amarilla,2005-12-01,0.0,0.0,0.0,1.0,0.0,1.0
