municipality,group,variable,month,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
EL TORNO,registro de eventos de notificacion inmediata,incendio,2013-01-01,1.0,0.0,0.0,1.0
BOLPEBRA,registro de eventos de notificacion inmediata,incendio,2013-02-01,1.0,6.0,0.0,7.0
CORQUE,registro de eventos de notificacion inmediata,incendio,2013-02-01,1.0,0.0,0.0,1.0
BAURES,registro de eventos de notificacion inmediata,incendio,2013-04-01,1.0,5.0,0.0,6.0
ASCENCION DE GUARAYOS,registro de eventos de notificacion inmediata,incendio,2013-06-01,0.0,5.0,0.0,5.0
EL PUENTE(STC),registro de eventos de notificacion inmediata,incendio,2013-06-01,1.0,6.0,1.0,8.0
RIBERALTA,registro de eventos de notificacion inmediata,incendio,2013-07-01,1.0,7.0,0.0,8.0
BERMEJO,registro de eventos de notificacion inmediata,incendio,2013-08-01,1.0,0.0,0.0,1.0
CORQUE,registro de eventos de notificacion inmediata,incendio,2013-08-01,0.0,0.0,1.0,1.0
ROBORE,registro de eventos de notificacion inmediata,incendio,2013-08-01,1.0,5.0,0.0,6.0
SAN JOSE DE CHIQUITOS,registro de eventos de notificacion inmediata,incendio,2013-08-01,3.0,182.0,0.0,185.0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,incendio,2013-08-01,1.0,60.0,38.0,99.0
TRINIDAD,registro de eventos de notificacion inmediata,incendio,2013-08-01,1.0,2.0,0.0,3.0
CARAPARI,registro de eventos de notificacion inmediata,incendio,2013-09-01,1.0,0.0,0.0,1.0
HUACARETA,registro de eventos de notificacion inmediata,incendio,2013-09-01,1.0,6.0,0.0,7.0
REYES,registro de eventos de notificacion inmediata,incendio,2013-09-01,1.0,9.0,0.0,10.0
ROBORE,registro de eventos de notificacion inmediata,incendio,2013-09-01,1.0,0.0,0.0,1.0
SAN IGNACIO DE VELASCO,registro de eventos de notificacion inmediata,incendio,2013-09-01,4.0,0.0,0.0,4.0
SAN JOSE DE CHIQUITOS,registro de eventos de notificacion inmediata,incendio,2013-09-01,2.0,181.0,0.0,183.0
