municipality,group,variable,month,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
CHIPAYA,registro de eventos de notificacion inmediata,riada,2013-01-01,5.0,729.0,0.0,734.0
EL PUENTE(TJA),registro de eventos de notificacion inmediata,riada,2013-01-01,2.0,320.0,0.0,322.0
EL VILLAR,registro de eventos de notificacion inmediata,riada,2013-01-01,29.0,28.0,0.0,57.0
LAS CARRERAS,registro de eventos de notificacion inmediata,riada,2013-01-01,163.0,0.0,0.0,163.0
TOMINA,registro de eventos de notificacion inmediata,riada,2013-01-01,1.0,3.0,0.0,4.0
YUNCHARA,registro de eventos de notificacion inmediata,riada,2013-01-01,1.0,0.0,0.0,1.0
ALCALA,registro de eventos de notificacion inmediata,riada,2013-02-01,1.0,1.0,1.0,3.0
CHIPAYA,registro de eventos de notificacion inmediata,riada,2013-02-01,28.0,1020.0,0.0,1048.0
TIQUIPAYA,registro de eventos de notificacion inmediata,riada,2013-02-01,1.0,0.0,0.0,1.0
TIRAQUE (CBBA),registro de eventos de notificacion inmediata,riada,2013-08-01,1.0,50.0,0.0,51.0
MOJOCOYA,registro de eventos de notificacion inmediata,riada,2013-11-01,1.0,117.0,0.0,118.0
SAN BUENA VENTURA,registro de eventos de notificacion inmediata,riada,2013-11-01,1.0,2365.0,0.0,2366.0
COTAGAITA,registro de eventos de notificacion inmediata,riada,2013-12-01,1.0,4.0,0.0,5.0
