municipality,group,variable,month,< de 1 año-H,< de 1 año-M,1 a 4 años-H,1 a 4 años-M,5 a 14 años-H,5 a 14 años-M,15 a 59 años-H,15 a 59 años-M,60 y más-H,60 y más-M,TOTAL-H,TOTAL-M,TOTAL
ACHACACHI,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,0,0.0,2,0.0,2,0.0,0,0.0,4,,
APOLO,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
ASCENCION DE GUARAYOS,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,0,0.0,0,0.0,2,,0,0.0,2,,
BATALLAS,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,0,0.0,2,0.0,0,0.0,1,0.0,3,,
BERMEJO,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,0,0.0,1,,0,0.0,0,0.0,1,,
CAJUATA,inmunoprevenibles,parotiditis,2006-01-01,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,2,,
CARANAVI,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,1,,0,0.0,0,0.0,0,0.0,1,,
COCHABAMBA,inmunoprevenibles,parotiditis,2006-01-01,2,0.0,3,0.0,4,0.0,2,0.0,0,0.0,11,,
COLCAPIRHUA,inmunoprevenibles,parotiditis,2006-01-01,1,,0,0.0,0,0.0,0,0.0,0,0.0,1,,
COLPA BELGICA,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,0,0.0,1,,0,0.0,0,0.0,1,,
CORIPATA,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
EL ALTO,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,2,0.0,18,0.0,7,0.0,0,0.0,27,,
EL TORNO,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,0,0.0,1,,0,0.0,0,0.0,1,,
LA PAZ,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,2,0.0,4,0.0,4,0.0,0,0.0,10,,
LAJA,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,0,0.0,1,,0,0.0,0,0.0,1,,
LLALLAGUA,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,2,,
MAGDALENA,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,0,0.0,2,0.0,2,0.0,0,0.0,4,,
MOCOMOCO,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,0,0.0,1,0.0,1,0.0,0,0.0,2,,
OKINAWA,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,2,0.0,2,0.0,0,0.0,0,0.0,4,,
ORURO,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,2,0.0,0,0.0,2,0.0,0,0.0,4,,
POTOSI,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,1,,0,0.0,0,0.0,0,0.0,1,,
PUERTO PEREZ,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,0,0.0,1,0.0,1,0.0,0,0.0,2,,
PUNA,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,1,,0,0.0,0,0.0,0,0.0,1,,
PUNATA,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
QUILLACOLLO,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,2,0.0,1,0.0,0,0.0,0,0.0,3,,
RIBERALTA,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,2,0.0,1,0.0,0,0.0,0,0.0,3,,
SACABA,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,0,0.0,1,,0,0.0,0,0.0,1,,
SAN IGNACIO,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,1,,0,0.0,0,0.0,0,0.0,1,,
SAN IGNACIO DE VELASCO,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,1,,0,0.0,0,0.0,0,0.0,1,,
SAN JOSE DE CHIQUITOS,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
SAN PEDRO DE BUENA VISTA,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,0,0.0,1,0.0,1,0.0,0,0.0,2,,
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
SAPAHAQUI,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
SUCRE,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,1,0.0,0,0.0,3,0.0,0,0.0,4,,
TARABUCO,inmunoprevenibles,parotiditis,2006-01-01,0,0.0,1,,0,0.0,0,0.0,0,0.0,1,,
