,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ALTO BENI,otras infecciones,leishmaniasis sospechosos,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
BERMEJO,otras infecciones,leishmaniasis sospechosos,2010-01-01,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3
CARANAVI,otras infecciones,leishmaniasis sospechosos,2010-01-01,0,0,1,0,0,0,3,1,5,1,0,1,9,3,12
CHULUMANI (V. DE LA LIBERTAD),otras infecciones,leishmaniasis sospechosos,2010-01-01,0,0,1,0,0,1,1,2,0,1,2,0,4,4,8
COCHABAMBA,otras infecciones,leishmaniasis sospechosos,2010-01-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
CORIPATA,otras infecciones,leishmaniasis sospechosos,2010-01-01,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2
EL TORNO,otras infecciones,leishmaniasis sospechosos,2010-01-01,0,0,0,0,0,0,5,0,13,1,0,0,18,1,19
ENTRE RIOS CBBA,otras infecciones,leishmaniasis sospechosos,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2
FILADELFIA,otras infecciones,leishmaniasis sospechosos,2010-01-01,0,0,0,0,0,0,0,2,3,0,0,0,3,2,5
GUANAY,otras infecciones,leishmaniasis sospechosos,2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
GUAYARAMERIN,otras infecciones,leishmaniasis sospechosos,2010-01-01,0,0,0,0,0,0,1,0,3,0,0,0,4,0,4
IXIAMAS,otras infecciones,leishmaniasis sospechosos,2010-01-01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LA ASUNTA,otras infecciones,leishmaniasis sospechosos,2010-01-01,0,0,2,0,0,0,6,0,1,3,0,0,9,3,12
LA PAZ,otras infecciones,leishmaniasis sospechosos,2010-01-01,0,0,4,5,0,0,5,3,32,14,7,5,48,27,75
PALOS BLANCOS,otras infecciones,leishmaniasis sospechosos,2010-01-01,0,0,1,1,0,0,2,1,9,0,0,0,12,2,14
PORVENIR,otras infecciones,leishmaniasis sospechosos,2010-01-01,0,1,0,0,0,1,0,0,0,0,1,0,1,2,3
PUERTO VILLARROEL,otras infecciones,leishmaniasis sospechosos,2010-01-01,0,0,0,0,0,0,3,1,1,1,0,1,4,3,7
PUNATA,otras infecciones,leishmaniasis sospechosos,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
RIBERALTA,otras infecciones,leishmaniasis sospechosos,2010-01-01,0,0,0,0,3,0,2,0,1,1,4,0,10,1,11
RURRENABAQUE,otras infecciones,leishmaniasis sospechosos,2010-01-01,0,0,0,0,0,0,1,1,2,2,0,0,3,3,6
SACABA,otras infecciones,leishmaniasis sospechosos,2010-01-01,0,0,0,0,0,0,0,1,2,0,0,0,2,1,3
