,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,otras infecciones,neumonia,2010-01-01,0,1,0,0,0,0,0,0,0,1,0,1,0,3,3
ACHACACHI,otras infecciones,neumonia,2010-01-01,1,2,5,2,1,0,1,1,1,0,3,3,12,8,20
ACHOCALLA,otras infecciones,neumonia,2010-01-01,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2
AIQUILE,otras infecciones,neumonia,2010-01-01,20,7,12,7,0,0,0,0,2,0,0,1,34,15,49
ALALAY,otras infecciones,neumonia,2010-01-01,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2
ALTO BENI,otras infecciones,neumonia,2010-01-01,0,2,1,1,0,0,0,0,0,1,0,0,1,4,5
ANCORAIMES,otras infecciones,neumonia,2010-01-01,0,0,1,0,0,0,0,0,0,0,1,0,2,0,2
ANDAMARCA,otras infecciones,neumonia,2010-01-01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ANTEQUERA,otras infecciones,neumonia,2010-01-01,3,0,0,1,0,0,0,0,0,0,0,0,3,1,4
ANZALDO,otras infecciones,neumonia,2010-01-01,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
APOLO,otras infecciones,neumonia,2010-01-01,0,1,3,1,0,0,0,0,0,0,0,0,3,2,5
ARAMPAMPA,otras infecciones,neumonia,2010-01-01,2,1,2,0,0,0,0,0,0,0,0,0,4,1,5
ARANI,otras infecciones,neumonia,2010-01-01,5,4,6,3,1,0,2,1,0,0,1,0,15,8,23
ARQUE,otras infecciones,neumonia,2010-01-01,9,5,9,7,1,0,1,0,1,0,0,1,21,13,34
ASCENCION DE GUARAYOS,otras infecciones,neumonia,2010-01-01,7,9,2,2,0,0,0,0,0,2,0,1,9,14,23
ATOCHA,otras infecciones,neumonia,2010-01-01,0,0,0,2,1,2,2,3,3,0,0,1,6,8,14
AUCAPATA,otras infecciones,neumonia,2010-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
AYO AYO,otras infecciones,neumonia,2010-01-01,0,0,0,0,0,0,0,0,0,0,3,1,3,1,4
AYOPAYA (V. DE INDEPENDENCIA),otras infecciones,neumonia,2010-01-01,1,2,0,2,0,0,0,0,0,4,1,0,2,8,10
AZURDUY,otras infecciones,neumonia,2010-01-01,9,4,3,6,0,0,0,0,1,1,0,0,13,11,24
BATALLAS,otras infecciones,neumonia,2010-01-01,2,0,0,1,0,0,0,0,0,0,0,0,2,1,3
BELEN DE URMIRI,otras infecciones,neumonia,2010-01-01,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2
BELLA FLOR,otras infecciones,neumonia,2010-01-01,0,0,3,1,0,0,0,1,0,0,0,0,3,2,5
BERMEJO,otras infecciones,neumonia,2010-01-01,11,4,8,6,2,0,1,1,2,6,4,1,28,18,46
