,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ALTO BENI,otras infecciones,leishmaniasis confirmados,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
BERMEJO,otras infecciones,leishmaniasis confirmados,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CAJUATA,otras infecciones,leishmaniasis confirmados,2010-01-01,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2
CARANAVI,otras infecciones,leishmaniasis confirmados,2010-01-01,0,0,1,0,0,0,1,0,4,0,0,0,6,0,6
CHULUMANI (V. DE LA LIBERTAD),otras infecciones,leishmaniasis confirmados,2010-01-01,0,0,1,1,1,2,1,2,2,0,0,0,5,5,10
COBIJA,otras infecciones,leishmaniasis confirmados,2010-01-01,0,0,0,0,0,0,0,0,8,0,0,0,8,0,8
EL TORNO,otras infecciones,leishmaniasis confirmados,2010-01-01,0,0,0,0,0,0,3,0,1,0,0,0,4,0,4
EUREKA (SANTOS MERCADO),otras infecciones,leishmaniasis confirmados,2010-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),otras infecciones,leishmaniasis confirmados,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
GUANAY,otras infecciones,leishmaniasis confirmados,2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
GUAYARAMERIN,otras infecciones,leishmaniasis confirmados,2010-01-01,0,0,0,0,0,0,1,0,3,0,0,0,4,0,4
IRUPANA (VILLA DE LANZA),otras infecciones,leishmaniasis confirmados,2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
IXIAMAS,otras infecciones,leishmaniasis confirmados,2010-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
LA ASUNTA,otras infecciones,leishmaniasis confirmados,2010-01-01,0,0,0,0,0,0,2,0,0,2,0,0,2,2,4
LA PAZ,otras infecciones,leishmaniasis confirmados,2010-01-01,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),otras infecciones,leishmaniasis confirmados,2010-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
PALOS BLANCOS,otras infecciones,leishmaniasis confirmados,2010-01-01,0,0,1,1,0,0,2,1,9,0,0,0,12,2,14
PORVENIR,otras infecciones,leishmaniasis confirmados,2010-01-01,0,1,0,0,0,1,0,0,0,0,1,0,1,2,3
PUERTO GONZALO MORENO,otras infecciones,leishmaniasis confirmados,2010-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
PUERTO VILLARROEL,otras infecciones,leishmaniasis confirmados,2010-01-01,0,0,1,0,0,0,0,0,2,0,0,0,3,0,3
REYES,otras infecciones,leishmaniasis confirmados,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
