,group,variable,month,a. < de 6 meses,a. < de 6 meses,b. 6 m a menor de 1 año,b. 6 m a menor de 1 año,c. 1 - 4 años,c. 1 - 4 años,d. 5 - 9 años,d. 5 - 9 años,e. 10 - 14 años,e. 10 - 14 años,f. 15 - 19 años,f. 15 - 19 años,g. 20 - 39 años,g. 20 - 39 años,h. 40 - 49 años,h. 40 - 49 años,i. 50 - 59 años,i. 50 - 59 años,j. 60 años y más,j. 60 años y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ASCENCION DE GUARAYOS,inmunoprevenibles,hepatitis viral a*,2015-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
AZURDUY,inmunoprevenibles,hepatitis viral a*,2015-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BERMEJO,inmunoprevenibles,hepatitis viral a*,2015-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2
CAMIRI,inmunoprevenibles,hepatitis viral a*,2015-01-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,2,0,2,2,7,9
CARAPARI,inmunoprevenibles,hepatitis viral a*,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHARAGUA,inmunoprevenibles,hepatitis viral a*,2015-01-01,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
COBIJA,inmunoprevenibles,hepatitis viral a*,2015-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2
COCHABAMBA,inmunoprevenibles,hepatitis viral a*,2015-01-01,0,0,0,1,7,4,20,11,4,5,0,1,6,3,0,0,3,0,0,0,40,25,65
COLCAPIRHUA,inmunoprevenibles,hepatitis viral a*,2015-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CONCEPCION,inmunoprevenibles,hepatitis viral a*,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
CORO CORO,inmunoprevenibles,hepatitis viral a*,2015-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EL ALTO,inmunoprevenibles,hepatitis viral a*,2015-01-01,0,0,0,0,3,2,6,4,1,4,0,0,0,0,0,0,0,0,0,1,10,11,21
EL TORNO,inmunoprevenibles,hepatitis viral a*,2015-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GUAYARAMERIN,inmunoprevenibles,hepatitis viral a*,2015-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
HUAYLLAMARCA,inmunoprevenibles,hepatitis viral a*,2015-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LA GUARDIA,inmunoprevenibles,hepatitis viral a*,2015-01-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
LA PAZ,inmunoprevenibles,hepatitis viral a*,2015-01-01,0,0,0,0,2,0,0,0,2,0,0,1,2,1,0,0,0,0,0,1,6,3,9
MAGDALENA,inmunoprevenibles,hepatitis viral a*,2015-01-01,0,0,0,1,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,3,10
MONTEAGUDO,inmunoprevenibles,hepatitis viral a*,2015-01-01,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
MONTERO,inmunoprevenibles,hepatitis viral a*,2015-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
OMEREQUE,inmunoprevenibles,hepatitis viral a*,2015-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
