,group,variable,month,Dentro,Dentro,Fuera,Fuera,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,
CARANAVI,mortalidad,muerte  menor de 5 anos por diarrea,2011-01-01,0,1,0,0,0,1,1
COCHABAMBA,mortalidad,muerte  menor de 5 anos por diarrea,2011-01-01,0,0,0,1,0,1,1
COLQUIRI,mortalidad,muerte  menor de 5 anos por diarrea,2011-01-01,0,0,1,0,1,0,1
EL ALTO,mortalidad,muerte  menor de 5 anos por diarrea,2011-01-01,0,1,0,0,0,1,1
HUANUNI,mortalidad,muerte  menor de 5 anos por diarrea,2011-01-01,0,0,0,1,0,1,1
MONTERO,mortalidad,muerte  menor de 5 anos por diarrea,2011-01-01,0,0,0,1,0,1,1
SACABA,mortalidad,muerte  menor de 5 anos por diarrea,2011-01-01,0,0,1,0,1,0,1
SAN LUCAS,mortalidad,muerte  menor de 5 anos por diarrea,2011-01-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte  menor de 5 anos por diarrea,2011-01-01,0,0,0,0,0,0,0
UNCIA,mortalidad,muerte  menor de 5 anos por diarrea,2011-01-01,0,0,0,1,0,1,1
CAIROMA,mortalidad,muerte  menor de 5 anos por diarrea,2011-02-01,0,1,0,0,0,1,1
CARANAVI,mortalidad,muerte  menor de 5 anos por diarrea,2011-02-01,0,0,0,1,0,1,1
EL ALTO,mortalidad,muerte  menor de 5 anos por diarrea,2011-02-01,0,0,0,1,0,1,1
LA PAZ,mortalidad,muerte  menor de 5 anos por diarrea,2011-02-01,0,1,1,0,1,1,2
SACABA,mortalidad,muerte  menor de 5 anos por diarrea,2011-02-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte  menor de 5 anos por diarrea,2011-02-01,0,0,0,0,0,0,0
SANTUARIO DE QUILLACAS,mortalidad,muerte  menor de 5 anos por diarrea,2011-02-01,0,0,1,0,1,0,1
EL ALTO,mortalidad,muerte  menor de 5 anos por diarrea,2011-03-01,0,0,2,0,2,0,2
LA PAZ,mortalidad,muerte  menor de 5 anos por diarrea,2011-03-01,0,0,1,0,1,0,1
MONTERO,mortalidad,muerte  menor de 5 anos por diarrea,2011-03-01,0,0,1,0,1,0,1
PUERTO VILLARROEL,mortalidad,muerte  menor de 5 anos por diarrea,2011-03-01,0,0,0,1,0,1,1
SACABA,mortalidad,muerte  menor de 5 anos por diarrea,2011-03-01,0,0,0,1,0,1,1
SAN MIGUEL DE VELASCO,mortalidad,muerte  menor de 5 anos por diarrea,2011-03-01,0,0,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,mortalidad,muerte  menor de 5 anos por diarrea,2011-03-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte  menor de 5 anos por diarrea,2011-03-01,0,1,0,0,0,1,1
TOTORA(CBBA),mortalidad,muerte  menor de 5 anos por diarrea,2011-03-01,0,0,1,0,1,0,1
VINTO,mortalidad,muerte  menor de 5 anos por diarrea,2011-03-01,0,0,1,0,1,0,1
FERNANDEZ ALONSO,mortalidad,muerte  menor de 5 anos por diarrea,2011-04-01,0,0,0,4,0,4,4
POTOSI,mortalidad,muerte  menor de 5 anos por diarrea,2011-04-01,1,0,0,0,1,0,1
SACABA,mortalidad,muerte  menor de 5 anos por diarrea,2011-04-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte  menor de 5 anos por diarrea,2011-04-01,1,0,0,0,1,0,1
SOPACHUY,mortalidad,muerte  menor de 5 anos por diarrea,2011-04-01,0,0,0,1,0,1,1
TRINIDAD,mortalidad,muerte  menor de 5 anos por diarrea,2011-04-01,0,0,1,0,1,0,1
COCHABAMBA,mortalidad,muerte  menor de 5 anos por diarrea,2011-05-01,2,0,0,0,2,0,2
COLQUECHACA,mortalidad,muerte  menor de 5 anos por diarrea,2011-05-01,0,0,0,1,0,1,1
EL ALTO,mortalidad,muerte  menor de 5 anos por diarrea,2011-05-01,0,1,0,0,0,1,1
EL VILLAR,mortalidad,muerte  menor de 5 anos por diarrea,2011-05-01,0,0,1,0,1,0,1
LA PAZ,mortalidad,muerte  menor de 5 anos por diarrea,2011-05-01,1,0,1,0,2,0,2
SANTA CRUZ DE LA SIERRA,mortalidad,muerte  menor de 5 anos por diarrea,2011-05-01,0,0,0,0,0,0,0
TORO TORO,mortalidad,muerte  menor de 5 anos por diarrea,2011-05-01,0,0,1,0,1,0,1
VILLA TUNARI,mortalidad,muerte  menor de 5 anos por diarrea,2011-05-01,0,0,0,1,0,1,1
YANACACHI,mortalidad,muerte  menor de 5 anos por diarrea,2011-05-01,0,0,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),mortalidad,muerte  menor de 5 anos por diarrea,2011-06-01,0,1,0,0,0,1,1
CARACOLLO,mortalidad,muerte  menor de 5 anos por diarrea,2011-06-01,0,0,0,1,0,1,1
COCHABAMBA,mortalidad,muerte  menor de 5 anos por diarrea,2011-06-01,1,1,0,0,1,1,2
EL ALTO,mortalidad,muerte  menor de 5 anos por diarrea,2011-06-01,0,0,1,0,1,0,1
PUCARANI,mortalidad,muerte  menor de 5 anos por diarrea,2011-06-01,0,0,1,0,1,0,1
RIBERALTA,mortalidad,muerte  menor de 5 anos por diarrea,2011-06-01,0,2,0,0,0,2,2
SACABA,mortalidad,muerte  menor de 5 anos por diarrea,2011-06-01,0,0,1,0,1,0,1
SAN BORJA,mortalidad,muerte  menor de 5 anos por diarrea,2011-06-01,0,1,0,0,0,1,1
SAN RAFAEL,mortalidad,muerte  menor de 5 anos por diarrea,2011-06-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte  menor de 5 anos por diarrea,2011-06-01,0,0,0,0,0,0,0
COBIJA,mortalidad,muerte  menor de 5 anos por diarrea,2011-07-01,0,1,0,0,0,1,1
COPACABANA,mortalidad,muerte  menor de 5 anos por diarrea,2011-07-01,0,0,1,0,1,0,1
EL ALTO,mortalidad,muerte  menor de 5 anos por diarrea,2011-07-01,0,1,1,0,1,1,2
SANTA CRUZ DE LA SIERRA,mortalidad,muerte  menor de 5 anos por diarrea,2011-07-01,0,0,0,0,0,0,0
TRINIDAD,mortalidad,muerte  menor de 5 anos por diarrea,2011-07-01,1,1,0,0,1,1,2
UYUNI,mortalidad,muerte  menor de 5 anos por diarrea,2011-07-01,0,0,0,1,0,1,1
WARNES,mortalidad,muerte  menor de 5 anos por diarrea,2011-07-01,0,0,0,1,0,1,1
COBIJA,mortalidad,muerte  menor de 5 anos por diarrea,2011-08-01,1,0,0,0,1,0,1
EL ALTO,mortalidad,muerte  menor de 5 anos por diarrea,2011-08-01,3,0,2,1,5,1,6
LA PAZ,mortalidad,muerte  menor de 5 anos por diarrea,2011-08-01,1,0,0,0,1,0,1
RIBERALTA,mortalidad,muerte  menor de 5 anos por diarrea,2011-08-01,3,0,0,0,3,0,3
SANTA CRUZ DE LA SIERRA,mortalidad,muerte  menor de 5 anos por diarrea,2011-08-01,0,0,0,0,0,0,0
CONCEPCION,mortalidad,muerte  menor de 5 anos por diarrea,2011-09-01,0,0,1,0,1,0,1
EL ALTO,mortalidad,muerte  menor de 5 anos por diarrea,2011-09-01,0,0,1,1,1,1,2
LA ASUNTA,mortalidad,muerte  menor de 5 anos por diarrea,2011-09-01,0,1,0,0,0,1,1
LA PAZ,mortalidad,muerte  menor de 5 anos por diarrea,2011-09-01,0,1,0,0,0,1,1
PUNATA,mortalidad,muerte  menor de 5 anos por diarrea,2011-09-01,1,0,0,0,1,0,1
SAN LUCAS,mortalidad,muerte  menor de 5 anos por diarrea,2011-09-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte  menor de 5 anos por diarrea,2011-09-01,0,0,0,0,0,0,0
TARVITA,mortalidad,muerte  menor de 5 anos por diarrea,2011-09-01,0,0,0,1,0,1,1
ACHACACHI,mortalidad,muerte  menor de 5 anos por diarrea,2011-10-01,0,0,2,0,2,0,2
COCHABAMBA,mortalidad,muerte  menor de 5 anos por diarrea,2011-10-01,0,1,0,0,0,1,1
COLOMI,mortalidad,muerte  menor de 5 anos por diarrea,2011-10-01,0,0,1,0,1,0,1
EUCALIPTUS,mortalidad,muerte  menor de 5 anos por diarrea,2011-10-01,0,0,1,0,1,0,1
LA PAZ,mortalidad,muerte  menor de 5 anos por diarrea,2011-10-01,0,1,0,0,0,1,1
POROMA,mortalidad,muerte  menor de 5 anos por diarrea,2011-10-01,0,0,0,1,0,1,1
SAN LUCAS,mortalidad,muerte  menor de 5 anos por diarrea,2011-10-01,0,0,1,0,1,0,1
SAN PEDRO DE CURAHUARA,mortalidad,muerte  menor de 5 anos por diarrea,2011-10-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte  menor de 5 anos por diarrea,2011-10-01,0,0,0,0,0,0,0
BUENA VISTA,mortalidad,muerte  menor de 5 anos por diarrea,2011-11-01,0,0,0,1,0,1,1
EL ALTO,mortalidad,muerte  menor de 5 anos por diarrea,2011-11-01,0,0,2,0,2,0,2
LA PAZ,mortalidad,muerte  menor de 5 anos por diarrea,2011-11-01,0,0,1,0,1,0,1
SACABA,mortalidad,muerte  menor de 5 anos por diarrea,2011-11-01,0,0,0,1,0,1,1
SAN IGNACIO DE VELASCO,mortalidad,muerte  menor de 5 anos por diarrea,2011-11-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte  menor de 5 anos por diarrea,2011-11-01,0,0,0,0,0,0,0
WARNES,mortalidad,muerte  menor de 5 anos por diarrea,2011-11-01,0,0,0,1,0,1,1
LA PAZ,mortalidad,muerte  menor de 5 anos por diarrea,2011-12-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte  menor de 5 anos por diarrea,2011-12-01,0,0,0,0,0,0,0
TINGUIPAYA,mortalidad,muerte  menor de 5 anos por diarrea,2011-12-01,0,0,0,1,0,1,1
TRINIDAD,mortalidad,muerte  menor de 5 anos por diarrea,2011-12-01,0,0,0,1,0,1,1
