municipality,group,variable,month,Cantidad,TOTAL
ACHACACHI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,10,10
ACHOCALLA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,1,1
AIQUILE,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,18,18
ANCORAIMES,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,5,5
ANTEQUERA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,2,2
ARANI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,3,3
ARBIETO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,2,2
ASCENCION DE GUARAYOS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,62,62
ATOCHA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,15,15
AUCAPATA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,1,1
AYO AYO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,6,6
BATALLAS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,2,2
BELLA FLOR,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,1,1
BERMEJO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,11,11
BETANZOS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,1,1
BOYUIBE,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,1,1
BUENA VISTA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,1,1
CABEZAS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,9,9
"CAIZA ""D""",salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,1,1
CAJUATA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,4,4
CALAMARCA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,2,2
CAMATAQUI (C. VILLA ABECIA),salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,1,1
CAMIRI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,18,18
CAQUIAVIRI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,3,3
CARACOLLO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,2,2
CARANAVI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,38,38
CARIPUYO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,1,1
CARMEN RIVERO TORREZ,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,3,3
CATACORA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,1,1
CHALLAPATA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,13,13
CHARAGUA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,32,32
CHIMORE,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,18,18
CHIPAYA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,7,7
CHUMA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,1,1
CLIZA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,12,12
COBIJA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,28,28
COCHABAMBA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,534,534
COLCAPIRHUA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,40,40
COLOMI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2009-01-01,33,33
