municipality,group,variable,month,Cantidad,TOTAL
AIQUILE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,7,7
APOLO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,1,1
ASCENCION DE GUARAYOS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,1,1
BERMEJO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,1,1
CALAMARCA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,1,1
CAMIRI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,6,6
CHALLAPATA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,2,2
CHARAGUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,8,8
COBIJA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,1,1
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,29,29
COLCAPIRHUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,1,1
COLQUIRI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,1,1
CONCEPCION,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,1,1
COPACABANA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,4,4
COTOCA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,5,5
EL ALTO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,41,41
EL TORNO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,1,1
FERNANDEZ ALONSO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,1,1
LA PAZ,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,23,23
LLALLAGUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,7,7
MAGDALENA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,3,3
MIZQUE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,1,1
ORURO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,16,16
PAILON,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,1,1
PALOS BLANCOS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,1,1
POTOSI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,9,9
PUERTO SUAREZ,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,1,1
PUERTO VILLARROEL,salud sexual y reproductiva,preeclampsia severa/eclampsia,2008-01-01,3,3
