municipality,group,variable,month,Cantidad,TOTAL
ACHACACHI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,3,3
ACHOCALLA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,8,8
AIQUILE,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,14,14
ANCORAIMES,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,1,1
ANDAMARCA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,1,1
ANTEQUERA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,3,3
APOLO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,6,6
ARANI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,13,13
ARBIETO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,1,1
ASCENCION DE GUARAYOS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,39,39
ATOCHA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,15,15
AYO AYO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,15,15
AZURDUY,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,1,1
BATALLAS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,13,13
BERMEJO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,22,22
BETANZOS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,5,5
BOLPEBRA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,1,1
BUENA VISTA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,11,11
CABEZAS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,9,9
CAIROMA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,5,5
"CAIZA ""D""",salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,1,1
CAJUATA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,9,9
CALACOTO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,1,1
CALAMARCA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,5,5
CAMIRI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,60,60
CAPINOTA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,2,2
CARACOLLO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,8,8
CARANAVI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,29,29
CARMEN RIVERO TORREZ,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,5,5
CHALLAPATA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,62,62
CHARAGUA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,21,21
CHIMORE,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,13,13
CHUMA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,7,7
CLIZA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,11,11
COBIJA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,59,59
COCHABAMBA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,616,616
COLCAPIRHUA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,16,16
COLOMI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,39,39
COLPA BELGICA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,1,1
COLQUECHACA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,1,1
COLQUENCHA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,2,2
COLQUIRI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,9,9
COMANCHE,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,2,2
COMARAPA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,13,13
CONCEPCION,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,5,5
COPACABANA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,6,6
CORIPATA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,7,7
COROICO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,5,5
COTAGAITA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,2,2
COTOCA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,53,53
CULPINA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2008-01-01,4,4
