municipality,group,variable,month,Cantidad,TOTAL
AIQUILE,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,8,8
ANTEQUERA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,1,1
APOLO,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,2,2
ASCENCION DE GUARAYOS,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,3,3
ATOCHA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,4,4
BERMEJO,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,12,12
BETANZOS,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,6,6
BUENA VISTA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,2,2
CAJUATA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,1,1
CALAMARCA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,3,3
CAMIRI,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,8,8
CARANAVI,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,13,13
CHALLAPATA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,19,19
CHIMORE,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,5,5
CHUMA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,1,1
CLIZA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,1,1
COCHABAMBA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,85,85
COLCAPIRHUA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,1,1
COLOMI,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,1,1
COMARAPA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,4,4
CONCEPCION,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,3,3
CORIPATA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,1,1
COTAGAITA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,1,1
COTOCA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,2,2
CULPINA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,3,3
CURAHUARA DE CARANGAS,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,1,1
EL ALTO,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,154,154
EL CHORO,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,1,1
EL TORNO,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,13,13
ENTRE RIOS,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,6,6
ENTRE RIOS,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,5,5
EUCALIPTUS,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,1,1
FERNANDEZ ALONSO,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,1,1
GENERAL SAAVEDRA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,1,1
GUANAY,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,6,6
GUAYARAMERIN,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,7,7
HUANUNI,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,5,5
INCAHUASI,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,2,2
LA ASUNTA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,1,1
LA GUARDIA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,2,2
LA PAZ,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,240,240
LLALLAGUA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,12,12
LLICA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,1,1
MACHACAMARCA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),2008-01-01,1,1
