,group,variable,month,a. Menor de 6 meses,a. Menor de 6 meses,b. 6 m a menor de 1 año,b. 6 m a menor de 1 año,c. 1 - 4 años,c. 1 - 4 años,d. 5 - 9 años,d. 5 - 9 años,e. 10 - 14 años,e. 10 - 14 años,f. 15 - 19 años,f. 15 - 19 años,g. 20 - 39 años,g. 20 - 39 años,h. 40 - 49 años,h. 40 - 49 años,i. 50 - 59 años,i. 50 - 59 años,j. 60 años y más,j. 60 años y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACIO,otras infecciones,ira sin neumonia,2021-01-01,0,1,0,1,7,7,2,2,2,1,0,3,3,8,3,2,1,3,18,22,36,50,86
ACHACACHI,otras infecciones,ira sin neumonia,2021-01-01,9,7,9,11,25,34,25,20,15,27,24,23,58,82,21,26,27,41,121,101,334,372,706
ACHOCALLA,otras infecciones,ira sin neumonia,2021-01-01,11,8,10,4,32,25,22,24,4,15,2,10,20,53,11,21,9,17,39,41,160,218,378
AIQUILE,otras infecciones,ira sin neumonia,2021-01-01,12,5,9,11,24,35,9,8,7,14,4,12,29,25,11,19,10,17,18,18,133,164,297
ALALAY,otras infecciones,ira sin neumonia,2021-01-01,0,1,4,0,2,2,5,1,2,0,0,3,2,2,0,1,0,0,3,1,18,11,29
ALCALA,otras infecciones,ira sin neumonia,2021-01-01,4,5,2,2,15,12,4,6,4,3,0,3,12,13,6,12,4,6,8,10,59,72,131
ALTO BENI,otras infecciones,ira sin neumonia,2021-01-01,5,3,5,6,21,26,8,18,7,8,7,9,28,52,12,17,13,3,29,15,135,157,292
ANCORAIMES,otras infecciones,ira sin neumonia,2021-01-01,5,4,5,4,14,8,6,4,0,7,2,2,10,25,8,9,7,4,44,18,101,85,186
ANDAMARCA,otras infecciones,ira sin neumonia,2021-01-01,1,1,3,4,11,9,11,10,4,3,4,5,5,15,4,9,4,5,18,14,65,75,140
ANTEQUERA,otras infecciones,ira sin neumonia,2021-01-01,1,0,0,1,2,3,7,1,0,3,4,8,17,17,5,2,5,6,6,4,47,45,92
ANZALDO,otras infecciones,ira sin neumonia,2021-01-01,2,1,2,0,11,19,3,2,5,4,0,1,6,12,1,10,4,4,10,33,44,86,130
APOLO,otras infecciones,ira sin neumonia,2021-01-01,6,4,9,7,24,27,13,8,2,5,9,5,20,47,15,22,14,11,30,20,142,156,298
ARAMPAMPA,otras infecciones,ira sin neumonia,2021-01-01,1,1,0,1,4,3,1,1,1,2,0,1,4,3,3,5,2,3,7,9,23,29,52
ARANI,otras infecciones,ira sin neumonia,2021-01-01,2,1,4,2,9,8,2,0,0,1,0,0,4,4,0,2,3,4,7,10,31,32,63
ARBIETO,otras infecciones,ira sin neumonia,2021-01-01,18,11,24,25,67,77,17,21,7,13,5,10,22,53,13,12,3,11,28,28,204,261,465
ARQUE,otras infecciones,ira sin neumonia,2021-01-01,4,7,9,8,36,25,10,5,8,2,7,12,21,23,8,7,8,12,19,29,130,130,260
ASCENCION DE GUARAYOS,otras infecciones,ira sin neumonia,2021-01-01,24,12,32,28,102,91,38,39,23,19,10,18,21,56,8,18,21,13,53,35,332,329,661
ATOCHA,otras infecciones,ira sin neumonia,2021-01-01,8,7,15,8,43,24,20,35,18,15,18,20,64,87,65,57,40,39,50,33,341,325,666
AUCAPATA,otras infecciones,ira sin neumonia,2021-01-01,1,2,3,1,7,4,3,1,6,2,4,2,15,13,7,2,3,0,4,9,53,36,89
AYATA,otras infecciones,ira sin neumonia,2021-01-01,1,1,3,0,6,3,2,7,3,5,1,1,13,13,5,5,9,6,22,22,65,63,128
AYO AYO,otras infecciones,ira sin neumonia,2021-01-01,3,1,1,4,15,13,12,7,4,5,5,4,16,26,10,16,9,16,50,56,125,148,273
AYOPAYA (V. DE INDEPENDENCIA),otras infecciones,ira sin neumonia,2021-01-01,16,14,33,21,56,47,20,9,12,8,12,5,39,71,22,21,20,17,88,82,318,295,613
AZURDUY,otras infecciones,ira sin neumonia,2021-01-01,14,8,5,12,50,45,6,8,2,7,5,15,18,65,11,12,13,16,13,22,137,210,347
BATALLAS,otras infecciones,ira sin neumonia,2021-01-01,5,6,3,3,10,12,2,3,2,0,1,4,3,11,2,5,2,0,17,12,47,56,103
BAURES,otras infecciones,ira sin neumonia,2021-01-01,3,1,4,1,22,33,21,11,15,19,15,14,54,72,29,19,29,27,53,60,245,257,502
BELEN DE ANDAMARCA,otras infecciones,ira sin neumonia,2021-01-01,1,0,0,1,8,2,2,1,6,2,1,2,4,10,7,5,6,4,16,15,51,42,93
BELEN DE URMIRI,otras infecciones,ira sin neumonia,2021-01-01,0,0,2,2,4,3,6,2,1,2,3,1,3,4,6,1,1,1,6,3,32,19,51
BELLA FLOR,otras infecciones,ira sin neumonia,2021-01-01,1,1,5,4,12,8,8,5,3,2,2,2,11,19,2,1,5,3,9,3,58,48,106
BERMEJO,otras infecciones,ira sin neumonia,2021-01-01,21,14,25,18,114,78,73,73,28,38,19,25,79,124,21,39,24,29,46,41,450,479,929
BETANZOS,otras infecciones,ira sin neumonia,2021-01-01,10,10,15,16,64,77,24,22,16,19,12,18,53,75,29,53,32,35,118,101,373,426,799
BOLIVAR,otras infecciones,ira sin neumonia,2021-01-01,4,7,5,3,18,8,3,0,2,2,0,3,3,8,1,2,1,2,7,7,44,42,86
BOLPEBRA,otras infecciones,ira sin neumonia,2021-01-01,0,0,0,1,5,6,7,5,4,4,3,1,8,9,1,1,4,3,1,5,33,35,68
BOYUIBE,otras infecciones,ira sin neumonia,2021-01-01,1,6,4,7,37,27,13,22,5,12,4,7,28,38,8,12,4,7,9,18,113,156,269
BUENA VISTA,otras infecciones,ira sin neumonia,2021-01-01,3,1,8,5,26,22,12,7,6,8,5,5,17,32,7,11,10,14,20,13,114,118,232
CABEZAS,otras infecciones,ira sin neumonia,2021-01-01,16,16,17,16,67,73,37,50,29,33,43,40,80,79,34,43,51,45,49,46,423,441,864
CAIROMA,otras infecciones,ira sin neumonia,2021-01-01,3,9,11,3,25,27,8,9,4,7,10,20,41,42,17,18,24,9,44,37,187,181,368
"CAIZA ""D""",otras infecciones,ira sin neumonia,2021-01-01,8,3,7,7,22,25,11,12,6,4,4,9,22,34,8,8,5,8,23,32,116,142,258
CAJUATA,otras infecciones,ira sin neumonia,2021-01-01,7,8,11,7,19,20,9,6,6,4,3,4,19,40,10,9,11,8,24,13,119,119,238
CALACOTO,otras infecciones,ira sin neumonia,2021-01-01,0,0,1,0,7,2,3,1,2,1,1,5,8,9,5,2,9,5,42,37,78,62,140
CALAMARCA,otras infecciones,ira sin neumonia,2021-01-01,1,1,8,3,19,9,11,7,8,12,1,9,11,24,8,11,9,10,36,36,112,122,234
CAMARGO,otras infecciones,ira sin neumonia,2021-01-01,10,2,5,7,38,24,13,19,12,5,4,12,27,54,19,36,23,28,42,64,193,251,444
CAMATAQUI (C. VILLA ABECIA),otras infecciones,ira sin neumonia,2021-01-01,2,3,1,2,8,5,2,3,2,0,2,4,14,23,0,5,7,1,9,12,47,58,105
CAMIRI,otras infecciones,ira sin neumonia,2021-01-01,13,9,17,21,69,63,14,13,6,4,7,10,18,46,21,21,17,19,63,62,245,268,513
CAPINOTA,otras infecciones,ira sin neumonia,2021-01-01,11,7,6,15,28,39,15,17,5,1,4,3,9,28,3,14,3,11,38,31,122,166,288
CAQUIAVIRI,otras infecciones,ira sin neumonia,2021-01-01,1,4,2,2,9,7,3,6,4,3,4,8,11,22,7,12,10,12,53,62,104,138,242
CARACOLLO,otras infecciones,ira sin neumonia,2021-01-01,9,9,2,7,41,34,23,26,16,10,8,19,37,60,20,20,21,16,54,52,231,253,484
CARANAVI,otras infecciones,ira sin neumonia,2021-01-01,14,8,14,9,44,56,28,29,12,17,13,12,72,104,28,27,27,19,80,54,332,335,667
CARANGAS,otras infecciones,ira sin neumonia,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,4,2,6
CARAPARI,otras infecciones,ira sin neumonia,2021-01-01,9,4,15,7,48,46,37,33,24,31,13,21,74,104,23,43,24,23,43,50,310,362,672
CARIPUYO,otras infecciones,ira sin neumonia,2021-01-01,0,4,1,1,9,10,3,1,1,4,3,3,4,7,8,5,7,5,13,13,49,53,102
CARMEN RIVERO TORREZ,otras infecciones,ira sin neumonia,2021-01-01,3,5,8,11,30,27,19,11,6,7,9,3,2,2,2,3,1,4,6,4,86,77,163
CATACORA,otras infecciones,ira sin neumonia,2021-01-01,0,4,4,2,6,15,4,2,3,6,0,3,10,15,6,4,7,6,15,14,55,71,126
CHACARILLA,otras infecciones,ira sin neumonia,2021-01-01,1,0,1,0,8,7,3,3,9,4,5,4,9,14,6,4,2,3,13,11,57,50,107
CHALLAPATA,otras infecciones,ira sin neumonia,2021-01-01,10,21,7,9,55,30,16,22,4,6,7,7,35,66,20,33,31,16,74,69,259,279,538
CHAQUI,otras infecciones,ira sin neumonia,2021-01-01,7,5,9,12,29,12,7,10,4,8,3,9,22,24,3,7,8,14,32,39,124,140,264
CHARAGUA,otras infecciones,ira sin neumonia,2021-01-01,34,34,62,50,214,174,26,19,6,9,8,19,14,70,9,13,6,7,91,98,470,493,963
CHARAÑA,otras infecciones,ira sin neumonia,2021-01-01,0,0,1,1,4,5,3,4,2,2,0,5,6,11,7,5,6,5,13,21,42,59,101
CHAYANTA,otras infecciones,ira sin neumonia,2021-01-01,13,9,13,10,24,19,16,14,1,4,8,10,31,67,25,21,15,18,27,38,173,210,383
CHIMORE,otras infecciones,ira sin neumonia,2021-01-01,18,24,35,16,91,71,36,30,18,27,16,19,54,108,20,32,19,20,37,32,344,379,723
CHIPAYA,otras infecciones,ira sin neumonia,2021-01-01,3,0,4,4,2,4,3,4,0,2,2,1,4,8,1,3,0,3,4,4,23,33,56
CHOQUE COTA,otras infecciones,ira sin neumonia,2021-01-01,4,0,1,0,1,4,4,1,2,0,0,2,4,7,4,3,4,8,11,19,35,44,79
CHUA COCANI,otras infecciones,ira sin neumonia,2021-01-01,1,1,2,3,0,0,1,1,1,0,0,1,5,11,2,4,2,9,20,10,34,40,74
CHULUMANI (V. DE LA LIBERTAD),otras infecciones,ira sin neumonia,2021-01-01,8,8,8,4,30,26,8,8,3,2,4,4,18,34,11,11,8,10,11,11,109,118,227
CHUMA,otras infecciones,ira sin neumonia,2021-01-01,2,0,3,5,12,8,12,6,1,6,4,6,31,19,10,19,14,14,43,33,132,116,248
CHUQUIHUTA AYLLU JUCUMANI,otras infecciones,ira sin neumonia,2021-01-01,4,2,7,3,9,10,6,7,3,2,5,4,18,20,10,10,7,6,9,16,78,80,158
CKOCHAS,otras infecciones,ira sin neumonia,2021-01-01,4,1,7,7,36,23,13,6,5,3,5,7,19,24,12,8,9,10,32,29,142,118,260
CLIZA,otras infecciones,ira sin neumonia,2021-01-01,2,6,7,7,25,29,7,10,5,9,5,15,19,59,11,18,1,8,23,37,105,198,303
COBIJA,otras infecciones,ira sin neumonia,2021-01-01,37,34,43,38,135,130,57,69,32,42,15,18,107,128,70,64,68,36,41,37,605,596,1201
COCAPATA,otras infecciones,ira sin neumonia,2021-01-01,12,9,14,14,92,80,16,15,7,7,5,13,27,52,14,15,14,12,67,70,268,287,555
COCHABAMBA,otras infecciones,ira sin neumonia,2021-01-01,156,148,234,213,740,652,294,295,150,168,135,157,753,1017,380,461,295,360,548,524,3685,3995,7680
COIPASA,otras infecciones,ira sin neumonia,2021-01-01,1,0,1,1,2,1,3,0,6,1,0,0,7,7,0,1,2,1,6,7,28,19,47
COLCAPIRHUA,otras infecciones,ira sin neumonia,2021-01-01,5,5,4,12,38,19,17,21,11,18,11,14,56,111,26,43,25,46,39,41,232,330,562
"COLCHA ""K""",otras infecciones,ira sin neumonia,2021-01-01,6,7,10,4,35,16,6,16,5,10,2,6,36,55,17,25,11,12,41,54,169,205,374
