municipality,group,variable,month,Cantidad,TOTAL
ANCORAIMES,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
BOYUIBE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
CAIROMA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
CAJUATA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,2,2
CAMIRI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,12,12
CHALLAPATA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,5,5
CHARAGUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
COBIJA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,3,3
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,19,19
CONCEPCION,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
CORO CORO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
COTAGAITA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
EL ALTO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,32,32
EL PUENTE(STC),salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
ENTRE RIOS CBBA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
GUAYARAMERIN,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,10,10
LA PAZ,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,46,46
LAGUNILLAS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
MACHACAMARCA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
MINEROS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,15,15
MONTERO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,11,11
ORURO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,27,27
PALOS BLANCOS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
POCOATA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
POTOSI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,6,6
PUERTO QUIJARRO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
PUERTO VILLARROEL,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,30,30
RIBERALTA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,5,5
ROBORE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,2,2
SACABA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
SAN CARLOS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
SAN IGNACIO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
SAN IGNACIO DE VELASCO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,6,6
SAN MIGUEL DE VELASCO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,2,2
SAN PEDRO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,2,2
SANTA ANA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,5,5
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,70,70
SIPE SIPE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
SORATA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
SUCRE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,6,6
TARIJA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,12,12
TARVITA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
TIQUIPAYA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
TRINIDAD,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,4,4
VILLA TUNARI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,3,3
WARNES,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-01-01,1,1
ANCORAIMES,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-02-01,1,1
CAJUATA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-02-01,1,1
CAMIRI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-02-01,14,14
CHALLAPATA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-02-01,3,3
CHARAGUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-02-01,1,1
COBIJA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-02-01,2,2
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-02-01,27,27
CONCEPCION,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-02-01,2,2
COROICO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2013-02-01,1,1
