municipality,group,variable,month,Cantidad,TOTAL
ACHACACHI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,7,7
ACHOCALLA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,5,5
AIQUILE,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,19,19
ALTO BENI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,2,2
ANCORAIMES,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,3,3
APOLO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,14,14
ARAMPAMPA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,1,1
ARANI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,7,7
ARBIETO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,12,12
ASCENCION DE GUARAYOS,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,16,16
ATOCHA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,2,2
AYATA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,1,1
AYO AYO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,2,2
AZURDUY,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,2,2
BELEN DE ANDAMARCA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,1,1
BERMEJO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,6,6
BETANZOS,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,13,13
BOLPEBRA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,3,3
BOYUIBE,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,1,1
BUENA VISTA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,11,11
CABEZAS,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,33,33
CAJUATA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,2,2
CALACOTO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,1,1
CAMARGO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,7,7
CAMIRI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,27,27
CAPINOTA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,11,11
CAQUIAVIRI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,1,1
CARACOLLO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,11,11
CARANAVI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,31,31
CARAPARI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2013-01-01,1,1
