municipality,group,variable,month,Cantidad,TOTAL
ACHOCALLA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,1,1
AIQUILE,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,5,5
ARANI,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,1,1
BERMEJO,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,2,2
BETANZOS,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,1,1
CABEZAS,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,1,1
"CAIZA ""D""",salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,1,1
CALAMARCA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,2,2
CAPINOTA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,1,1
CHALLAPATA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,1,1
CHAYANTA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,1,1
CHIMORE,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,1,1
COBIJA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,1,1
COCHABAMBA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,53,53
COLQUECHACA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,1,1
CONCEPCION,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,2,2
COTAGAITA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,3,3
COTOCA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,1,1
CUATRO CAÑADAS,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,3,3
EL ALTO,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,44,44
EL TORNO,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,7,7
EL VILLAR,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,1,1
ESCOMA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,1,1
GUANAY,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,1,1
GUAYARAMERIN,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,2,2
HUACHACALLA,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,1,1
HUANUNI,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22,2013-01-01,3,3
