,group,variable,month,a. Menor de 6 meses,a. Menor de 6 meses,b. 6 meses a menor de 1 año,b. 6 meses a menor de 1 año,c. 1 - 4 años,c. 1 - 4 años,d. 5 - 9 años,d. 5 - 9 años,e. 10 - 14 años,e. 10 - 14 años,f. 15 - 19 años,f. 15 - 19 años,g. 20 - 39 años,g. 20 - 39 años,h. 40 - 49 años,h. 40 - 49 años,i. 50 - 59 años,i. 50 - 59 años,j. 60 años y más,j. 60 años y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
AIQUILE,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
ARANI,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2
ARBIETO,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,2,2,4
AYOPAYA (V. DE INDEPENDENCIA),enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,5,5
BERMEJO,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
BETANZOS,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,3
BOYUIBE,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CHAYANTA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3,5
CHIMORE,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COBIJA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,2,2,4
COCHABAMBA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,1,1,3,3,0,1,1,5,2,3,15,26,7,5,4,12,17,36,50,92,142
COLCAPIRHUA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,1,2,6,2,13,15
COLOMI,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
CONCEPCION,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
CORIPATA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COTAGAITA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,3
COTOCA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,2,5,3,8
CUCHUMUELA (V. G. VILLARROEL),enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
CUEVO,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EL PUENTE(TJA),enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
EL TORNO,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,1,0,1,0,1,0,3,2,2,0,3,2,1,1,12,5,17
ENTRE RIOS CBBA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,3,3,5,8
FERNANDEZ ALONSO,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
GENERAL SAAVEDRA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
INCAHUASI,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
LA PAZ,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,3,4
MIZQUE,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,1,0,1,3,5,8
MONTERO,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,8,16,12,21,33
OMEREQUE,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2
ORURO,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
PAMPA GRANDE,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,1,6
POJO (CBBA),enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PORTACHUELO,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,7,7
POTOSI,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,3,0,3,2,10,0,1,2,8,3,7,7,32,39
PUERTO VILLARROEL,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,3,1,1,6,5,11
PUNATA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2
QUILLACOLLO,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,3
RAVELO,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
RIBERALTA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,3
ROBORE,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SACABA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,4,3,8,7,15
SAMAIPATA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN BENITO,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN JULIAN,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
SAN PEDRO,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2
SAN PEDRO DE BUENA VISTA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN RAMON SCZ,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,5,9,3,4,1,1,2,2,3,2,1,8,16,78,38,55,37,57,95,124,201,340,541
SHINAOTA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,2,3,5
SIPE SIPE,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,2,0,1,0,3,0,13,13
SORATA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUCRE,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,1,0,0,0,1,0,0,0,0,3,10,4,9,6,5,16,20,29,46,75
TAPACARI,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
TARABUCO,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,4,2,6
TARATA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,1,6,7
TARIJA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,3,2,5
TARVITA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,2,4
TIQUIPAYA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,3,4
TIRAQUE (CBBA),enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
TOLATA,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,5,3,8
TORO TORO,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,2,0,0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,3,0,4,7,11
TOTORA(CBBA),enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1,1,0,0,2,0,4,6,10
TRINIDAD,enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
URIONDO (A. CONCEPCION),enfermedades transmitidas por vectores (etv),chagas agudo,2019-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
