,group,variable,month,a. < de 6 meses,a. < de 6 meses,b. 6 m a menor de 1 año,b. 6 m a menor de 1 año,c. 1 - 4 años,c. 1 - 4 años,d. 5 - 9 años,d. 5 - 9 años,e. 10 - 14 años,e. 10 - 14 años,f. 15 - 19 años,f. 15 - 19 años,g. 20 - 39 años,g. 20 - 39 años,h. 40 - 49 años,h. 40 - 49 años,i. 50 - 59 años,i. 50 - 59 años,j. 60 años y más,j. 60 años y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
COCHABAMBA,inmunoprevenibles,hepatitis viral c*,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LA PAZ,inmunoprevenibles,hepatitis viral c*,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
POTOSI,inmunoprevenibles,hepatitis viral c*,2024-01-01,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3
RIBERALTA,inmunoprevenibles,hepatitis viral c*,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,3,7,5,1,0,0,0,1,0,10,8,18
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,hepatitis viral c*,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,3,4,7
RIBERALTA,inmunoprevenibles,hepatitis viral c*,2024-02-01,0,0,0,0,0,0,0,0,0,0,110,3,82,6,5,1,4,0,2,0,203,10,213
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,hepatitis viral c*,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,3,0,7,2,9
TRINIDAD,inmunoprevenibles,hepatitis viral c*,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,inmunoprevenibles,hepatitis viral c*,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,inmunoprevenibles,hepatitis viral c*,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
LA PAZ,inmunoprevenibles,hepatitis viral c*,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
RIBERALTA,inmunoprevenibles,hepatitis viral c*,2024-03-01,0,0,0,0,1,0,0,0,0,0,18,34,67,94,3,3,3,1,2,0,94,132,226
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,hepatitis viral c*,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,4,0,4
TARIJA,inmunoprevenibles,hepatitis viral c*,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
WARNES,inmunoprevenibles,hepatitis viral c*,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ASCENCION DE GUARAYOS,inmunoprevenibles,hepatitis viral c*,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COCHABAMBA,inmunoprevenibles,hepatitis viral c*,2024-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EL ALTO,inmunoprevenibles,hepatitis viral c*,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
FERNANDEZ ALONSO,inmunoprevenibles,hepatitis viral c*,2024-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ORURO,inmunoprevenibles,hepatitis viral c*,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
RIBERALTA,inmunoprevenibles,hepatitis viral c*,2024-04-01,0,0,0,0,0,0,0,0,0,0,3,2,14,4,1,0,1,0,0,0,19,6,25
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,hepatitis viral c*,2024-04-01,0,0,1,0,0,0,0,0,0,0,1,0,3,4,1,1,0,1,0,0,6,6,12
CABEZAS,inmunoprevenibles,hepatitis viral c*,2024-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,inmunoprevenibles,hepatitis viral c*,2024-05-01,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,4,1,5
EL ALTO,inmunoprevenibles,hepatitis viral c*,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
ENTRE RIOS TRJ,inmunoprevenibles,hepatitis viral c*,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
RIBERALTA,inmunoprevenibles,hepatitis viral c*,2024-05-01,0,0,0,0,0,0,0,0,0,0,2,2,5,6,2,1,1,2,0,0,10,11,21
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,hepatitis viral c*,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1,2,0,0,3,7,10
SUCRE,inmunoprevenibles,hepatitis viral c*,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TARIJA,inmunoprevenibles,hepatitis viral c*,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2
TIQUIPAYA,inmunoprevenibles,hepatitis viral c*,2024-05-01,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,2,4
ACHACACHI,inmunoprevenibles,hepatitis viral c*,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
LA PAZ,inmunoprevenibles,hepatitis viral c*,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ORURO,inmunoprevenibles,hepatitis viral c*,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2
RIBERALTA,inmunoprevenibles,hepatitis viral c*,2024-06-01,0,0,0,0,0,0,0,0,0,0,4,4,32,32,6,1,3,3,1,1,46,41,87
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,hepatitis viral c*,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
SUCRE,inmunoprevenibles,hepatitis viral c*,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
TARIJA,inmunoprevenibles,hepatitis viral c*,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2
TIQUIPAYA,inmunoprevenibles,hepatitis viral c*,2024-06-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,inmunoprevenibles,hepatitis viral c*,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COLCAPIRHUA,inmunoprevenibles,hepatitis viral c*,2024-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
COMARAPA,inmunoprevenibles,hepatitis viral c*,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,5,5
EL ALTO,inmunoprevenibles,hepatitis viral c*,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
LA PAZ,inmunoprevenibles,hepatitis viral c*,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ORURO,inmunoprevenibles,hepatitis viral c*,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
RIBERALTA,inmunoprevenibles,hepatitis viral c*,2024-07-01,0,0,0,0,0,0,0,0,0,1,211,25,81,98,9,9,5,3,5,2,311,138,449
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,hepatitis viral c*,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2,2,4
TARIJA,inmunoprevenibles,hepatitis viral c*,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TIQUIPAYA,inmunoprevenibles,hepatitis viral c*,2024-07-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CAMIRI,inmunoprevenibles,hepatitis viral c*,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,4,1,5
EL ALTO,inmunoprevenibles,hepatitis viral c*,2024-08-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
GUAYARAMERIN,inmunoprevenibles,hepatitis viral c*,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2
LA PAZ,inmunoprevenibles,hepatitis viral c*,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,3
POJO (CBBA),inmunoprevenibles,hepatitis viral c*,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
RIBERALTA,inmunoprevenibles,hepatitis viral c*,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,5,17,40,4,6,6,7,4,1,31,59,90
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,hepatitis viral c*,2024-08-01,0,0,0,0,0,1,0,0,0,1,0,0,6,0,2,0,1,0,0,0,9,2,11
SUCRE,inmunoprevenibles,hepatitis viral c*,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
COLCAPIRHUA,inmunoprevenibles,hepatitis viral c*,2024-09-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
FERNANDEZ ALONSO,inmunoprevenibles,hepatitis viral c*,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
RIBERALTA,inmunoprevenibles,hepatitis viral c*,2024-09-01,0,0,0,0,0,0,0,0,1,0,56,1,25,19,2,4,2,0,1,0,87,24,111
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,hepatitis viral c*,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,4,4
SUCRE,inmunoprevenibles,hepatitis viral c*,2024-09-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
TUPIZA,inmunoprevenibles,hepatitis viral c*,2024-09-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
VILLAZON,inmunoprevenibles,hepatitis viral c*,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
COCHABAMBA,inmunoprevenibles,hepatitis viral c*,2024-10-01,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,3
EL ALTO,inmunoprevenibles,hepatitis viral c*,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,3
FERNANDEZ ALONSO,inmunoprevenibles,hepatitis viral c*,2024-10-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LA PAZ,inmunoprevenibles,hepatitis viral c*,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
MIZQUE,inmunoprevenibles,hepatitis viral c*,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
