,group,variable,month,a. < de 6 meses,a. < de 6 meses,b. 6 m a menor de 1 año,b. 6 m a menor de 1 año,c. 1 - 4 años,c. 1 - 4 años,d. 5 - 9 años,d. 5 - 9 años,e. 10 - 14 años,e. 10 - 14 años,f. 15 - 19 años,f. 15 - 19 años,g. 20 - 39 años,g. 20 - 39 años,h. 40 - 49 años,h. 40 - 49 años,i. 50 - 59 años,i. 50 - 59 años,j. 60 años y más,j. 60 años y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
BERMEJO,inmunoprevenibles,hepatitis viral b*,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CHIMORE,inmunoprevenibles,hepatitis viral b*,2024-01-01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CLIZA,inmunoprevenibles,hepatitis viral b*,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COCHABAMBA,inmunoprevenibles,hepatitis viral b*,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,4,1,9,1,10
EL ALTO,inmunoprevenibles,hepatitis viral b*,2024-01-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3
LA PAZ,inmunoprevenibles,hepatitis viral b*,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,3,3,6
LLALLAGUA,inmunoprevenibles,hepatitis viral b*,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MONTEAGUDO,inmunoprevenibles,hepatitis viral b*,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ORURO,inmunoprevenibles,hepatitis viral b*,2024-01-01,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3
POTOSI,inmunoprevenibles,hepatitis viral b*,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
RIBERALTA,inmunoprevenibles,hepatitis viral b*,2024-01-01,0,0,0,0,0,0,0,0,0,0,2,3,10,6,1,0,0,0,1,0,14,9,23
SAN RAMON BENI,inmunoprevenibles,hepatitis viral b*,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SANTA ANA,inmunoprevenibles,hepatitis viral b*,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,hepatitis viral b*,2024-01-01,0,1,0,0,0,0,3,0,0,1,0,1,9,8,4,1,2,1,0,3,18,16,34
SIPE SIPE,inmunoprevenibles,hepatitis viral b*,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SUCRE,inmunoprevenibles,hepatitis viral b*,2024-01-01,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2
TARIJA,inmunoprevenibles,hepatitis viral b*,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
TRINIDAD,inmunoprevenibles,hepatitis viral b*,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
VILLA TUNARI,inmunoprevenibles,hepatitis viral b*,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2
WARNES,inmunoprevenibles,hepatitis viral b*,2024-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3
BERMEJO,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2
CARACOLLO,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CARANAVI,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,1,0,8,0,8
FERNANDEZ ALONSO,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
GUAYARAMERIN,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2
LLALLAGUA,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MONTEAGUDO,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ORURO,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,3
POCOATA,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
POTOSI,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,3
QUILLACOLLO,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
RIBERALTA,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,0,0,0,0,0,0,110,3,83,6,5,1,4,0,2,0,204,10,214
SACABA,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,3,4
SAMAIPATA,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN ANTONIO DE LOMERIO,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,1,0,0,0,0,1,1,0,4,4,3,2,2,2,6,1,17,10,27
SIPE SIPE,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SUCRE,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,1,1,2,2,1,2,0,0,1,0,0,0,1,0,0,0,6,5,11
TUPIZA,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
UNCIA,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
WARNES,inmunoprevenibles,hepatitis viral b*,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,1,0,0,1,2,6,8
ARBIETO,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AZURDUY,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
CAMARGO,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
CAMIRI,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COCHABAMBA,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,4,2,6
EL ALTO,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
GENERAL SAAVEDRA,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ICLA,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
INCAHUASI,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA GUARDIA,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
LA PAZ,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,1,0,5,2,7
MONTEAGUDO,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
ORURO,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
PADILLA,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,3,2,5
POTOSI,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,3
PUCARA,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
RIBERALTA,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,1,0,0,0,1,0,18,34,67,94,3,3,3,1,2,0,95,132,227
SACABA,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN ANTONIO DE LOMERIO,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,1,0,0,0,0,0,0,1,0,0,1,5,5,0,2,4,1,4,0,14,10,24
SUCRE,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,0,2,1,0,0,0,1,2,0,0,0,0,0,0,2,4,6
TARIJA,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,3,1,4
TRINIDAD,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,3
VALLEGRANDE,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
VILLA MONTES,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
VILLA TUNARI,inmunoprevenibles,hepatitis viral b*,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,3
