municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
ANZALDO,desnutricion cronica,talla normal (n),2006-01-01,0,1,0,1,0,2,2
BELEN DE ANDAMARCA,desnutricion cronica,talla normal (n),2006-01-01,4,2,1,2,5,4,9
BERMEJO,desnutricion cronica,talla normal (n),2006-01-01,1,4,3,0,4,4,8
CARACOLLO,desnutricion cronica,talla normal (n),2006-01-01,3,2,2,1,5,3,8
CARMEN RIVERO TORREZ,desnutricion cronica,talla normal (n),2006-01-01,31,18,20,17,51,35,86
CORQUE,desnutricion cronica,talla normal (n),2006-01-01,2,0,1,1,3,1,4
EL CHORO,desnutricion cronica,talla normal (n),2006-01-01,1,0,0,0,1,0,1
EL PUENTE(TJA),desnutricion cronica,talla normal (n),2006-01-01,1,2,1,1,2,3,5
EXALTACION,desnutricion cronica,talla normal (n),2006-01-01,0,1,0,0,0,1,1
GENERAL SAAVEDRA,desnutricion cronica,talla normal (n),2006-01-01,31,30,43,37,74,67,141
HUANUNI,desnutricion cronica,talla normal (n),2006-01-01,24,16,17,9,41,25,66
LORETO,desnutricion cronica,talla normal (n),2006-01-01,10,6,5,9,15,15,30
PADCAYA,desnutricion cronica,talla normal (n),2006-01-01,13,16,11,9,24,25,49
PUERTO QUIJARRO,desnutricion cronica,talla normal (n),2006-01-01,81,60,29,24,110,84,194
ROBORE,desnutricion cronica,talla normal (n),2006-01-01,10,10,6,5,16,15,31
RURRENABAQUE,desnutricion cronica,talla normal (n),2006-01-01,2,1,3,2,5,3,8
SACABAMBA,desnutricion cronica,talla normal (n),2006-01-01,32,18,15,12,47,30,77
SAN ANDRES,desnutricion cronica,talla normal (n),2006-01-01,23,26,28,35,51,61,112
SAN JOSE DE CHIQUITOS,desnutricion cronica,talla normal (n),2006-01-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,desnutricion cronica,talla normal (n),2006-01-01,602,626,242,287,844,913,1757
TOLEDO,desnutricion cronica,talla normal (n),2006-01-01,2,2,1,0,3,2,5
TOTORA(ORR),desnutricion cronica,talla normal (n),2006-01-01,3,3,2,1,5,4,9
TRINIDAD,desnutricion cronica,talla normal (n),2006-01-01,151,135,68,69,219,204,423
YACUIBA,desnutricion cronica,talla normal (n),2006-01-01,111,114,71,70,182,184,366
BELEN DE ANDAMARCA,desnutricion cronica,talla normal (n),2006-02-01,1,0,1,1,2,1,3
BERMEJO,desnutricion cronica,talla normal (n),2006-02-01,4,2,6,3,10,5,15
CARMEN RIVERO TORREZ,desnutricion cronica,talla normal (n),2006-02-01,47,37,30,27,77,64,141
COIPASA,desnutricion cronica,talla normal (n),2006-02-01,1,3,2,1,3,4,7
