municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
BERMEJO,desnutricion cronica,talla baja leve (l),2006-01-01,1,1,1,3,2,4,6
CARMEN RIVERO TORREZ,desnutricion cronica,talla baja leve (l),2006-01-01,0,1,1,0,1,1,2
CORQUE,desnutricion cronica,talla baja leve (l),2006-01-01,1,0,0,0,1,0,1
EL CHORO,desnutricion cronica,talla baja leve (l),2006-01-01,1,0,0,0,1,0,1
EXALTACION,desnutricion cronica,talla baja leve (l),2006-01-01,0,0,0,2,0,2,2
GENERAL SAAVEDRA,desnutricion cronica,talla baja leve (l),2006-01-01,10,7,8,3,18,10,28
LORETO,desnutricion cronica,talla baja leve (l),2006-01-01,0,3,0,2,0,5,5
PADCAYA,desnutricion cronica,talla baja leve (l),2006-01-01,1,0,0,1,1,1,2
PUERTO QUIJARRO,desnutricion cronica,talla baja leve (l),2006-01-01,12,10,10,7,22,17,39
ROBORE,desnutricion cronica,talla baja leve (l),2006-01-01,1,1,1,1,2,2,4
RURRENABAQUE,desnutricion cronica,talla baja leve (l),2006-01-01,0,0,0,1,0,1,1
SACABAMBA,desnutricion cronica,talla baja leve (l),2006-01-01,7,2,1,4,8,6,14
SAN ANDRES,desnutricion cronica,talla baja leve (l),2006-01-01,0,1,2,3,2,4,6
SAN CARLOS,desnutricion cronica,talla baja leve (l),2006-01-01,0,0,0,5,0,5,5
SAN IGNACIO,desnutricion cronica,talla baja leve (l),2006-01-01,0,2,5,2,5,4,9
SANTA CRUZ DE LA SIERRA,desnutricion cronica,talla baja leve (l),2006-01-01,177,470,46,40,223,510,733
TRINIDAD,desnutricion cronica,talla baja leve (l),2006-01-01,26,12,9,14,35,26,61
YACUIBA,desnutricion cronica,talla baja leve (l),2006-01-01,16,20,21,15,37,35,72
BELEN DE ANDAMARCA,desnutricion cronica,talla baja leve (l),2006-02-01,0,2,2,0,2,2,4
BERMEJO,desnutricion cronica,talla baja leve (l),2006-02-01,1,1,0,3,1,4,5
CABEZAS,desnutricion cronica,talla baja leve (l),2006-02-01,0,0,1,0,1,0,1
CARMEN RIVERO TORREZ,desnutricion cronica,talla baja leve (l),2006-02-01,0,1,2,3,2,4,6
EL CHORO,desnutricion cronica,talla baja leve (l),2006-02-01,1,1,0,0,1,1,2
EL PUENTE(TJA),desnutricion cronica,talla baja leve (l),2006-02-01,1,0,0,0,1,0,1
GENERAL SAAVEDRA,desnutricion cronica,talla baja leve (l),2006-02-01,4,6,14,6,18,12,30
LORETO,desnutricion cronica,talla baja leve (l),2006-02-01,7,7,3,4,10,11,21
PADCAYA,desnutricion cronica,talla baja leve (l),2006-02-01,2,0,2,1,4,1,5
PUERTO QUIJARRO,desnutricion cronica,talla baja leve (l),2006-02-01,9,9,9,5,18,14,32
REYES,desnutricion cronica,talla baja leve (l),2006-02-01,0,1,0,0,0,1,1
SACABAMBA,desnutricion cronica,talla baja leve (l),2006-02-01,8,8,3,2,11,10,21
SAN ANDRES,desnutricion cronica,talla baja leve (l),2006-02-01,1,1,1,3,2,4,6
SAN JOSE DE CHIQUITOS,desnutricion cronica,talla baja leve (l),2006-02-01,0,0,1,1,1,1,2
SAN JUAN DE YAPACANI,desnutricion cronica,talla baja leve (l),2006-02-01,18,12,5,11,23,23,46
SANTA CRUZ DE LA SIERRA,desnutricion cronica,talla baja leve (l),2006-02-01,97,111,41,41,138,152,290
TOCO,desnutricion cronica,talla baja leve (l),2006-02-01,0,0,2,2,2,2,4
TRINIDAD,desnutricion cronica,talla baja leve (l),2006-02-01,27,15,12,18,39,33,72
YACUIBA,desnutricion cronica,talla baja leve (l),2006-02-01,14,19,18,16,32,35,67
