municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
BERMEJO,desnutricion cronica,talla baja moderada (m),2006-01-01,2,0,0,0,2,0,2
EL CHORO,desnutricion cronica,talla baja moderada (m),2006-01-01,1,0,0,0,1,0,1
EXALTACION,desnutricion cronica,talla baja moderada (m),2006-01-01,0,0,1,0,1,0,1
GENERAL SAAVEDRA,desnutricion cronica,talla baja moderada (m),2006-01-01,1,0,2,2,3,2,5
PADCAYA,desnutricion cronica,talla baja moderada (m),2006-01-01,0,0,0,1,0,1,1
PUERTO QUIJARRO,desnutricion cronica,talla baja moderada (m),2006-01-01,0,2,0,1,0,3,3
SACABAMBA,desnutricion cronica,talla baja moderada (m),2006-01-01,0,2,1,0,1,2,3
SAN ANDRES,desnutricion cronica,talla baja moderada (m),2006-01-01,0,1,1,0,1,1,2
SAN CARLOS,desnutricion cronica,talla baja moderada (m),2006-01-01,0,0,0,3,0,3,3
SAN IGNACIO,desnutricion cronica,talla baja moderada (m),2006-01-01,0,0,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,desnutricion cronica,talla baja moderada (m),2006-01-01,25,20,10,0,35,20,55
TRINIDAD,desnutricion cronica,talla baja moderada (m),2006-01-01,6,1,3,2,9,3,12
YACUIBA,desnutricion cronica,talla baja moderada (m),2006-01-01,2,1,0,0,2,1,3
LORETO,desnutricion cronica,talla baja moderada (m),2006-02-01,0,0,0,1,0,1,1
PUERTO QUIJARRO,desnutricion cronica,talla baja moderada (m),2006-02-01,1,3,0,1,1,4,5
SACABAMBA,desnutricion cronica,talla baja moderada (m),2006-02-01,4,3,2,4,6,7,13
SAN JUAN DE YAPACANI,desnutricion cronica,talla baja moderada (m),2006-02-01,1,1,2,2,3,3,6
SANTA CRUZ DE LA SIERRA,desnutricion cronica,talla baja moderada (m),2006-02-01,15,17,8,16,23,33,56
TOCO,desnutricion cronica,talla baja moderada (m),2006-02-01,0,0,1,0,1,0,1
TRINIDAD,desnutricion cronica,talla baja moderada (m),2006-02-01,8,1,8,6,16,7,23
YACUIBA,desnutricion cronica,talla baja moderada (m),2006-02-01,0,0,0,1,0,1,1
BERMEJO,desnutricion cronica,talla baja moderada (m),2006-03-01,0,2,0,0,0,2,2
COTAGAITA,desnutricion cronica,talla baja moderada (m),2006-03-01,1,0,0,0,1,0,1
PUERTO QUIJARRO,desnutricion cronica,talla baja moderada (m),2006-03-01,0,4,0,1,0,5,5
SACABAMBA,desnutricion cronica,talla baja moderada (m),2006-03-01,2,0,0,2,2,2,4
SAN ANDRES,desnutricion cronica,talla baja moderada (m),2006-03-01,1,0,0,0,1,0,1
SAN LORENZO(TJA),desnutricion cronica,talla baja moderada (m),2006-03-01,0,0,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,desnutricion cronica,talla baja moderada (m),2006-03-01,5,8,4,1,9,9,18
SORACACHI,desnutricion cronica,talla baja moderada (m),2006-03-01,1,1,0,0,1,1,2
TARATA,desnutricion cronica,talla baja moderada (m),2006-03-01,0,1,0,0,0,1,1
TRINIDAD,desnutricion cronica,talla baja moderada (m),2006-03-01,6,7,5,3,11,10,21
URIONDO (A. CONCEPCION),desnutricion cronica,talla baja moderada (m),2006-03-01,0,0,2,0,2,0,2
YACUIBA,desnutricion cronica,talla baja moderada (m),2006-03-01,3,3,0,2,3,5,8
CARAPARI,desnutricion cronica,talla baja moderada (m),2006-04-01,0,1,0,0,0,1,1
CORQUE,desnutricion cronica,talla baja moderada (m),2006-04-01,0,1,0,0,0,1,1
EL CHORO,desnutricion cronica,talla baja moderada (m),2006-04-01,0,0,1,0,1,0,1
EL PUENTE(TJA),desnutricion cronica,talla baja moderada (m),2006-04-01,0,0,0,1,0,1,1
PUERTO QUIJARRO,desnutricion cronica,talla baja moderada (m),2006-04-01,1,1,0,1,1,2,3
SACABAMBA,desnutricion cronica,talla baja moderada (m),2006-04-01,1,0,0,0,1,0,1
SAN IGNACIO,desnutricion cronica,talla baja moderada (m),2006-04-01,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,desnutricion cronica,talla baja moderada (m),2006-04-01,0,1,1,1,1,2,3
SANTA CRUZ DE LA SIERRA,desnutricion cronica,talla baja moderada (m),2006-04-01,10,4,0,0,10,4,14
SANTIAGO DE HUARI,desnutricion cronica,talla baja moderada (m),2006-04-01,1,0,2,3,3,3,6
TRINIDAD,desnutricion cronica,talla baja moderada (m),2006-04-01,12,14,9,6,21,20,41
YACUIBA,desnutricion cronica,talla baja moderada (m),2006-04-01,3,3,1,1,4,4,8
YUNCHARA,desnutricion cronica,talla baja moderada (m),2006-04-01,1,2,4,4,5,6,11
BELEN DE ANDAMARCA,desnutricion cronica,talla baja moderada (m),2006-05-01,0,0,2,2,2,2,4
BUENA VISTA,desnutricion cronica,talla baja moderada (m),2006-05-01,1,1,0,2,1,3,4
EL PUENTE(TJA),desnutricion cronica,talla baja moderada (m),2006-05-01,0,0,2,4,2,4,6
PUERTO QUIJARRO,desnutricion cronica,talla baja moderada (m),2006-05-01,1,1,3,0,4,1,5
REYES,desnutricion cronica,talla baja moderada (m),2006-05-01,2,14,2,0,4,14,18
SACABAMBA,desnutricion cronica,talla baja moderada (m),2006-05-01,0,0,1,0,1,0,1
SAN BENITO,desnutricion cronica,talla baja moderada (m),2006-05-01,0,2,1,0,1,2,3
SAN CARLOS,desnutricion cronica,talla baja moderada (m),2006-05-01,0,0,0,2,0,2,2
SAN JAVIER(BNI),desnutricion cronica,talla baja moderada (m),2006-05-01,1,0,1,0,2,0,2
SANTA CRUZ DE LA SIERRA,desnutricion cronica,talla baja moderada (m),2006-05-01,3,1,3,1,6,2,8
SANTIAGO DE HUARI,desnutricion cronica,talla baja moderada (m),2006-05-01,0,4,0,0,0,4,4
SUCRE,desnutricion cronica,talla baja moderada (m),2006-05-01,2,0,2,1,4,1,5
TOTORA(ORR),desnutricion cronica,talla baja moderada (m),2006-05-01,0,0,1,0,1,0,1
TRINIDAD,desnutricion cronica,talla baja moderada (m),2006-05-01,7,4,3,1,10,5,15
YACUIBA,desnutricion cronica,talla baja moderada (m),2006-05-01,4,2,0,0,4,2,6
YAPACANI,desnutricion cronica,talla baja moderada (m),2006-05-01,2,0,2,2,4,2,6
ASCENCION DE GUARAYOS,desnutricion cronica,talla baja moderada (m),2006-06-01,17,14,18,26,35,40,75
CARMEN RIVERO TORREZ,desnutricion cronica,talla baja moderada (m),2006-06-01,1,1,0,0,1,1,2
