,group,variable,month,a. Menor de 6 meses,a. Menor de 6 meses,b. 6 m a menor de 1 año,b. 6 m a menor de 1 año,c. 1 - 4 años,c. 1 - 4 años,d. 5 - 9 años,d. 5 - 9 años,e. 10 - 14 años,e. 10 - 14 años,f. 15 - 19 años,f. 15 - 19 años,g. 20 - 39 años,g. 20 - 39 años,h. 40 - 49 años,h. 40 - 49 años,i. 50 - 59 años,i. 50 - 59 años,j. 60 años y más,j. 60 años y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ARANI,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BERMEJO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2016-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
CABEZAS,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CAMIRI,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2016-01-01,0,0,0,0,1,1,0,3,1,4,2,3,7,4,2,2,3,1,4,3,20,21,41
CHALLAPATA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2016-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHARAGUA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2016-01-01,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,3
CHIMORE,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2016-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COBIJA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2016-01-01,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,3,4
COCHABAMBA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2016-01-01,0,0,0,0,3,0,2,2,0,0,4,1,10,9,4,1,2,4,2,7,27,24,51
COLPA BELGICA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2016-01-01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
COLQUIRI,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2016-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
COROICO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COTOCA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
CULPINA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2016-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
EL ALTO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2016-01-01,0,0,0,0,0,1,3,3,0,1,1,0,0,0,1,1,1,0,2,0,8,6,14
EL TORNO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2016-01-01,0,0,0,0,0,0,0,0,0,0,6,9,20,17,9,12,11,9,5,4,51,51,102
GUAYARAMERIN,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
HUANUNI,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2016-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LA GUARDIA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2016-01-01,0,0,0,0,0,0,1,0,3,0,2,0,1,2,0,1,0,0,0,0,7,3,10
