municipality,group,variable,month,TOTAL
BOYUIBE,eventos - notificacion inmediata parte ii,otros de excepcion,2017-02-01,74.0
CABEZAS,eventos - notificacion inmediata parte ii,otros de excepcion,2017-02-01,14.0
CHARAGUA,eventos - notificacion inmediata parte ii,otros de excepcion,2017-02-01,97.0
POROMA,eventos - notificacion inmediata parte ii,otros de excepcion,2017-02-01,2.0
SAN LUCAS,eventos - notificacion inmediata parte ii,otros de excepcion,2017-02-01,3.0
CABEZAS,eventos - notificacion inmediata parte ii,otros de excepcion,2017-03-01,3.0
CAMARGO,eventos - notificacion inmediata parte ii,otros de excepcion,2017-03-01,1.0
CKOCHAS,eventos - notificacion inmediata parte ii,otros de excepcion,2017-03-01,2.0
LICOMA PAMPA,eventos - notificacion inmediata parte ii,otros de excepcion,2017-03-01,6.0
MACHARETI,eventos - notificacion inmediata parte ii,otros de excepcion,2017-03-01,1.0
SAN LUCAS,eventos - notificacion inmediata parte ii,otros de excepcion,2017-03-01,3.0
TARABUCO,eventos - notificacion inmediata parte ii,otros de excepcion,2017-03-01,5.0
CABEZAS,eventos - notificacion inmediata parte ii,otros de excepcion,2017-04-01,1.0
CAMIRI,eventos - notificacion inmediata parte ii,otros de excepcion,2017-04-01,9.0
PADCAYA,eventos - notificacion inmediata parte ii,otros de excepcion,2017-04-01,1.0
CAMIRI,eventos - notificacion inmediata parte ii,otros de excepcion,2017-05-01,16.0
CAMIRI,eventos - notificacion inmediata parte ii,otros de excepcion,2017-06-01,10.0
COTAGAITA,eventos - notificacion inmediata parte ii,otros de excepcion,2017-08-01,5.0
FERNANDEZ ALONSO,eventos - notificacion inmediata parte ii,otros de excepcion,2017-08-01,1.0
VILLA TUNARI,eventos - notificacion inmediata parte ii,otros de excepcion,2017-09-01,1.0
LICOMA PAMPA,eventos - notificacion inmediata parte ii,otros de excepcion,2017-10-01,1.0
POROMA,eventos - notificacion inmediata parte ii,otros de excepcion,2017-10-01,8.0
SUCRE,eventos - notificacion inmediata parte ii,otros de excepcion,2017-10-01,4.0
CULPINA,eventos - notificacion inmediata parte ii,otros de excepcion,2017-11-01,727.0
LAS CARRERAS,eventos - notificacion inmediata parte ii,otros de excepcion,2017-11-01,1795.0
MONTEAGUDO,eventos - notificacion inmediata parte ii,otros de excepcion,2017-11-01,8.0
BOLPEBRA,eventos - notificacion inmediata parte ii,otros de excepcion,2017-12-01,1.0
CHARAGUA,eventos - notificacion inmediata parte ii,otros de excepcion,2017-12-01,4.0
TINGUIPAYA,eventos - notificacion inmediata parte ii,otros de excepcion,2017-12-01,1.0
