municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
SAN BENITO,desnutricion cronica,talla normal (n),2005-01-01,6,4,4,0,10,4,14
URIONDO (A. CONCEPCION),desnutricion cronica,talla normal (n),2005-01-01,0,0,0,1,0,1,1
CABEZAS,desnutricion cronica,talla normal (n),2005-02-01,1,1,1,1,2,2,4
SAN BENITO,desnutricion cronica,talla normal (n),2005-02-01,3,6,2,2,5,8,13
AYOPAYA (V. DE INDEPENDENCIA),desnutricion cronica,talla normal (n),2005-03-01,16,16,8,11,24,27,51
SAN BENITO,desnutricion cronica,talla normal (n),2005-03-01,5,5,3,1,8,6,14
AYOPAYA (V. DE INDEPENDENCIA),desnutricion cronica,talla normal (n),2005-04-01,29,30,17,23,46,53,99
BELLA FLOR,desnutricion cronica,talla normal (n),2005-04-01,1,0,0,0,1,0,1
CLIZA,desnutricion cronica,talla normal (n),2005-04-01,2,1,3,4,5,5,10
COBIJA,desnutricion cronica,talla normal (n),2005-04-01,4,0,0,0,4,0,4
EL PUENTE(TJA),desnutricion cronica,talla normal (n),2005-04-01,0,0,0,2,0,2,2
PUNATA,desnutricion cronica,talla normal (n),2005-04-01,10,6,2,7,12,13,25
SACABAMBA,desnutricion cronica,talla normal (n),2005-04-01,5,8,12,17,17,25,42
TARIJA,desnutricion cronica,talla normal (n),2005-04-01,1,0,1,2,2,2,4
TOCO,desnutricion cronica,talla normal (n),2005-04-01,1,2,0,0,1,2,3
YUNCHARA,desnutricion cronica,talla normal (n),2005-04-01,6,3,10,6,16,9,25
AYOPAYA (V. DE INDEPENDENCIA),desnutricion cronica,talla normal (n),2005-05-01,420,115,89,77,509,192,701
BELEN DE ANDAMARCA,desnutricion cronica,talla normal (n),2005-05-01,3,5,3,0,6,5,11
BERMEJO,desnutricion cronica,talla normal (n),2005-05-01,4,10,6,3,10,13,23
CAPINOTA,desnutricion cronica,talla normal (n),2005-05-01,1,1,0,0,1,1,2
CARAPARI,desnutricion cronica,talla normal (n),2005-05-01,3,1,4,7,7,8,15
EL CHORO,desnutricion cronica,talla normal (n),2005-05-01,2,4,6,6,8,10,18
EL PUENTE(TJA),desnutricion cronica,talla normal (n),2005-05-01,7,6,7,7,14,13,27
GENERAL SAAVEDRA,desnutricion cronica,talla normal (n),2005-05-01,8,0,0,8,8,8,16
LORETO,desnutricion cronica,talla normal (n),2005-05-01,0,1,0,0,0,1,1
ORURO,desnutricion cronica,talla normal (n),2005-05-01,17,22,20,21,37,43,80
PORVENIR,desnutricion cronica,talla normal (n),2005-05-01,39,24,36,50,75,74,149
