municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
AYOPAYA (V. DE INDEPENDENCIA),desnutricion cronica,talla baja moderada (m),2005-03-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
PUNATA,desnutricion cronica,talla baja moderada (m),2005-03-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
SANTA CRUZ DE LA SIERRA,desnutricion cronica,talla baja moderada (m),2005-03-01,0.0,0.0,8.0,0.0,8.0,0.0,8.0
VILLA RIVERO,desnutricion cronica,talla baja moderada (m),2005-03-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
AYOPAYA (V. DE INDEPENDENCIA),desnutricion cronica,talla baja moderada (m),2005-04-01,9.0,7.0,7.0,4.0,16.0,11.0,27.0
YUNCHARA,desnutricion cronica,talla baja moderada (m),2005-04-01,0.0,1.0,0.0,1.0,0.0,2.0,2.0
AYOPAYA (V. DE INDEPENDENCIA),desnutricion cronica,talla baja moderada (m),2005-05-01,21.0,4.0,8.0,9.0,29.0,13.0,42.0
BERMEJO,desnutricion cronica,talla baja moderada (m),2005-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
GUAYARAMERIN,desnutricion cronica,talla baja moderada (m),2005-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
PASORAPA,desnutricion cronica,talla baja moderada (m),2005-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PORVENIR,desnutricion cronica,talla baja moderada (m),2005-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PUNATA,desnutricion cronica,talla baja moderada (m),2005-05-01,0.0,0.0,4.0,4.0,4.0,4.0,8.0
RIBERALTA,desnutricion cronica,talla baja moderada (m),2005-05-01,5.0,7.0,3.0,1.0,8.0,8.0,16.0
SANTIVAÑES,desnutricion cronica,talla baja moderada (m),2005-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
TACACHI,desnutricion cronica,talla baja moderada (m),2005-05-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
TARIJA,desnutricion cronica,talla baja moderada (m),2005-05-01,4.0,2.0,0.0,1.0,4.0,3.0,7.0
TRINIDAD,desnutricion cronica,talla baja moderada (m),2005-05-01,3.0,1.0,4.0,3.0,7.0,4.0,11.0
VILLA RIVERO,desnutricion cronica,talla baja moderada (m),2005-05-01,1.0,0.0,0.0,1.0,1.0,1.0,2.0
YACUIBA,desnutricion cronica,talla baja moderada (m),2005-05-01,2.0,1.0,2.0,0.0,4.0,1.0,5.0
ANTEQUERA,desnutricion cronica,talla baja moderada (m),2005-06-01,1.0,2.0,3.0,2.0,4.0,4.0,8.0
BELEN DE ANDAMARCA,desnutricion cronica,talla baja moderada (m),2005-06-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
BERMEJO,desnutricion cronica,talla baja moderada (m),2005-06-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
COTOCA,desnutricion cronica,talla baja moderada (m),2005-06-01,10.0,9.0,3.0,3.0,13.0,12.0,25.0
EL CHORO,desnutricion cronica,talla baja moderada (m),2005-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
EL TORNO,desnutricion cronica,talla baja moderada (m),2005-06-01,8.0,8.0,4.0,12.0,12.0,20.0,32.0
ORURO,desnutricion cronica,talla baja moderada (m),2005-06-01,1.0,3.0,2.0,2.0,3.0,5.0,8.0
PADCAYA,desnutricion cronica,talla baja moderada (m),2005-06-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SANTIAGO DE HUARI,desnutricion cronica,talla baja moderada (m),2005-06-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
TACACHI,desnutricion cronica,talla baja moderada (m),2005-06-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
TARIJA,desnutricion cronica,talla baja moderada (m),2005-06-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
YACUIBA,desnutricion cronica,talla baja moderada (m),2005-06-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
EL PUENTE(TJA),desnutricion cronica,talla baja moderada (m),2005-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
PADCAYA,desnutricion cronica,talla baja moderada (m),2005-07-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
PUNATA,desnutricion cronica,talla baja moderada (m),2005-07-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SACABAMBA,desnutricion cronica,talla baja moderada (m),2005-07-01,0.0,1.0,1.0,3.0,1.0,4.0,5.0
TRINIDAD,desnutricion cronica,talla baja moderada (m),2005-07-01,7.0,4.0,2.0,1.0,9.0,5.0,14.0
YACUIBA,desnutricion cronica,talla baja moderada (m),2005-07-01,1.0,0.0,1.0,0.0,2.0,0.0,2.0
LORETO,desnutricion cronica,talla baja moderada (m),2005-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SACABAMBA,desnutricion cronica,talla baja moderada (m),2005-08-01,3.0,2.0,3.0,6.0,6.0,8.0,14.0
SAN JAVIER(BNI),desnutricion cronica,talla baja moderada (m),2005-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
TOCO,desnutricion cronica,talla baja moderada (m),2005-08-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
TRINIDAD,desnutricion cronica,talla baja moderada (m),2005-08-01,3.0,4.0,0.0,2.0,3.0,6.0,9.0
YACUIBA,desnutricion cronica,talla baja moderada (m),2005-08-01,1.0,2.0,2.0,1.0,3.0,3.0,6.0
ZUDAÑEZ,desnutricion cronica,talla baja moderada (m),2005-08-01,2.0,2.0,0.0,1.0,2.0,3.0,5.0
BERMEJO,desnutricion cronica,talla baja moderada (m),2005-09-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
COLQUECHACA,desnutricion cronica,talla baja moderada (m),2005-09-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
COTOCA,desnutricion cronica,talla baja moderada (m),2005-09-01,4.0,6.0,1.0,5.0,5.0,11.0,16.0
EL PUENTE(TJA),desnutricion cronica,talla baja moderada (m),2005-09-01,1.0,0.0,1.0,0.0,2.0,0.0,2.0
EL TORNO,desnutricion cronica,talla baja moderada (m),2005-09-01,4.0,6.0,8.0,4.0,12.0,10.0,22.0
LA GUARDIA,desnutricion cronica,talla baja moderada (m),2005-09-01,1.0,0.0,1.0,2.0,2.0,2.0,4.0
SACABAMBA,desnutricion cronica,talla baja moderada (m),2005-09-01,2.0,3.0,5.0,4.0,7.0,7.0,14.0
SAN JAVIER(BNI),desnutricion cronica,talla baja moderada (m),2005-09-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SAN JOAQUIN,desnutricion cronica,talla baja moderada (m),2005-09-01,0.0,0.0,0.0,11.0,0.0,11.0,11.0
