municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
SAN BENITO,desnutricion cronica,talla baja leve (l),2005-01-01,0,0,4,1,4,1,5
MOJOCOYA,desnutricion cronica,talla baja leve (l),2005-02-01,0,0,0,11,0,11,11
SAN BENITO,desnutricion cronica,talla baja leve (l),2005-02-01,0,1,1,0,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),desnutricion cronica,talla baja leve (l),2005-03-01,3,2,4,4,7,6,13
ICLA,desnutricion cronica,talla baja leve (l),2005-03-01,1,2,0,0,1,2,3
PASORAPA,desnutricion cronica,talla baja leve (l),2005-03-01,0,1,0,1,0,2,2
SAN BENITO,desnutricion cronica,talla baja leve (l),2005-03-01,2,0,0,2,2,2,4
TARIJA,desnutricion cronica,talla baja leve (l),2005-03-01,1,2,1,0,2,2,4
VILLA RIVERO,desnutricion cronica,talla baja leve (l),2005-03-01,1,1,0,0,1,1,2
AIQUILE,desnutricion cronica,talla baja leve (l),2005-04-01,1,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),desnutricion cronica,talla baja leve (l),2005-04-01,31,24,17,25,48,49,97
CLIZA,desnutricion cronica,talla baja leve (l),2005-04-01,0,2,0,1,0,3,3
EL PUENTE(TJA),desnutricion cronica,talla baja leve (l),2005-04-01,1,0,0,1,1,1,2
SACABAMBA,desnutricion cronica,talla baja leve (l),2005-04-01,1,3,2,3,3,6,9
TARIJA,desnutricion cronica,talla baja leve (l),2005-04-01,0,0,0,1,0,1,1
TIRAQUE (CBBA),desnutricion cronica,talla baja leve (l),2005-04-01,0,1,0,0,0,1,1
YAPACANI,desnutricion cronica,talla baja leve (l),2005-04-01,8,0,0,0,8,0,8
YUNCHARA,desnutricion cronica,talla baja leve (l),2005-04-01,4,3,24,4,28,7,35
AYOPAYA (V. DE INDEPENDENCIA),desnutricion cronica,talla baja leve (l),2005-05-01,37,43,24,34,61,77,138
BELEN DE ANDAMARCA,desnutricion cronica,talla baja leve (l),2005-05-01,0,0,0,1,0,1,1
BERMEJO,desnutricion cronica,talla baja leve (l),2005-05-01,1,6,1,14,2,20,22
CARAPARI,desnutricion cronica,talla baja leve (l),2005-05-01,0,0,2,1,2,1,3
EL PUENTE(TJA),desnutricion cronica,talla baja leve (l),2005-05-01,0,0,4,4,4,4,8
GENERAL SAAVEDRA,desnutricion cronica,talla baja leve (l),2005-05-01,0,0,8,8,8,8,16
GUAYARAMERIN,desnutricion cronica,talla baja leve (l),2005-05-01,0,0,1,1,1,1,2
PASORAPA,desnutricion cronica,talla baja leve (l),2005-05-01,1,0,0,1,1,1,2
PORVENIR,desnutricion cronica,talla baja leve (l),2005-05-01,2,0,2,1,4,1,5
PUNATA,desnutricion cronica,talla baja leve (l),2005-05-01,15,12,7,8,22,20,42
RIBERALTA,desnutricion cronica,talla baja leve (l),2005-05-01,16,16,4,5,20,21,41
SAN ANDRES,desnutricion cronica,talla baja leve (l),2005-05-01,1,2,0,0,1,2,3
SAN JAVIER(BNI),desnutricion cronica,talla baja leve (l),2005-05-01,2,1,0,0,2,1,3
SAN PEDRO(PND),desnutricion cronica,talla baja leve (l),2005-05-01,3,1,1,2,4,3,7
SANTIVAÑES,desnutricion cronica,talla baja leve (l),2005-05-01,0,0,1,1,1,1,2
TARIJA,desnutricion cronica,talla baja leve (l),2005-05-01,5,6,3,3,8,9,17
TOTORA(ORR),desnutricion cronica,talla baja leve (l),2005-05-01,0,0,2,0,2,0,2
TRINIDAD,desnutricion cronica,talla baja leve (l),2005-05-01,12,15,1,5,13,20,33
TURCO,desnutricion cronica,talla baja leve (l),2005-05-01,0,0,1,2,1,2,3
YACUIBA,desnutricion cronica,talla baja leve (l),2005-05-01,1,6,3,3,4,9,13
ANTEQUERA,desnutricion cronica,talla baja leve (l),2005-06-01,6,8,1,5,7,13,20
AYOPAYA (V. DE INDEPENDENCIA),desnutricion cronica,talla baja leve (l),2005-06-01,7,6,2,5,9,11,20
BERMEJO,desnutricion cronica,talla baja leve (l),2005-06-01,5,6,11,16,16,22,38
COTOCA,desnutricion cronica,talla baja leve (l),2005-06-01,50,52,8,7,58,59,117
EL PUENTE(TJA),desnutricion cronica,talla baja leve (l),2005-06-01,1,1,3,3,4,4,8
EL TORNO,desnutricion cronica,talla baja leve (l),2005-06-01,20,36,15,23,35,59,94
GUTIERREZ,desnutricion cronica,talla baja leve (l),2005-06-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),desnutricion cronica,talla baja leve (l),2005-06-01,1,0,1,0,2,0,2
ORURO,desnutricion cronica,talla baja leve (l),2005-06-01,10,14,7,3,17,17,34
PADCAYA,desnutricion cronica,talla baja leve (l),2005-06-01,2,2,2,2,4,4,8
SANTIAGO DE HUARI,desnutricion cronica,talla baja leve (l),2005-06-01,0,0,0,1,0,1,1
