municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
CARAPARI,desnutricion cronica,talla baja grave (g),2005-03-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
TARIJA,desnutricion cronica,talla baja grave (g),2005-03-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
AYOPAYA (V. DE INDEPENDENCIA),desnutricion cronica,talla baja grave (g),2005-04-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
CLIZA,desnutricion cronica,talla baja grave (g),2005-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
AYOPAYA (V. DE INDEPENDENCIA),desnutricion cronica,talla baja grave (g),2005-05-01,3.0,2.0,1.0,0.0,4.0,2.0,6.0
RIBERALTA,desnutricion cronica,talla baja grave (g),2005-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SANTIVAÑES,desnutricion cronica,talla baja grave (g),2005-05-01,0.0,0.0,2.0,0.0,2.0,0.0,2.0
TARIJA,desnutricion cronica,talla baja grave (g),2005-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COTOCA,desnutricion cronica,talla baja grave (g),2005-06-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
EL TORNO,desnutricion cronica,talla baja grave (g),2005-06-01,0.0,1.0,3.0,2.0,3.0,3.0,6.0
ORURO,desnutricion cronica,talla baja grave (g),2005-06-01,2.0,1.0,0.0,1.0,2.0,2.0,4.0
TACACHI,desnutricion cronica,talla baja grave (g),2005-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SACABAMBA,desnutricion cronica,talla baja grave (g),2005-07-01,1.0,2.0,0.0,1.0,1.0,3.0,4.0
SACACA,desnutricion cronica,talla baja grave (g),2005-07-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
SACABAMBA,desnutricion cronica,talla baja grave (g),2005-08-01,0.0,0.0,2.0,2.0,2.0,2.0,4.0
SAN JAVIER(BNI),desnutricion cronica,talla baja grave (g),2005-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TRINIDAD,desnutricion cronica,talla baja grave (g),2005-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
YACUIBA,desnutricion cronica,talla baja grave (g),2005-08-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
COLQUECHACA,desnutricion cronica,talla baja grave (g),2005-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COTOCA,desnutricion cronica,talla baja grave (g),2005-09-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
EL TORNO,desnutricion cronica,talla baja grave (g),2005-09-01,2.0,1.0,1.0,0.0,3.0,1.0,4.0
LA GUARDIA,desnutricion cronica,talla baja grave (g),2005-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SACABAMBA,desnutricion cronica,talla baja grave (g),2005-09-01,2.0,2.0,2.0,2.0,4.0,4.0,8.0
TRINIDAD,desnutricion cronica,talla baja grave (g),2005-09-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
YACUIBA,desnutricion cronica,talla baja grave (g),2005-09-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SACABAMBA,desnutricion cronica,talla baja grave (g),2005-10-01,1.0,0.0,0.0,4.0,1.0,4.0,5.0
SAN RAMON,desnutricion cronica,talla baja grave (g),2005-10-01,4.0,0.0,0.0,0.0,4.0,0.0,4.0
TRINIDAD,desnutricion cronica,talla baja grave (g),2005-10-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
YACUIBA,desnutricion cronica,talla baja grave (g),2005-10-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TRINIDAD,desnutricion cronica,talla baja grave (g),2005-11-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
YACUIBA,desnutricion cronica,talla baja grave (g),2005-11-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
PUERTO VILLARROEL,desnutricion cronica,talla baja grave (g),2005-12-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
SACABAMBA,desnutricion cronica,talla baja grave (g),2005-12-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
TRINIDAD,desnutricion cronica,talla baja grave (g),2005-12-01,2.0,3.0,4.0,3.0,6.0,6.0,12.0
YACUIBA,desnutricion cronica,talla baja grave (g),2005-12-01,10.0,0.0,0.0,1.0,10.0,1.0,11.0
