,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,intoxicaciones,plaguicidas,2009-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
BATALLAS,intoxicaciones,plaguicidas,2009-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
BOYUIBE,intoxicaciones,plaguicidas,2009-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CAPINOTA,intoxicaciones,plaguicidas,2009-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CHARAGUA,intoxicaciones,plaguicidas,2009-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
CHIMORE,intoxicaciones,plaguicidas,2009-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CLIZA,intoxicaciones,plaguicidas,2009-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COBIJA,intoxicaciones,plaguicidas,2009-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COCHABAMBA,intoxicaciones,plaguicidas,2009-01-01,0,0,0,0,0,0,1,1,3,5,0,0,4,6,10
COLOMI,intoxicaciones,plaguicidas,2009-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
COMARAPA,intoxicaciones,plaguicidas,2009-01-01,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
COPACABANA,intoxicaciones,plaguicidas,2009-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CORIPATA,intoxicaciones,plaguicidas,2009-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
COROICO,intoxicaciones,plaguicidas,2009-01-01,0,0,0,0,0,0,0,0,1,2,0,0,1,2,3
EL ALTO,intoxicaciones,plaguicidas,2009-01-01,0,0,1,1,0,0,3,3,2,4,0,0,6,8,14
EL PUENTE(STC),intoxicaciones,plaguicidas,2009-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
EL TORNO,intoxicaciones,plaguicidas,2009-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
FERNANDEZ ALONSO,intoxicaciones,plaguicidas,2009-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
IRUPANA (VILLA DE LANZA),intoxicaciones,plaguicidas,2009-01-01,0,0,0,0,0,0,0,1,1,1,0,0,1,2,3
LA ASUNTA,intoxicaciones,plaguicidas,2009-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
LA PAZ,intoxicaciones,plaguicidas,2009-01-01,0,0,0,0,0,0,1,7,3,2,0,0,4,9,13
LAS CARRERAS,intoxicaciones,plaguicidas,2009-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
LLALLAGUA,intoxicaciones,plaguicidas,2009-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
