,group,variable,month,a. < de 6 meses,a. < de 6 meses,b. 6 m a menor de 1 año,b. 6 m a menor de 1 año,c. 1 - 4 años,c. 1 - 4 años,d. 5 - 9 años,d. 5 - 9 años,e. 10 - 14 años,e. 10 - 14 años,f. 15 - 19 años,f. 15 - 19 años,g. 20 - 39 años,g. 20 - 39 años,h. 40 - 49 años,h. 40 - 49 años,i. 50 - 59 años,i. 50 - 59 años,j. 60 años y más,j. 60 años y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHACACHI,inmunoprevenibles,varicela,2017-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
ACHOCALLA,inmunoprevenibles,varicela,2017-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
AIQUILE,inmunoprevenibles,varicela,2017-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ALALAY,inmunoprevenibles,varicela,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ALCALA,inmunoprevenibles,varicela,2017-01-01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ALTO BENI,inmunoprevenibles,varicela,2017-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ANCORAIMES,inmunoprevenibles,varicela,2017-01-01,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,4
ANDAMARCA,inmunoprevenibles,varicela,2017-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ANZALDO,inmunoprevenibles,varicela,2017-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
APOLO,inmunoprevenibles,varicela,2017-01-01,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3,6
ARBIETO,inmunoprevenibles,varicela,2017-01-01,0,0,0,0,9,3,0,8,1,1,1,0,0,0,0,0,0,0,0,0,11,12,23
BATALLAS,inmunoprevenibles,varicela,2017-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3
BAURES,inmunoprevenibles,varicela,2017-01-01,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,5,7
BERMEJO,inmunoprevenibles,varicela,2017-01-01,0,0,2,0,4,5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,11,6,17
BETANZOS,inmunoprevenibles,varicela,2017-01-01,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,3
BOLPEBRA,inmunoprevenibles,varicela,2017-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BOYUIBE,inmunoprevenibles,varicela,2017-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
BUENA VISTA,inmunoprevenibles,varicela,2017-01-01,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
CABEZAS,inmunoprevenibles,varicela,2017-01-01,0,0,0,0,2,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,7,10
CAMIRI,inmunoprevenibles,varicela,2017-01-01,0,0,0,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,5,8
CARACOLLO,inmunoprevenibles,varicela,2017-01-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
CARANAVI,inmunoprevenibles,varicela,2017-01-01,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,3,5
CARAPARI,inmunoprevenibles,varicela,2017-01-01,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
