,group,variable,month,a. Menor de 6 meses,a. Menor de 6 meses,b. 6 m a menor de 1 año,b. 6 m a menor de 1 año,c. 1 - 4 años,c. 1 - 4 años,d. 5 - 9 años,d. 5 - 9 años,e. 10 - 14 años,e. 10 - 14 años,f. 15 - 19 años,f. 15 - 19 años,g. 20 - 39 años,g. 20 - 39 años,h. 40 - 49 años,h. 40 - 49 años,i. 50 - 59 años,i. 50 - 59 años,j. 60 años y más,j. 60 años y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHACACHI,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,4,1,5
AIQUILE,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,4
ALCALA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2
ALTO BENI,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,4,0,4
APOLO,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
ARANI,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
ASCENCION DE GUARAYOS,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,6,1,1,0,0,1,2,1,6,1,2,0,0,1,1,0,18,5,23
AYOPAYA (V. DE INDEPENDENCIA),"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
AZURDUY,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
BERMEJO,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,1,0,0,1,0,1,0,0,1,2,5,2,2,2,0,0,0,0,9,8,17
BETANZOS,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,3
BUENA VISTA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,5,2,0,1,2,0,0,1,7,1,1,0,0,0,1,0,16,5,21
CALAMARCA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAMARGO,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,1,0,0,2,1,3,0,2,1,1,1,16,6,10,0,1,3,3,3,38,16,54
CAPINOTA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CAQUIAVIRI,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2
CARANAVI,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CHALLAPATA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,1,1,0,2,2,4,7,11
CHARAGUA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CHIMORE,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,1,0,0,0,1,0,0,2,5,0,1,0,0,0,0,0,8,2,10
CKOCHAS,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COBIJA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,4,2,6
COCHABAMBA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,1,0,3,28,16,16,21,40,18,10,9,75,47,18,21,7,11,15,20,209,167,376
COLCAPIRHUA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,2,0,1,0,1,0,0,0,0,0,0,3,0,0,1,0,2,0,7,3,10
COLOMI,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,2,3,5
COLPA BELGICA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
COMARAPA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,1,3,0,1,0,0,0,2,0,1,1,0,0,4,4,11,6,17
CONCEPCION,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,1,0,1,2,1,2,0,2,1,1,3,0,0,2,2,0,9,9,18
COPACABANA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,3
CORIPATA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,4,4,8
CORO CORO,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
COROICO,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COTAGAITA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
COTOCA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
EL ALTO,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,5,5,5,7,68,39,52,37,42,22,32,19,113,76,33,25,29,18,36,31,415,279,694
EL PUENTE(STC),"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,3,1,0,1,0,4,1,0,0,0,0,0,0,6,4,10
EL TORNO,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,8,4,4,4,0,1,7,3,5,4,5,4,2,1,13,9,44,30,74
ENTRE RIOS CBBA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,2,2,4
FERNANDEZ ALONSO,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
GENERAL SAAVEDRA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
GUANAY,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2
GUAQUI,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
GUAYARAMERIN,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,4
HUANUNI,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,1,0,1,1,0,1,34,1,52,1,13,2,4,1,105,7,112
HUARINA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
IXIAMAS,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
JESUS DE MACHACA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,2,2,5,7
LA ASUNTA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,1,0,0,0,5,1,6,6,2,1,5,2,15,9,3,2,1,1,2,2,40,24,64
LA GUARDIA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,1,0,8,1,4,1,3,0,0,2,7,2,2,1,0,0,2,2,27,9,36
LA PAZ,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,3,2,2,2,30,31,27,24,27,15,44,26,265,189,118,67,65,77,129,226,710,659,1369
LAGUNILLAS,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,3
LICOMA PAMPA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LLALLAGUA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,4,1,5
MACHARETI,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
MAIRANA,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,2,0,0,0,3,3,1,1,3,0,2,0,7,2,3,0,0,3,2,1,23,10,33
MAPIRI,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,0,3
MIZQUE,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,4,2,6
MOCOMOCO,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
MONTEAGUDO,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,2,3,5
MONTERO,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,5,1,6
MORO MORO,"violencia, hechos de transito y accidentes",no de casos presentados por otros accidentes,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
