,group,variable,month,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
COCHABAMBA,salud sexual y reproductiva,eclampsia,2020-01-01,1,0,1
EL ALTO,salud sexual y reproductiva,eclampsia,2020-01-01,1,0,1
EXALTACION,salud sexual y reproductiva,eclampsia,2020-01-01,1,0,1
LA PAZ,salud sexual y reproductiva,eclampsia,2020-01-01,3,0,3
ORURO,salud sexual y reproductiva,eclampsia,2020-01-01,1,0,1
POTOSI,salud sexual y reproductiva,eclampsia,2020-01-01,1,0,1
QUILLACOLLO,salud sexual y reproductiva,eclampsia,2020-01-01,1,0,1
RIBERALTA,salud sexual y reproductiva,eclampsia,2020-01-01,1,0,1
SAN ANDRES DE MACHACA,salud sexual y reproductiva,eclampsia,2020-01-01,0,1,1
SAN MATIAS,salud sexual y reproductiva,eclampsia,2020-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2020-01-01,15,0,15
SUCRE,salud sexual y reproductiva,eclampsia,2020-01-01,2,0,2
TARIJA,salud sexual y reproductiva,eclampsia,2020-01-01,3,0,3
TRINIDAD,salud sexual y reproductiva,eclampsia,2020-01-01,5,0,5
VILLAZON,salud sexual y reproductiva,eclampsia,2020-01-01,2,0,2
VINTO,salud sexual y reproductiva,eclampsia,2020-01-01,0,1,1
ACHACACHI,salud sexual y reproductiva,eclampsia,2020-02-01,1,0,1
COCHABAMBA,salud sexual y reproductiva,eclampsia,2020-02-01,1,0,1
LA PAZ,salud sexual y reproductiva,eclampsia,2020-02-01,1,0,1
ORURO,salud sexual y reproductiva,eclampsia,2020-02-01,1,0,1
RIBERALTA,salud sexual y reproductiva,eclampsia,2020-02-01,3,0,3
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2020-02-01,6,0,6
SUCRE,salud sexual y reproductiva,eclampsia,2020-02-01,2,0,2
TRINIDAD,salud sexual y reproductiva,eclampsia,2020-02-01,1,0,1
ANCORAIMES,salud sexual y reproductiva,eclampsia,2020-03-01,1,0,1
CHARAGUA,salud sexual y reproductiva,eclampsia,2020-03-01,0,1,1
COCHABAMBA,salud sexual y reproductiva,eclampsia,2020-03-01,1,0,1
LA PAZ,salud sexual y reproductiva,eclampsia,2020-03-01,2,0,2
PATACAMAYA,salud sexual y reproductiva,eclampsia,2020-03-01,1,0,1
POCOATA,salud sexual y reproductiva,eclampsia,2020-03-01,0,1,1
POTOSI,salud sexual y reproductiva,eclampsia,2020-03-01,2,0,2
SANTA ANA,salud sexual y reproductiva,eclampsia,2020-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2020-03-01,5,3,8
SENA,salud sexual y reproductiva,eclampsia,2020-03-01,0,1,1
SUCRE,salud sexual y reproductiva,eclampsia,2020-03-01,1,0,1
TRINIDAD,salud sexual y reproductiva,eclampsia,2020-03-01,5,0,5
COCHABAMBA,salud sexual y reproductiva,eclampsia,2020-04-01,1,0,1
COTAGAITA,salud sexual y reproductiva,eclampsia,2020-04-01,0,1,1
LA PAZ,salud sexual y reproductiva,eclampsia,2020-04-01,2,0,2
ORURO,salud sexual y reproductiva,eclampsia,2020-04-01,1,0,1
PUERTO VILLARROEL,salud sexual y reproductiva,eclampsia,2020-04-01,1,0,1
SAN IGNACIO,salud sexual y reproductiva,eclampsia,2020-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2020-04-01,8,2,10
SUCRE,salud sexual y reproductiva,eclampsia,2020-04-01,6,0,6
TARIJA,salud sexual y reproductiva,eclampsia,2020-04-01,3,0,3
TRINIDAD,salud sexual y reproductiva,eclampsia,2020-04-01,1,0,1
YOTALA,salud sexual y reproductiva,eclampsia,2020-04-01,1,0,1
COCAPATA,salud sexual y reproductiva,eclampsia,2020-05-01,1,0,1
COCHABAMBA,salud sexual y reproductiva,eclampsia,2020-05-01,1,0,1
LA ASUNTA,salud sexual y reproductiva,eclampsia,2020-05-01,1,0,1
LA PAZ,salud sexual y reproductiva,eclampsia,2020-05-01,4,0,4
ORURO,salud sexual y reproductiva,eclampsia,2020-05-01,2,0,2
RIBERALTA,salud sexual y reproductiva,eclampsia,2020-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2020-05-01,14,2,16
SUCRE,salud sexual y reproductiva,eclampsia,2020-05-01,3,3,6
TRINIDAD,salud sexual y reproductiva,eclampsia,2020-05-01,2,0,2
COCHABAMBA,salud sexual y reproductiva,eclampsia,2020-06-01,1,0,1
EL ALTO,salud sexual y reproductiva,eclampsia,2020-06-01,2,1,3
LA PAZ,salud sexual y reproductiva,eclampsia,2020-06-01,5,0,5
POROMA,salud sexual y reproductiva,eclampsia,2020-06-01,0,1,1
RIBERALTA,salud sexual y reproductiva,eclampsia,2020-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2020-06-01,6,0,6
SUCRE,salud sexual y reproductiva,eclampsia,2020-06-01,1,0,1
TARIJA,salud sexual y reproductiva,eclampsia,2020-06-01,1,0,1
TIRAQUE (CBBA),salud sexual y reproductiva,eclampsia,2020-06-01,1,0,1
TRINIDAD,salud sexual y reproductiva,eclampsia,2020-06-01,1,0,1
VALLEGRANDE,salud sexual y reproductiva,eclampsia,2020-06-01,1,0,1
BOLIVAR,salud sexual y reproductiva,eclampsia,2020-07-01,0,1,1
CONCEPCION,salud sexual y reproductiva,eclampsia,2020-07-01,1,0,1
COROICO,salud sexual y reproductiva,eclampsia,2020-07-01,1,0,1
EL PUENTE(TJA),salud sexual y reproductiva,eclampsia,2020-07-01,1,1,2
LA PAZ,salud sexual y reproductiva,eclampsia,2020-07-01,3,0,3
MONTERO,salud sexual y reproductiva,eclampsia,2020-07-01,2,0,2
ORURO,salud sexual y reproductiva,eclampsia,2020-07-01,1,0,1
PRESTO,salud sexual y reproductiva,eclampsia,2020-07-01,1,0,1
RIBERALTA,salud sexual y reproductiva,eclampsia,2020-07-01,2,0,2
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2020-07-01,9,1,10
SUCRE,salud sexual y reproductiva,eclampsia,2020-07-01,6,0,6
TARIJA,salud sexual y reproductiva,eclampsia,2020-07-01,1,0,1
TRINIDAD,salud sexual y reproductiva,eclampsia,2020-07-01,4,0,4
TUPIZA,salud sexual y reproductiva,eclampsia,2020-07-01,1,0,1
VITICHI,salud sexual y reproductiva,eclampsia,2020-07-01,1,0,1
ACHACACHI,salud sexual y reproductiva,eclampsia,2020-08-01,0,1,1
LA PAZ,salud sexual y reproductiva,eclampsia,2020-08-01,1,0,1
ORURO,salud sexual y reproductiva,eclampsia,2020-08-01,3,1,4
PAILON,salud sexual y reproductiva,eclampsia,2020-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2020-08-01,7,0,7
SUCRE,salud sexual y reproductiva,eclampsia,2020-08-01,2,0,2
TIQUIPAYA,salud sexual y reproductiva,eclampsia,2020-08-01,0,1,1
TOLEDO,salud sexual y reproductiva,eclampsia,2020-08-01,0,1,1
COCHABAMBA,salud sexual y reproductiva,eclampsia,2020-09-01,1,0,1
LA PAZ,salud sexual y reproductiva,eclampsia,2020-09-01,2,1,3
RIBERALTA,salud sexual y reproductiva,eclampsia,2020-09-01,2,0,2
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2020-09-01,3,1,4
TARIJA,salud sexual y reproductiva,eclampsia,2020-09-01,1,0,1
TOTORA(CBBA),salud sexual y reproductiva,eclampsia,2020-09-01,1,0,1
ASCENCION DE GUARAYOS,salud sexual y reproductiva,eclampsia,2020-10-01,1,0,1
LA PAZ,salud sexual y reproductiva,eclampsia,2020-10-01,3,0,3
ORURO,salud sexual y reproductiva,eclampsia,2020-10-01,1,0,1
PALOS BLANCOS,salud sexual y reproductiva,eclampsia,2020-10-01,1,0,1
SABAYA,salud sexual y reproductiva,eclampsia,2020-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2020-10-01,5,0,5
ASCENCION DE GUARAYOS,salud sexual y reproductiva,eclampsia,2020-11-01,1,0,1
EL ALTO,salud sexual y reproductiva,eclampsia,2020-11-01,1,0,1
SAN LUCAS,salud sexual y reproductiva,eclampsia,2020-11-01,0,1,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2020-11-01,4,0,4
TRINIDAD,salud sexual y reproductiva,eclampsia,2020-11-01,1,0,1
COCHABAMBA,salud sexual y reproductiva,eclampsia,2020-12-01,4,0,4
EL ALTO,salud sexual y reproductiva,eclampsia,2020-12-01,1,0,1
EL TORNO,salud sexual y reproductiva,eclampsia,2020-12-01,1,0,1
FILADELFIA,salud sexual y reproductiva,eclampsia,2020-12-01,1,0,1
LA PAZ,salud sexual y reproductiva,eclampsia,2020-12-01,2,0,2
RIBERALTA,salud sexual y reproductiva,eclampsia,2020-12-01,1,0,1
SAN LUCAS,salud sexual y reproductiva,eclampsia,2020-12-01,1,1,2
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2020-12-01,4,0,4
