,group,variable,month,Dentro,Dentro,Fuera,Fuera,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,
LA PAZ,mortalidad,muerte menor de 5 anos por neumonia,2014-01-01,1.0,0.0,2.0,0.0,3.0,0.0,3.0
MONTEAGUDO,mortalidad,muerte menor de 5 anos por neumonia,2014-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
POCOATA,mortalidad,muerte menor de 5 anos por neumonia,2014-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
ROBORE,mortalidad,muerte menor de 5 anos por neumonia,2014-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RURRENABAQUE,mortalidad,muerte menor de 5 anos por neumonia,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN BUENA VENTURA,mortalidad,muerte menor de 5 anos por neumonia,2014-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
SAN IGNACIO DE VELASCO,mortalidad,muerte menor de 5 anos por neumonia,2014-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,mortalidad,muerte menor de 5 anos por neumonia,2014-01-01,0.0,1.0,1.0,0.0,1.0,1.0,2.0
TRINIDAD,mortalidad,muerte menor de 5 anos por neumonia,2014-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ASCENCION DE GUARAYOS,mortalidad,muerte menor de 5 anos por neumonia,2014-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
LA GUARDIA,mortalidad,muerte menor de 5 anos por neumonia,2014-02-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
LA PAZ,mortalidad,muerte menor de 5 anos por neumonia,2014-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PALOS BLANCOS,mortalidad,muerte menor de 5 anos por neumonia,2014-02-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SAN BORJA,mortalidad,muerte menor de 5 anos por neumonia,2014-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAN IGNACIO,mortalidad,muerte menor de 5 anos por neumonia,2014-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
TRINIDAD,mortalidad,muerte menor de 5 anos por neumonia,2014-02-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
CARACOLLO,mortalidad,muerte menor de 5 anos por neumonia,2014-03-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
IXIAMAS,mortalidad,muerte menor de 5 anos por neumonia,2014-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
LA PAZ,mortalidad,muerte menor de 5 anos por neumonia,2014-03-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
POTOSI,mortalidad,muerte menor de 5 anos por neumonia,2014-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RURRENABAQUE,mortalidad,muerte menor de 5 anos por neumonia,2014-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
TRINIDAD,mortalidad,muerte menor de 5 anos por neumonia,2014-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
YACUIBA,mortalidad,muerte menor de 5 anos por neumonia,2014-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
COBIJA,mortalidad,muerte menor de 5 anos por neumonia,2014-04-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
EL ALTO,mortalidad,muerte menor de 5 anos por neumonia,2014-04-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
LA PAZ,mortalidad,muerte menor de 5 anos por neumonia,2014-04-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
POTOSI,mortalidad,muerte menor de 5 anos por neumonia,2014-04-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
PUERTO VILLARROEL,mortalidad,muerte menor de 5 anos por neumonia,2014-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RIBERALTA,mortalidad,muerte menor de 5 anos por neumonia,2014-04-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
SACABA,mortalidad,muerte menor de 5 anos por neumonia,2014-04-01,0.0,0.0,1.0,1.0,1.0,1.0,2.0
SAN IGNACIO DE VELASCO,mortalidad,muerte menor de 5 anos por neumonia,2014-04-01,0.0,0.0,1.0,1.0,1.0,1.0,2.0
TORO TORO,mortalidad,muerte menor de 5 anos por neumonia,2014-04-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
YACUIBA,mortalidad,muerte menor de 5 anos por neumonia,2014-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
AYO AYO,mortalidad,muerte menor de 5 anos por neumonia,2014-05-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
CAMIRI,mortalidad,muerte menor de 5 anos por neumonia,2014-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COCHABAMBA,mortalidad,muerte menor de 5 anos por neumonia,2014-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
EL ALTO,mortalidad,muerte menor de 5 anos por neumonia,2014-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
LA PAZ,mortalidad,muerte menor de 5 anos por neumonia,2014-05-01,2.0,3.0,0.0,0.0,2.0,3.0,5.0
YACUIBA,mortalidad,muerte menor de 5 anos por neumonia,2014-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COBIJA,mortalidad,muerte menor de 5 anos por neumonia,2014-06-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
CORQUE,mortalidad,muerte menor de 5 anos por neumonia,2014-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
EL ALTO,mortalidad,muerte menor de 5 anos por neumonia,2014-06-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
LA PAZ,mortalidad,muerte menor de 5 anos por neumonia,2014-06-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
MONTEAGUDO,mortalidad,muerte menor de 5 anos por neumonia,2014-06-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
POTOSI,mortalidad,muerte menor de 5 anos por neumonia,2014-06-01,2.0,2.0,0.0,0.0,2.0,2.0,4.0
PUERTO SUAREZ,mortalidad,muerte menor de 5 anos por neumonia,2014-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
PUNA,mortalidad,muerte menor de 5 anos por neumonia,2014-06-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SACABA,mortalidad,muerte menor de 5 anos por neumonia,2014-06-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
SAN BORJA,mortalidad,muerte menor de 5 anos por neumonia,2014-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN IGNACIO DE VELASCO,mortalidad,muerte menor de 5 anos por neumonia,2014-06-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,mortalidad,muerte menor de 5 anos por neumonia,2014-06-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
UYUNI,mortalidad,muerte menor de 5 anos por neumonia,2014-06-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
YACUIBA,mortalidad,muerte menor de 5 anos por neumonia,2014-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
COLQUECHACA,mortalidad,muerte menor de 5 anos por neumonia,2014-07-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EL ALTO,mortalidad,muerte menor de 5 anos por neumonia,2014-07-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
PAZÑA,mortalidad,muerte menor de 5 anos por neumonia,2014-07-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
POTOSI,mortalidad,muerte menor de 5 anos por neumonia,2014-07-01,1.0,4.0,0.0,0.0,1.0,4.0,5.0
QUIME,mortalidad,muerte menor de 5 anos por neumonia,2014-07-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
RIBERALTA,mortalidad,muerte menor de 5 anos por neumonia,2014-07-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
RURRENABAQUE,mortalidad,muerte menor de 5 anos por neumonia,2014-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,mortalidad,muerte menor de 5 anos por neumonia,2014-07-01,0.0,1.0,1.0,0.0,1.0,1.0,2.0
SUCRE,mortalidad,muerte menor de 5 anos por neumonia,2014-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
UYUNI,mortalidad,muerte menor de 5 anos por neumonia,2014-07-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
CKOCHAS,mortalidad,muerte menor de 5 anos por neumonia,2014-08-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
EL ALTO,mortalidad,muerte menor de 5 anos por neumonia,2014-08-01,1.0,0.0,1.0,0.0,2.0,0.0,2.0
LA PAZ,mortalidad,muerte menor de 5 anos por neumonia,2014-08-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
POTOSI,mortalidad,muerte menor de 5 anos por neumonia,2014-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,mortalidad,muerte menor de 5 anos por neumonia,2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COCHABAMBA,mortalidad,muerte menor de 5 anos por neumonia,2014-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
COLOMI,mortalidad,muerte menor de 5 anos por neumonia,2014-09-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
LA PAZ,mortalidad,muerte menor de 5 anos por neumonia,2014-09-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
TRINIDAD,mortalidad,muerte menor de 5 anos por neumonia,2014-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
COBIJA,mortalidad,muerte menor de 5 anos por neumonia,2014-11-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
