,group,variable,month,a. Menor de 6 meses,a. Menor de 6 meses,b. 6 meses a menor de 1 año,b. 6 meses a menor de 1 año,c. 1 - 4 años,c. 1 - 4 años,d. 5 - 9 años,d. 5 - 9 años,e. 10 - 14 años,e. 10 - 14 años,f. 15 - 19 años,f. 15 - 19 años,g. 20 - 39 años,g. 20 - 39 años,h. 40 - 49 años,h. 40 - 49 años,i. 50 - 59 años,i. 50 - 59 años,j. 60 años y más,j. 60 años y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMIRI,sospecha diagnostica,"influenza  (irag ,iragi y eti)",2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
COCHABAMBA,sospecha diagnostica,"influenza  (irag ,iragi y eti)",2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,1,4,3,7
EL ALTO,sospecha diagnostica,"influenza  (irag ,iragi y eti)",2015-01-01,1,2,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,1,2,2,7,6,13
POTOSI,sospecha diagnostica,"influenza  (irag ,iragi y eti)",2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,"influenza  (irag ,iragi y eti)",2015-01-01,1,1,2,1,4,1,2,1,0,0,0,0,0,0,0,0,1,0,1,1,11,5,16
SUCRE,sospecha diagnostica,"influenza  (irag ,iragi y eti)",2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,sospecha diagnostica,"influenza  (irag ,iragi y eti)",2015-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,3
EL ALTO,sospecha diagnostica,"influenza  (irag ,iragi y eti)",2015-02-01,1,3,1,1,5,3,1,1,2,0,2,0,0,0,1,1,1,0,2,4,16,13,29
POTOSI,sospecha diagnostica,"influenza  (irag ,iragi y eti)",2015-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2
RURRENABAQUE,sospecha diagnostica,"influenza  (irag ,iragi y eti)",2015-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,"influenza  (irag ,iragi y eti)",2015-02-01,4,2,3,3,6,8,1,0,0,1,0,1,1,0,0,0,0,0,0,0,15,15,30
COCHABAMBA,sospecha diagnostica,"influenza  (irag ,iragi y eti)",2015-03-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,2,4,6
EL ALTO,sospecha diagnostica,"influenza  (irag ,iragi y eti)",2015-03-01,1,2,4,1,4,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,11,9,20
LA ASUNTA,sospecha diagnostica,"influenza  (irag ,iragi y eti)",2015-03-01,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
POTOSI,sospecha diagnostica,"influenza  (irag ,iragi y eti)",2015-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
RURRENABAQUE,sospecha diagnostica,"influenza  (irag ,iragi y eti)",2015-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,"influenza  (irag ,iragi y eti)",2015-03-01,6,2,8,4,15,10,1,3,0,0,1,0,5,3,4,0,1,0,0,1,41,23,64
YACUIBA,sospecha diagnostica,"influenza  (irag ,iragi y eti)",2015-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COCHABAMBA,sospecha diagnostica,"influenza  (irag ,iragi y eti)",2015-04-01,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,4,6
