,group,variable,month,a. Menor de 6 meses,a. Menor de 6 meses,b. 6 meses a menor de 1 año,b. 6 meses a menor de 1 año,c. 1 - 4 años,c. 1 - 4 años,d. 5 - 9 años,d. 5 - 9 años,e. 10 - 14 años,e. 10 - 14 años,f. 15 - 19 años,f. 15 - 19 años,g. 20 - 39 años,g. 20 - 39 años,h. 40 - 49 años,h. 40 - 49 años,i. 50 - 59 años,i. 50 - 59 años,j. 60 años y más,j. 60 años y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
CARANAVI,sospecha diagnostica,fiebre hemorragica,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
PALOS BLANCOS,sospecha diagnostica,fiebre hemorragica,2024-01-01,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,1,0,0,0,1,4,3,7
CARANAVI,sospecha diagnostica,fiebre hemorragica,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
PALOS BLANCOS,sospecha diagnostica,fiebre hemorragica,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,1,1,1,0,5,3,8
CARANAVI,sospecha diagnostica,fiebre hemorragica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2
PALOS BLANCOS,sospecha diagnostica,fiebre hemorragica,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
IRUPANA (VILLA DE LANZA),sospecha diagnostica,fiebre hemorragica,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
PALOS BLANCOS,sospecha diagnostica,fiebre hemorragica,2024-04-01,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,1,1,0,0,4,4,8
CARANAVI,sospecha diagnostica,fiebre hemorragica,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,3,1,4
COCHABAMBA,sospecha diagnostica,fiebre hemorragica,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PALOS BLANCOS,sospecha diagnostica,fiebre hemorragica,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CARANAVI,sospecha diagnostica,fiebre hemorragica,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,1,4,6,3,0,0,0,0,0,8,7,15
GUANAY,sospecha diagnostica,fiebre hemorragica,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
TEOPONTE,sospecha diagnostica,fiebre hemorragica,2024-06-01,0,0,0,0,0,0,0,0,0,1,1,0,3,3,1,2,1,0,0,0,6,6,12
CARANAVI,sospecha diagnostica,fiebre hemorragica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COCHABAMBA,sospecha diagnostica,fiebre hemorragica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
PALOS BLANCOS,sospecha diagnostica,fiebre hemorragica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,3,4
SANTA ROSA DEL SARA,sospecha diagnostica,fiebre hemorragica,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CARANAVI,sospecha diagnostica,fiebre hemorragica,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
LA PAZ,sospecha diagnostica,fiebre hemorragica,2024-08-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2
PALOS BLANCOS,sospecha diagnostica,fiebre hemorragica,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,3
EL ALTO,sospecha diagnostica,fiebre hemorragica,2024-09-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PALOS BLANCOS,sospecha diagnostica,fiebre hemorragica,2024-09-01,0,0,0,0,0,1,0,0,1,1,0,0,0,1,2,0,0,0,1,0,4,3,7
PALOS BLANCOS,sospecha diagnostica,fiebre hemorragica,2024-10-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,3,2,5
PALOS BLANCOS,sospecha diagnostica,fiebre hemorragica,2024-11-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,fiebre hemorragica,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
CARANAVI,sospecha diagnostica,fiebre hemorragica,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PALOS BLANCOS,sospecha diagnostica,fiebre hemorragica,2024-12-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,3
SAN BUENA VENTURA,sospecha diagnostica,fiebre hemorragica,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
TEOPONTE,sospecha diagnostica,fiebre hemorragica,2024-12-01,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,1,4,0,0,0,11,2,13
