municipality,group,variable,month,< de 1 año-H,< de 1 año-M,1 a 4 años-H,1 a 4 años-M,5 a 14 años-H,5 a 14 años-M,15 a 59 años-H,15 a 59 años-M,60 y más-H,60 y más-M,TOTAL-H,TOTAL-M,TOTAL
ACHACACHI,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
ARQUE,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
BELEN DE URMIRI,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,0,2,0,0,0,2,2
BERMEJO,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,1,4,0,0,1,4,5
CARANAVI,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CHALLAPATA,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,1,13,0,0,1,13,14
CLIZA,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
COBIJA,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,2,2,0,0,2,2,4
COCHABAMBA,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,1,0,6,10,0,0,7,10,17
COLQUECHACA,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
COPACABANA,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CORIPATA,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,1,1,0,0,1,1,2
COROICO,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
COTAGAITA,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
EL ALTO,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,1,38,60,0,2,38,63,101
GUAYARAMERIN,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,6,0,0,0,6,0,6
LA PAZ,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,3,39,57,0,0,39,60,99
MAPIRI,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,0,2,0,0,0,2,2
MIZQUE,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
MONTEAGUDO,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
MONTERO,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
MORO MORO,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,0,5,0,0,0,5,5
OCURI,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,1,0,1,2,0,0,2,2,4
ORURO,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,2,14,0,1,2,15,17
PADILLA,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
PAILON,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,0,3,0,0,0,3,3
PALCA,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,1,1,0,0,1,1,2
POCOATA,infec de transmision sexual,ulcera genital,2007-01-01,0,0,0,0,0,0,0,3,0,0,0,3,3
