municipality,group,variable,month,Cantidad,TOTAL-M
ACHACACHI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,4,4
AIQUILE,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,35,35
ANCORAIMES,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,10,10
ANDAMARCA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,2,2
APOLO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,21,21
ARQUE,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,5,5
ASCENCION DE GUARAYOS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,33,33
ATOCHA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,11,11
AYATA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,1,1
AYO AYO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,2,2
BATALLAS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,4,4
BERMEJO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,44,44
BETANZOS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,2,2
BUENA VISTA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,1,1
CABEZAS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,12,12
CAIROMA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,8,8
CALAMARCA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,1,1
CAMARGO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,3,3
CAMIRI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,27,27
CARACOLLO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,1,1
CARANAVI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,38,38
CHALLAPATA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,46,46
CHARAGUA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,4,4
CHAYANTA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,1,1
CHIMORE,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,54,54
CHULUMANI (V. DE LA LIBERTAD),salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2007-01-01,19,19
