municipality,group,variable,month,Cantidad,TOTAL-M
ACHACACHI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,15,15
ANCORAIMES,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
ANDAMARCA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
ASCENCION DE GUARAYOS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,3,3
BUENA VISTA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,2,2
CALAMARCA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
CAMIRI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,5,5
CAPINOTA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,2,2
CARANAVI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,3,3
CHALLAPATA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
CHARAGUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,17,17
CHUMA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
CLIZA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,4,4
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,22,22
COLCAPIRHUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
COLPA BELGICA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,3,3
COPACABANA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
CORIPATA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
CORO CORO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,3,3
COTAGAITA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
EL ALTO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,83,83
FERNANDEZ ALONSO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,25,25
GUAYARAMERIN,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,33,33
HUACARETA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,2,2
HUANUNI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,9,9
LA ASUNTA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
LA GUARDIA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,14,14
LA PAZ,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,137,137
LAGUNILLAS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
LLALLAGUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,7,7
LORETO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
MECAPACA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,5,5
MINEROS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,17,17
MONTEAGUDO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,8,8
MONTERO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,33,33
ORURO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,19,19
PAILON,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,3,3
PAPEL PAMPA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,3,3
POJO (CBBA),salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,13,13
PORTACHUELO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,76,76
PORVENIR,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
POTOSI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,17,17
PUERTO VILLARROEL,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
PUNA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
PUNATA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,15,15
QUILLACOLLO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,5,5
RIBERALTA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,37,37
SAN ANDRES,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,3,3
SAN BENITO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,2,2
SAN IGNACIO DE VELASCO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,2,2
SAN LUCAS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,2,2
SAN MATIAS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
SAN PEDRO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,2,2
SAN RAMON,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
SANTA ANA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,4,4
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,179,179
SANTA ROSA DEL SARA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,8,8
SICA SICA (VILLA AROMA),salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,5,5
SUCRE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,20,20
TARIJA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,50,50
TARVITA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,8,8
TIRAQUE (CBBA),salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,8,8
TORO TORO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
TOTORA(CBBA),salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,5,5
TOTORA(ORR),salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
TRINIDAD,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,254,254
UMALA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
URUBICHA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
VACAS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,3,3
VIACHA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,8,8
VILLA MONTES,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,3,3
VILLA TUNARI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,4,4
VILLAZON,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
WARNES,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,3,3
ZUDAÑEZ,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-01-01,1,1
AIQUILE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,1,1
ARQUE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,1,1
ASCENCION DE GUARAYOS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,3,3
AZURDUY,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,1,1
BATALLAS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,2,2
BETANZOS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,2,2
CAIROMA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,1,1
CALAMARCA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,1,1
CAMIRI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,1,1
CHALLAPATA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,1,1
CHARAGUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,2,2
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,9,9
COLPA BELGICA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,8,8
CORO CORO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,1,1
EL ALTO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,36,36
FERNANDEZ ALONSO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,14,14
LA PAZ,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,88,88
LLALLAGUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,6,6
LORETO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,1,1
MINEROS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,10,10
MIZQUE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,1,1
MONTEAGUDO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,2,2
MONTERO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,28,28
ORURO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,45,45
PATACAMAYA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,4,4
POCOATA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,1,1
POJO (CBBA),salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,18,18
PORTACHUELO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,49,49
POTOSI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,26,26
PUERTO VILLARROEL,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,118,118
PUNATA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,8,8
QUILLACOLLO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,5,5
RIBERALTA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,5,5
SACABA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,1,1
SAN BORJA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,9,9
SAN IGNACIO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,1,1
SAN IGNACIO DE VELASCO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,1,1
SAN JUAN DE YAPACANI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,2,2
SAN PEDRO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,5,5
SAN RAFAEL,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,1,1
SANTA ANA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,4,4
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,128,128
SANTA ROSA DEL SARA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,10,10
SUCRE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,3,3
TARABUCO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,1,1
TARIJA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,78,78
TARVITA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,4,4
TIQUIPAYA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,58,58
TOTORA(CBBA),salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,46,46
TRINIDAD,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,33,33
TUPIZA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,1,1
VACAS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,3,3
VILLA MONTES,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,1,1
VILLAZON,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,1,1
WARNES,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-02-01,5,5
ACHACACHI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,1,1
AIQUILE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,1,1
ASCENCION DE GUARAYOS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,6,6
ATOCHA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,3,3
AZURDUY,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,1,1
BUENA VISTA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,2,2
CAMIRI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,3,3
CAPINOTA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,2,2
CHARAGUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,1,1
CHULUMANI (V. DE LA LIBERTAD),salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,3,3
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,16,16
COLPA BELGICA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,2,2
COTOCA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,15,15
EL ALTO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,17,17
EL TORNO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,8,8
FERNANDEZ ALONSO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,1,1
GUAYARAMERIN,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,2,2
INCAHUASI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,1,1
LA GUARDIA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,22,22
LA PAZ,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,66,66
LLALLAGUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,2,2
MINEROS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,11,11
MONTEAGUDO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,8,8
MONTERO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,25,25
OMEREQUE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,2,2
ORURO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,21,21
PALOS BLANCOS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,4,4
PATACAMAYA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,3,3
POJO (CBBA),salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,13,13
PORTACHUELO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,36,36
POTOSI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,40,40
PUCARANI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,1,1
PUERTO RICO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,3,3
PUERTO VILLARROEL,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,125,125
PUNATA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,8,8
RIBERALTA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,15,15
RURRENABAQUE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,2,2
SACABA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,1,1
SAN CARLOS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,20,20
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,94,94
SANTA ROSA DEL SARA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,11,11
SOPACHUY,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,1,1
SUCRE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,1,1
TARIJA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,38,38
TARVITA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,2,2
TIRAQUE (CBBA),salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,19,19
TOTORA(CBBA),salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,4,4
TRINIDAD,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,17,17
UNCIA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,1,1
VIACHA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2007-03-01,1,1
