municipality,group,variable,month,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
CHIMORE,registro de eventos de notificacion inmediata,inundacion,2014-01-01,12.0,5008.0,0.0,5020.0
CLIZA,registro de eventos de notificacion inmediata,inundacion,2014-01-01,1.0,400.0,0.0,401.0
GUANAY,registro de eventos de notificacion inmediata,inundacion,2014-01-01,1.0,3500.0,0.0,3501.0
IXIAMAS,registro de eventos de notificacion inmediata,inundacion,2014-01-01,1.0,35.0,0.0,36.0
LORETO,registro de eventos de notificacion inmediata,inundacion,2014-01-01,1.0,150.0,0.0,151.0
PUERTO VILLARROEL,registro de eventos de notificacion inmediata,inundacion,2014-01-01,12.0,7437.0,0.0,7449.0
PUNATA,registro de eventos de notificacion inmediata,inundacion,2014-01-01,2.0,322.0,0.0,324.0
REYES,registro de eventos de notificacion inmediata,inundacion,2014-01-01,3.0,5075.0,0.0,5078.0
RURRENABAQUE,registro de eventos de notificacion inmediata,inundacion,2014-01-01,1.0,3600.0,0.0,3601.0
SAN BENITO,registro de eventos de notificacion inmediata,inundacion,2014-01-01,8.0,75.0,0.0,83.0
SAN BORJA,registro de eventos de notificacion inmediata,inundacion,2014-01-01,6.0,3104.0,0.0,3110.0
SANTA ANA,registro de eventos de notificacion inmediata,inundacion,2014-01-01,4.0,376.0,0.0,380.0
SANTA ROSA,registro de eventos de notificacion inmediata,inundacion,2014-01-01,1.0,484.0,0.0,485.0
SENA,registro de eventos de notificacion inmediata,inundacion,2014-01-01,1.0,30.0,0.0,31.0
TRINIDAD,registro de eventos de notificacion inmediata,inundacion,2014-01-01,1.0,312.0,0.0,313.0
VILLA TUNARI,registro de eventos de notificacion inmediata,inundacion,2014-01-01,1.0,250.0,0.0,251.0
YAPACANI,registro de eventos de notificacion inmediata,inundacion,2014-01-01,343.0,1372.0,0.0,1715.0
ALTO BENI,registro de eventos de notificacion inmediata,inundacion,2014-02-01,106.0,715.0,0.0,821.0
ASCENCION DE GUARAYOS,registro de eventos de notificacion inmediata,inundacion,2014-02-01,1.0,185.0,0.0,186.0
CHIMORE,registro de eventos de notificacion inmediata,inundacion,2014-02-01,8.0,5780.0,0.0,5788.0
CUATRO CAÑADAS,registro de eventos de notificacion inmediata,inundacion,2014-02-01,1.0,140.0,0.0,141.0
FILADELFIA,registro de eventos de notificacion inmediata,inundacion,2014-02-01,1.0,118.0,0.0,119.0
GUANAY,registro de eventos de notificacion inmediata,inundacion,2014-02-01,1.0,770.0,2.0,773.0
GUAYARAMERIN,registro de eventos de notificacion inmediata,inundacion,2014-02-01,2.0,239.0,0.0,241.0
LA ASUNTA,registro de eventos de notificacion inmediata,inundacion,2014-02-01,2.0,35.0,0.0,37.0
MAGDALENA,registro de eventos de notificacion inmediata,inundacion,2014-02-01,1.0,30.0,0.0,31.0
PALOS BLANCOS,registro de eventos de notificacion inmediata,inundacion,2014-02-01,9.0,104.0,0.0,113.0
PUERTO GONZALO MORENO,registro de eventos de notificacion inmediata,inundacion,2014-02-01,3.0,48.0,0.0,51.0
PUERTO RICO,registro de eventos de notificacion inmediata,inundacion,2014-02-01,1.0,176.0,0.0,177.0
PUERTO VILLARROEL,registro de eventos de notificacion inmediata,inundacion,2014-02-01,3.0,1138.0,0.0,1141.0
REYES,registro de eventos de notificacion inmediata,inundacion,2014-02-01,2.0,3548.0,0.0,3550.0
RIBERALTA,registro de eventos de notificacion inmediata,inundacion,2014-02-01,11.0,2548.0,2.0,2561.0
SAN BORJA,registro de eventos de notificacion inmediata,inundacion,2014-02-01,29.0,51243.0,0.0,51272.0
SAN JUAN DE YAPACANI,registro de eventos de notificacion inmediata,inundacion,2014-02-01,2.0,76.0,0.0,78.0
SAN RAMON SCZ,registro de eventos de notificacion inmediata,inundacion,2014-02-01,1.0,38.0,0.0,39.0
SANTA ANA,registro de eventos de notificacion inmediata,inundacion,2014-02-01,2.0,782.0,0.0,784.0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,inundacion,2014-02-01,0.0,437.0,0.0,437.0
SANTA ROSA,registro de eventos de notificacion inmediata,inundacion,2014-02-01,1.0,2676.0,0.0,2677.0
TEOPONTE,registro de eventos de notificacion inmediata,inundacion,2014-02-01,2.0,0.0,0.0,2.0
VILLA NUEVA (LOMA ALTA),registro de eventos de notificacion inmediata,inundacion,2014-02-01,1.0,7.0,0.0,8.0
YAMPARAEZ,registro de eventos de notificacion inmediata,inundacion,2014-02-01,1.0,0.0,0.0,1.0
