municipality,group,variable,month,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
AZURDUY,registro de eventos de notificacion inmediata,otros de excepcion,2014-02-01,0.0,93.0,0.0,93.0
CHIMORE,registro de eventos de notificacion inmediata,otros de excepcion,2014-02-01,1.0,80.0,0.0,81.0
ICLA,registro de eventos de notificacion inmediata,otros de excepcion,2014-02-01,1.0,80.0,0.0,81.0
LAGUNILLAS,registro de eventos de notificacion inmediata,otros de excepcion,2014-02-01,2.0,1334.0,0.0,1336.0
YAPACANI,registro de eventos de notificacion inmediata,otros de excepcion,2014-02-01,118.0,475.0,0.0,593.0
ENTRE RIOS CBBA,registro de eventos de notificacion inmediata,otros de excepcion,2014-03-01,0.0,0.0,1.0,1.0
SACACA,registro de eventos de notificacion inmediata,otros de excepcion,2014-03-01,1.0,1.0,1.0,3.0
TINGUIPAYA,registro de eventos de notificacion inmediata,otros de excepcion,2014-03-01,3.0,44.0,1.0,48.0
POTOSI,registro de eventos de notificacion inmediata,otros de excepcion,2014-04-01,0.0,1.0,0.0,1.0
RURRENABAQUE,registro de eventos de notificacion inmediata,otros de excepcion,2014-04-01,1.0,6.0,5.0,12.0
SAN PABLO DE LIPEZ,registro de eventos de notificacion inmediata,otros de excepcion,2014-05-01,1.0,3.0,0.0,4.0
SAN PEDRO DE QUEMES,registro de eventos de notificacion inmediata,otros de excepcion,2014-05-01,5.0,14.0,0.0,19.0
AZURDUY,registro de eventos de notificacion inmediata,otros de excepcion,2014-06-01,1.0,40.0,0.0,41.0
PADILLA,registro de eventos de notificacion inmediata,otros de excepcion,2014-09-01,1.0,18.0,0.0,19.0
ALTO BENI,registro de eventos de notificacion inmediata,otros de excepcion,2014-10-01,0.0,3.0,0.0,3.0
MAPIRI,registro de eventos de notificacion inmediata,otros de excepcion,2014-11-01,0.0,0.0,36.0,36.0
TIPUANI,registro de eventos de notificacion inmediata,otros de excepcion,2014-11-01,3.0,0.0,0.0,3.0
