municipality,group,variable,month,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
CAMARGO,registro de eventos de notificacion inmediata,riada,2014-01-01,1.0,2659.0,0.0,2660.0
ENTRE RIOS CBBA,registro de eventos de notificacion inmediata,riada,2014-01-01,1.0,10.0,0.0,11.0
ESCOMA,registro de eventos de notificacion inmediata,riada,2014-01-01,1.0,2965.0,0.0,2966.0
IXIAMAS,registro de eventos de notificacion inmediata,riada,2014-01-01,1.0,35.0,0.0,36.0
LA PAZ,registro de eventos de notificacion inmediata,riada,2014-01-01,3.0,3.0,0.0,6.0
OMEREQUE,registro de eventos de notificacion inmediata,riada,2014-01-01,1.0,1000.0,0.0,1001.0
PUERTO VILLARROEL,registro de eventos de notificacion inmediata,riada,2014-01-01,6.0,692.0,0.0,698.0
SAIPINA,registro de eventos de notificacion inmediata,riada,2014-01-01,1.0,1600.0,0.0,1601.0
SAN BENITO,registro de eventos de notificacion inmediata,riada,2014-01-01,1.0,0.0,0.0,1.0
SAN BORJA,registro de eventos de notificacion inmediata,riada,2014-01-01,4.0,40.0,1.0,45.0
SAN BUENA VENTURA,registro de eventos de notificacion inmediata,riada,2014-01-01,1.0,2500.0,0.0,2501.0
VILLA CHARCAS,registro de eventos de notificacion inmediata,riada,2014-01-01,2.0,1684.0,0.0,1686.0
VILLAZON,registro de eventos de notificacion inmediata,riada,2014-01-01,5.0,46.0,0.0,51.0
ALTO BENI,registro de eventos de notificacion inmediata,riada,2014-02-01,3.0,200.0,0.0,203.0
AZURDUY,registro de eventos de notificacion inmediata,riada,2014-02-01,1.0,6.0,0.0,7.0
CABEZAS,registro de eventos de notificacion inmediata,riada,2014-02-01,1.0,60.0,0.0,61.0
CARANAVI,registro de eventos de notificacion inmediata,riada,2014-02-01,3.0,401.0,0.0,404.0
CARAPARI,registro de eventos de notificacion inmediata,riada,2014-02-01,1.0,0.0,0.0,1.0
COTAGAITA,registro de eventos de notificacion inmediata,riada,2014-02-01,1.0,40.0,0.0,41.0
ICLA,registro de eventos de notificacion inmediata,riada,2014-02-01,1.0,1.0,1.0,3.0
LA ASUNTA,registro de eventos de notificacion inmediata,riada,2014-02-01,2.0,30.0,0.0,32.0
PALOS BLANCOS,registro de eventos de notificacion inmediata,riada,2014-02-01,5.0,206.0,0.0,211.0
PUERTO VILLARROEL,registro de eventos de notificacion inmediata,riada,2014-02-01,2.0,0.0,0.0,2.0
SAN BORJA,registro de eventos de notificacion inmediata,riada,2014-02-01,0.0,2142.0,0.0,2142.0
YAPACANI,registro de eventos de notificacion inmediata,riada,2014-02-01,19.0,115.0,0.0,134.0
ZUDAÑEZ,registro de eventos de notificacion inmediata,riada,2014-02-01,1.0,2.0,1.0,4.0
COMARAPA,registro de eventos de notificacion inmediata,riada,2014-03-01,3.0,0.0,0.0,3.0
GUAYARAMERIN,registro de eventos de notificacion inmediata,riada,2014-03-01,1.0,8.0,0.0,9.0
PORONGO,registro de eventos de notificacion inmediata,riada,2014-03-01,1.0,30.0,0.0,31.0
SAN LUCAS,registro de eventos de notificacion inmediata,riada,2014-03-01,1.0,80.0,0.0,81.0
TIRAQUE (CBBA),registro de eventos de notificacion inmediata,riada,2014-03-01,1.0,0.0,0.0,1.0
LAGUNILLAS,registro de eventos de notificacion inmediata,riada,2014-04-01,1.0,20.0,0.0,21.0
CARANAVI,registro de eventos de notificacion inmediata,riada,2014-07-01,2.0,4.0,0.0,6.0
SAN LUCAS,registro de eventos de notificacion inmediata,riada,2014-10-01,1.0,70.0,0.0,71.0
CAMATAQUI (C. VILLA ABECIA),registro de eventos de notificacion inmediata,riada,2014-12-01,2.0,773.0,0.0,775.0
TIPUANI,registro de eventos de notificacion inmediata,riada,2014-12-01,1.0,20.0,0.0,21.0
