municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 14 años,15 a 59 años,60 y más,TOTAL
COCHABAMBA,sospecha diagnostica,fiebre amarilla,2006-01-01,0.0,0.0,0.0,1.0,0.0,1.0
ENTRE RIOS,sospecha diagnostica,fiebre amarilla,2006-01-01,0.0,0.0,0.0,1.0,0.0,1.0
GUANAY,sospecha diagnostica,fiebre amarilla,2006-01-01,0.0,0.0,0.0,1.0,0.0,1.0
MONTERO,sospecha diagnostica,fiebre amarilla,2006-01-01,0.0,0.0,0.0,2.0,0.0,2.0
PUERTO VILLARROEL,sospecha diagnostica,fiebre amarilla,2006-01-01,0.0,0.0,0.0,3.0,0.0,3.0
TEOPONTE,sospecha diagnostica,fiebre amarilla,2006-01-01,0.0,0.0,0.0,1.0,0.0,1.0
YAPACANI,sospecha diagnostica,fiebre amarilla,2006-01-01,0.0,0.0,0.0,1.0,0.0,1.0
BUENA VISTA,sospecha diagnostica,fiebre amarilla,2006-02-01,0.0,0.0,0.0,1.0,1.0,2.0
COCHABAMBA,sospecha diagnostica,fiebre amarilla,2006-02-01,0.0,0.0,0.0,2.0,0.0,2.0
EL ALTO,sospecha diagnostica,fiebre amarilla,2006-02-01,0.0,0.0,0.0,2.0,0.0,2.0
MONTERO,sospecha diagnostica,fiebre amarilla,2006-02-01,0.0,0.0,0.0,1.0,0.0,1.0
PUERTO VILLARROEL,sospecha diagnostica,fiebre amarilla,2006-02-01,0.0,0.0,0.0,5.0,0.0,5.0
PUNATA,sospecha diagnostica,fiebre amarilla,2006-02-01,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,fiebre amarilla,2006-02-01,0.0,0.0,0.0,5.0,1.0,6.0
YAPACANI,sospecha diagnostica,fiebre amarilla,2006-02-01,0.0,0.0,0.0,1.0,0.0,1.0
AIQUILE,sospecha diagnostica,fiebre amarilla,2006-03-01,0.0,0.0,0.0,1.0,0.0,1.0
CARANAVI,sospecha diagnostica,fiebre amarilla,2006-03-01,0.0,0.0,0.0,1.0,0.0,1.0
COCHABAMBA,sospecha diagnostica,fiebre amarilla,2006-03-01,0.0,0.0,0.0,1.0,0.0,1.0
EL ALTO,sospecha diagnostica,fiebre amarilla,2006-03-01,0.0,0.0,0.0,2.0,0.0,2.0
PUERTO VILLARROEL,sospecha diagnostica,fiebre amarilla,2006-03-01,0.0,0.0,0.0,3.0,0.0,3.0
SUCRE,sospecha diagnostica,fiebre amarilla,2006-03-01,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,fiebre amarilla,2006-03-01,0.0,0.0,0.0,3.0,0.0,3.0
YAPACANI,sospecha diagnostica,fiebre amarilla,2006-03-01,0.0,0.0,0.0,2.0,0.0,2.0
PUERTO VILLARROEL,sospecha diagnostica,fiebre amarilla,2006-04-01,0.0,0.0,0.0,2.0,0.0,2.0
SUCRE,sospecha diagnostica,fiebre amarilla,2006-04-01,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,fiebre amarilla,2006-04-01,0.0,0.0,1.0,0.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,fiebre amarilla,2006-05-01,0.0,0.0,0.0,1.0,0.0,1.0
COCHABAMBA,sospecha diagnostica,fiebre amarilla,2006-07-01,0.0,0.0,0.0,2.0,0.0,2.0
EL ALTO,sospecha diagnostica,fiebre amarilla,2006-07-01,0.0,0.0,0.0,1.0,0.0,1.0
COCHABAMBA,sospecha diagnostica,fiebre amarilla,2006-09-01,0.0,0.0,0.0,2.0,0.0,2.0
COCHABAMBA,sospecha diagnostica,fiebre amarilla,2006-10-01,0.0,0.0,0.0,2.0,0.0,2.0
YAPACANI,sospecha diagnostica,fiebre amarilla,2006-10-01,0.0,0.0,0.0,2.0,0.0,2.0
