municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 14 años,15 a 59 años,60 y más,TOTAL
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,rabia humana,2006-02-01,0.0,0.0,1.0,0.0,0.0,1.0
POTOSI,sospecha diagnostica,rabia humana,2006-03-01,0.0,0.0,0.0,0.0,1.0,1.0
SUCRE,sospecha diagnostica,rabia humana,2006-03-01,0.0,0.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,rabia humana,2006-05-01,0.0,1.0,0.0,0.0,0.0,1.0
SUCRE,sospecha diagnostica,rabia humana,2006-05-01,0.0,1.0,1.0,0.0,0.0,2.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,rabia humana,2006-06-01,0.0,1.0,1.0,0.0,0.0,2.0
VILLAZON,sospecha diagnostica,rabia humana,2006-08-01,0.0,0.0,0.0,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,rabia humana,2006-11-01,0.0,0.0,1.0,0.0,0.0,1.0
SUCRE,sospecha diagnostica,rabia humana,2006-11-01,0.0,0.0,0.0,0.0,1.0,1.0
ANZALDO,sospecha diagnostica,rabia humana,2006-12-01,0.0,0.0,0.0,0.0,1.0,1.0
TIRAQUE (CBBA),sospecha diagnostica,rabia humana,2006-12-01,0.0,0.0,0.0,1.0,0.0,1.0
