municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 14 años,15 a 59 años,60 y más,TOTAL
COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2006-01-01,0,1,0,0,0,1
COLCAPIRHUA,sospecha diagnostica,sarampion / rubeola,2006-01-01,0,0,1,0,0,1
EL ALTO,sospecha diagnostica,sarampion / rubeola,2006-01-01,0,0,3,1,0,4
QUILLACOLLO,sospecha diagnostica,sarampion / rubeola,2006-01-01,1,1,0,0,0,2
SACABA,sospecha diagnostica,sarampion / rubeola,2006-01-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2006-01-01,0,1,0,0,0,1
TARIJA,sospecha diagnostica,sarampion / rubeola,2006-01-01,1,0,0,0,0,1
VILLA SERRANO,sospecha diagnostica,sarampion / rubeola,2006-01-01,1,0,0,0,0,1
COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2006-02-01,1,1,0,0,0,2
EL ALTO,sospecha diagnostica,sarampion / rubeola,2006-02-01,0,2,1,0,0,3
QUILLACOLLO,sospecha diagnostica,sarampion / rubeola,2006-02-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2006-02-01,2,3,0,0,0,5
TARIJA,sospecha diagnostica,sarampion / rubeola,2006-02-01,1,1,0,0,0,2
CAMIRI,sospecha diagnostica,sarampion / rubeola,2006-03-01,0,1,0,0,0,1
COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2006-03-01,2,1,0,1,0,4
EL ALTO,sospecha diagnostica,sarampion / rubeola,2006-03-01,0,1,0,1,0,2
MOJOCOYA,sospecha diagnostica,sarampion / rubeola,2006-03-01,0,0,1,0,0,1
PORTACHUELO,sospecha diagnostica,sarampion / rubeola,2006-03-01,0,0,1,0,0,1
POTOSI,sospecha diagnostica,sarampion / rubeola,2006-03-01,0,1,0,0,0,1
QUILLACOLLO,sospecha diagnostica,sarampion / rubeola,2006-03-01,1,1,1,1,0,4
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2006-03-01,0,0,2,0,0,2
SUCRE,sospecha diagnostica,sarampion / rubeola,2006-03-01,1,0,0,0,0,1
COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2006-04-01,3,0,0,0,0,3
COLCAPIRHUA,sospecha diagnostica,sarampion / rubeola,2006-04-01,1,0,0,0,0,1
EL ALTO,sospecha diagnostica,sarampion / rubeola,2006-04-01,0,1,2,0,0,3
ORURO,sospecha diagnostica,sarampion / rubeola,2006-04-01,0,0,1,0,0,1
POTOSI,sospecha diagnostica,sarampion / rubeola,2006-04-01,0,1,0,0,0,1
QUILLACOLLO,sospecha diagnostica,sarampion / rubeola,2006-04-01,1,0,0,0,0,1
SUCRE,sospecha diagnostica,sarampion / rubeola,2006-04-01,0,0,1,0,0,1
TARIJA,sospecha diagnostica,sarampion / rubeola,2006-04-01,1,0,0,0,0,1
COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2006-05-01,0,0,1,1,0,2
EL ALTO,sospecha diagnostica,sarampion / rubeola,2006-05-01,0,0,0,1,0,1
LA PAZ,sospecha diagnostica,sarampion / rubeola,2006-05-01,1,0,0,0,0,1
PADILLA,sospecha diagnostica,sarampion / rubeola,2006-05-01,0,0,1,0,0,1
QUILLACOLLO,sospecha diagnostica,sarampion / rubeola,2006-05-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2006-05-01,0,1,4,0,0,5
SUCRE,sospecha diagnostica,sarampion / rubeola,2006-05-01,0,0,3,0,0,3
EL ALTO,sospecha diagnostica,sarampion / rubeola,2006-06-01,0,0,0,1,0,1
ORURO,sospecha diagnostica,sarampion / rubeola,2006-06-01,0,0,2,0,0,2
POTOSI,sospecha diagnostica,sarampion / rubeola,2006-06-01,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2006-06-01,0,1,0,1,0,2
TARIJA,sospecha diagnostica,sarampion / rubeola,2006-06-01,1,0,0,0,0,1
YAMPARAEZ,sospecha diagnostica,sarampion / rubeola,2006-06-01,1,0,0,0,0,1
EL ALTO,sospecha diagnostica,sarampion / rubeola,2006-07-01,1,0,0,0,0,1
PORTACHUELO,sospecha diagnostica,sarampion / rubeola,2006-07-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2006-07-01,0,1,1,1,0,3
CHAYANTA,sospecha diagnostica,sarampion / rubeola,2006-08-01,0,0,1,0,0,1
COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2006-08-01,1,1,0,0,0,2
ORURO,sospecha diagnostica,sarampion / rubeola,2006-08-01,0,0,1,0,0,1
QUILLACOLLO,sospecha diagnostica,sarampion / rubeola,2006-08-01,0,1,1,0,0,2
TARIJA,sospecha diagnostica,sarampion / rubeola,2006-08-01,11,0,0,0,0,11
BERMEJO,sospecha diagnostica,sarampion / rubeola,2006-09-01,0,2,0,0,0,2
COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2006-09-01,2,2,1,0,0,5
LA PAZ,sospecha diagnostica,sarampion / rubeola,2006-09-01,1,0,0,0,0,1
MONTEAGUDO,sospecha diagnostica,sarampion / rubeola,2006-09-01,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2006-09-01,0,1,0,0,0,1
