municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 14 años,15 a 59 años,60 y más,TOTAL
CARANAVI,sospecha diagnostica,dengue clasico,2006-01-01,1,1,0,5,0,7
COBIJA,sospecha diagnostica,dengue clasico,2006-01-01,0,0,0,1,0,1
EL TORNO,sospecha diagnostica,dengue clasico,2006-01-01,0,2,2,2,0,6
FILADELFIA,sospecha diagnostica,dengue clasico,2006-01-01,0,0,0,1,1,2
GENERAL SAAVEDRA,sospecha diagnostica,dengue clasico,2006-01-01,0,0,1,0,0,1
GUANAY,sospecha diagnostica,dengue clasico,2006-01-01,1,1,0,6,0,8
IXIAMAS,sospecha diagnostica,dengue clasico,2006-01-01,0,0,2,3,0,5
MONTERO,sospecha diagnostica,dengue clasico,2006-01-01,0,0,1,2,0,3
PORTACHUELO,sospecha diagnostica,dengue clasico,2006-01-01,0,0,0,3,0,3
RIBERALTA,sospecha diagnostica,dengue clasico,2006-01-01,2,10,20,41,3,76
RURRENABAQUE,sospecha diagnostica,dengue clasico,2006-01-01,0,0,0,4,1,5
SAMAIPATA,sospecha diagnostica,dengue clasico,2006-01-01,0,0,1,0,0,1
SAN CARLOS,sospecha diagnostica,dengue clasico,2006-01-01,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,sospecha diagnostica,dengue clasico,2006-01-01,0,10,27,12,1,50
SAN MIGUEL DE VELASCO,sospecha diagnostica,dengue clasico,2006-01-01,0,0,3,2,0,5
SAN RAFAEL,sospecha diagnostica,dengue clasico,2006-01-01,0,0,0,3,0,3
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,dengue clasico,2006-01-01,0,0,0,21,2,23
TIPUANI,sospecha diagnostica,dengue clasico,2006-01-01,0,0,0,3,0,3
TIRAQUE (CBBA),sospecha diagnostica,dengue clasico,2006-01-01,0,0,1,3,0,4
VILLA TUNARI,sospecha diagnostica,dengue clasico,2006-01-01,0,0,2,11,4,17
BUENA VISTA,sospecha diagnostica,dengue clasico,2006-02-01,0,0,1,3,0,4
CARANAVI,sospecha diagnostica,dengue clasico,2006-02-01,0,0,0,1,0,1
CHIMORE,sospecha diagnostica,dengue clasico,2006-02-01,0,0,0,0,1,1
COBIJA,sospecha diagnostica,dengue clasico,2006-02-01,0,0,1,1,0,2
EL TORNO,sospecha diagnostica,dengue clasico,2006-02-01,0,0,1,13,1,15
GUANAY,sospecha diagnostica,dengue clasico,2006-02-01,0,4,0,10,1,15
INGAVI (HUMAITA),sospecha diagnostica,dengue clasico,2006-02-01,0,0,0,1,0,1
IXIAMAS,sospecha diagnostica,dengue clasico,2006-02-01,0,0,0,3,0,3
MONTERO,sospecha diagnostica,dengue clasico,2006-02-01,0,0,0,1,0,1
PORTACHUELO,sospecha diagnostica,dengue clasico,2006-02-01,0,0,1,2,0,3
PUERTO VILLARROEL,sospecha diagnostica,dengue clasico,2006-02-01,0,1,0,2,0,3
RIBERALTA,sospecha diagnostica,dengue clasico,2006-02-01,10,17,11,16,1,55
ROBORE,sospecha diagnostica,dengue clasico,2006-02-01,0,1,0,1,0,2
SAN BUENA VENTURA,sospecha diagnostica,dengue clasico,2006-02-01,0,0,0,3,0,3
SAN CARLOS,sospecha diagnostica,dengue clasico,2006-02-01,0,0,0,3,0,3
