,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
BERMEJO,tuberculosis y lepra,rafa reacciones adversas (leves y moderadas),2009-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
CORO CORO,tuberculosis y lepra,rafa reacciones adversas (leves y moderadas),2009-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
EL PUENTE(TJA),tuberculosis y lepra,rafa reacciones adversas (leves y moderadas),2009-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
LA PAZ,tuberculosis y lepra,rafa reacciones adversas (leves y moderadas),2009-01-01,0,0,0,0,0,0,1,2,9,3,0,0,10,5,15
LAGUNILLAS,tuberculosis y lepra,rafa reacciones adversas (leves y moderadas),2009-01-01,0,0,2,2,2,1,3,3,0,2,0,1,7,9,16
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,rafa reacciones adversas (leves y moderadas),2009-01-01,0,0,0,0,0,0,0,1,0,1,0,1,0,3,3
TIRAQUE (CBBA),tuberculosis y lepra,rafa reacciones adversas (leves y moderadas),2009-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
BERMEJO,tuberculosis y lepra,rafa reacciones adversas (leves y moderadas),2009-02-01,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3
LA PAZ,tuberculosis y lepra,rafa reacciones adversas (leves y moderadas),2009-02-01,0,0,0,0,0,0,1,2,12,1,0,0,13,3,16
MONTERO,tuberculosis y lepra,rafa reacciones adversas (leves y moderadas),2009-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
POTOSI,tuberculosis y lepra,rafa reacciones adversas (leves y moderadas),2009-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,rafa reacciones adversas (leves y moderadas),2009-02-01,0,0,0,0,0,0,0,1,1,2,0,0,1,3,4
TARIJA,tuberculosis y lepra,rafa reacciones adversas (leves y moderadas),2009-02-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
TRINIDAD,tuberculosis y lepra,rafa reacciones adversas (leves y moderadas),2009-02-01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BUENA VISTA,tuberculosis y lepra,rafa reacciones adversas (leves y moderadas),2009-03-01,0,0,0,0,0,0,2,0,1,1,1,0,4,1,5
LA PAZ,tuberculosis y lepra,rafa reacciones adversas (leves y moderadas),2009-03-01,0,0,0,0,0,0,0,0,6,3,0,0,6,3,9
POTOSI,tuberculosis y lepra,rafa reacciones adversas (leves y moderadas),2009-03-01,8,10,8,7,0,0,0,1,0,2,0,0,16,20,36
PUNA,tuberculosis y lepra,rafa reacciones adversas (leves y moderadas),2009-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
