municipality,group,variable,month,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
ICHOCA,registro de eventos de notificacion inmediata,deslizamiento,2012-01-01,1.0,5.0,0.0,6.0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,deslizamiento,2012-01-01,0.0,0.0,0.0,0.0
APOLO,registro de eventos de notificacion inmediata,deslizamiento,2012-02-01,2.0,0.0,0.0,2.0
ICHOCA,registro de eventos de notificacion inmediata,deslizamiento,2012-02-01,3.0,75.0,0.0,78.0
INQUISIVI,registro de eventos de notificacion inmediata,deslizamiento,2012-02-01,2.0,0.0,0.0,2.0
LA PAZ,registro de eventos de notificacion inmediata,deslizamiento,2012-02-01,1.0,45.0,0.0,46.0
SORATA,registro de eventos de notificacion inmediata,deslizamiento,2012-02-01,1.0,20.0,0.0,21.0
EL ALTO,registro de eventos de notificacion inmediata,deslizamiento,2012-03-01,0.0,10.0,0.0,10.0
ICHOCA,registro de eventos de notificacion inmediata,deslizamiento,2012-04-01,1.0,30.0,0.0,31.0
LA PAZ,registro de eventos de notificacion inmediata,deslizamiento,2012-08-01,1.0,0.0,0.0,1.0
CHUQUIHUTA AYLLU JUCUMANI,registro de eventos de notificacion inmediata,deslizamiento,2012-12-01,1.0,55.0,0.0,56.0
GRAL. J.J. PEREZ (CHARAZANI),registro de eventos de notificacion inmediata,deslizamiento,2012-12-01,1.0,2.0,1.0,4.0
ICHOCA,registro de eventos de notificacion inmediata,deslizamiento,2012-12-01,5.0,1179.0,0.0,1184.0
ICLA,registro de eventos de notificacion inmediata,deslizamiento,2012-12-01,1.0,240.0,0.0,241.0
YUNCHARA,registro de eventos de notificacion inmediata,deslizamiento,2012-12-01,1.0,450.0,0.0,451.0
