,group,variable,month,10 - 14 años,10 - 14 años,15 - 19 años,15 - 19 años,20 - 39 años,20 - 39 años,40 - 49 años,40 - 49 años,50 - 59 años,50 - 59 años,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,
APOLO,mortalidad materna,muerte materna confirmada,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
COCHABAMBA,mortalidad materna,muerte materna confirmada,2015-01-01,0,0,0,0,2,0,0,0,0,0,2,0,2
EL ALTO,mortalidad materna,muerte materna confirmada,2015-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
ORURO,mortalidad materna,muerte materna confirmada,2015-01-01,0,0,0,0,0,1,0,0,0,0,0,1,1
POTOSI,mortalidad materna,muerte materna confirmada,2015-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SACACA,mortalidad materna,muerte materna confirmada,2015-01-01,0,0,0,0,0,1,0,0,0,0,0,1,1
TIRAQUE (CBBA),mortalidad materna,muerte materna confirmada,2015-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
UNCIA,mortalidad materna,muerte materna confirmada,2015-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
YACO,mortalidad materna,muerte materna confirmada,2015-01-01,0,0,0,0,0,1,0,0,0,0,0,1,1
COCHABAMBA,mortalidad materna,muerte materna confirmada,2015-02-01,0,0,0,1,1,0,0,0,0,0,1,1,2
COLQUECHACA,mortalidad materna,muerte materna confirmada,2015-02-01,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,mortalidad materna,muerte materna confirmada,2015-02-01,0,0,0,0,1,0,0,0,0,0,1,0,1
LA PAZ,mortalidad materna,muerte materna confirmada,2015-02-01,0,0,1,0,0,1,0,0,0,0,1,1,2
MIZQUE,mortalidad materna,muerte materna confirmada,2015-02-01,0,0,0,0,0,1,0,0,0,0,0,1,1
ORURO,mortalidad materna,muerte materna confirmada,2015-02-01,0,0,0,0,0,2,0,0,0,0,0,2,2
