,group,variable,month,10 - 14 años,10 - 14 años,15 - 19 años,15 - 19 años,20 - 39 años,20 - 39 años,40 - 49 años,40 - 49 años,50 - 59 años,50 - 59 años,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,
COCHABAMBA,mortalidad materna,muerte materna notificada,2015-01-01,0,0,0,0,2,0,0,0,0,0,2,0,2
COLQUECHACA,mortalidad materna,muerte materna notificada,2015-01-01,0,0,0,0,0,1,0,0,0,0,0,1,1
FERNANDEZ ALONSO,mortalidad materna,muerte materna notificada,2015-01-01,0,0,0,0,4,0,0,0,0,0,4,0,4
TIRAQUE (CBBA),mortalidad materna,muerte materna notificada,2015-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
UNCIA,mortalidad materna,muerte materna notificada,2015-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
YACO,mortalidad materna,muerte materna notificada,2015-01-01,0,0,0,0,0,1,0,0,0,0,0,1,1
COCHABAMBA,mortalidad materna,muerte materna notificada,2015-02-01,0,0,0,1,1,0,0,0,0,0,1,1,2
MIZQUE,mortalidad materna,muerte materna notificada,2015-02-01,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN BORJA,mortalidad materna,muerte materna notificada,2015-02-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna notificada,2015-02-01,0,0,2,0,1,0,0,0,0,0,3,0,3
TRINIDAD,mortalidad materna,muerte materna notificada,2015-02-01,0,0,1,0,0,0,0,0,0,0,1,0,1
YAPACANI,mortalidad materna,muerte materna notificada,2015-02-01,0,0,0,0,1,0,0,0,0,0,1,0,1
ASCENCION DE GUARAYOS,mortalidad materna,muerte materna notificada,2015-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),mortalidad materna,muerte materna notificada,2015-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
