municipality,group,variable,month,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
EL ALTO,registro de eventos de notificacion inmediata,riada,2010-01-01,1.0,450.0,0.0,451.0
GENERAL SAAVEDRA,registro de eventos de notificacion inmediata,riada,2010-01-01,3.0,71.0,0.0,74.0
VILLAZON,registro de eventos de notificacion inmediata,riada,2010-01-01,2.0,70.0,0.0,72.0
CARAPARI,registro de eventos de notificacion inmediata,riada,2010-02-01,1.0,9.0,0.0,10.0
CHIMORE,registro de eventos de notificacion inmediata,riada,2010-02-01,1.0,0.0,0.0,1.0
GENERAL SAAVEDRA,registro de eventos de notificacion inmediata,riada,2010-02-01,0.0,31.0,0.0,31.0
PADCAYA,registro de eventos de notificacion inmediata,riada,2010-02-01,4.0,0.0,0.0,4.0
SAN ANTONIO DE ESMORUCO,registro de eventos de notificacion inmediata,riada,2010-02-01,1.0,28.0,0.0,29.0
TUPIZA,registro de eventos de notificacion inmediata,riada,2010-02-01,8.0,132.0,0.0,140.0
VILLAZON,registro de eventos de notificacion inmediata,riada,2010-02-01,2.0,9.0,0.0,11.0
BUENA VISTA,registro de eventos de notificacion inmediata,riada,2010-03-01,1.0,200.0,0.0,201.0
TUPIZA,registro de eventos de notificacion inmediata,riada,2010-03-01,1.0,432.0,0.0,433.0
COTAGAITA,registro de eventos de notificacion inmediata,riada,2010-12-01,1.0,300.0,0.0,301.0
POSTRER VALLE,registro de eventos de notificacion inmediata,riada,2010-12-01,1.0,1.0,0.0,2.0
QUIME,registro de eventos de notificacion inmediata,riada,2010-12-01,1.0,2.0,0.0,3.0
VILLA TUNARI,registro de eventos de notificacion inmediata,riada,2010-12-01,1.0,0.0,0.0,1.0
