,group,variable,month,a. Menor de 6 meses,a. Menor de 6 meses,b. 6 meses a menor de 1 año,b. 6 meses a menor de 1 año,c. 1 - 4 años,c. 1 - 4 años,d. 5 - 9 años,d. 5 - 9 años,e. 10 - 14 años,e. 10 - 14 años,f. 15 - 19 años,f. 15 - 19 años,g. 20 - 39 años,g. 20 - 39 años,h. 40 - 49 años,h. 40 - 49 años,i. 50 - 59 años,i. 50 - 59 años,j. 60 años y más,j. 60 años y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ALCALA,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
BELLA FLOR,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,2,0,1,0,1,1,5,4,2,0,2,0,1,0,14,5,19
CAMATAQUI (C. VILLA ABECIA),enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAMIRI,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,3,2,3,5,3,1,4,4,11,1,1,2,3,4,6,19,34,53
COBIJA,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,3,2,5
COCHABAMBA,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CONCEPCION,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,2,4,1,9,3,3,3,0,5,4,19,1,3,3,4,6,11,30,51,81
COTOCA,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL TORNO,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,3
EL VILLAR,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
EUREKA (SANTOS MERCADO),enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,5,1,6
FILADELFIA,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
GUAYARAMERIN,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,1,7,7,21,16,10,15,11,19,32,40,18,19,7,10,12,11,118,138,256
ICLA,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
INGAVI (HUMAITA),enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,1,0,0,0,0,0,0,1,2,3,4,0,0,0,1,0,8,4,12
IXIAMAS,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,1,1,0,0,0,0,8,4,8,2,22,5,5,2,2,1,1,0,47,15,62
LAGUNILLAS,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,2,0,0,1,1,2,8,10
MACHARETI,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2
MOJOCOYA,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
MONTEAGUDO,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,2,0,1,3,0,2,1,3,3,2,0,0,1,0,0,10,8,18
NUEVO MANOA (NUEVA ESPERANZA),enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,4,4,8
PADILLA,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,3
POROMA,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
PORVENIR,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PRESTO,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
PUERTO GONZALO MORENO,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,1,0,0,4,2,6
PUERTO RICO,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,1,0,1,3,3,3,2,8,5,1,0,2,1,0,0,17,13,30
REYES,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,1,0,0,0,5,0,0,0,1,4,1,1,0,1,1,1,9,7,16
RIBERALTA,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,1,1,1,3,8,4,15,7,35,22,25,21,79,49,21,21,11,9,10,15,206,152,358
SAIPINA,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,2,3,0,1,1,1,2,13,8,28,3,16,5,11,6,8,27,81,108
SAN BORJA,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
SAN IGNACIO DE VELASCO,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,1,0,0,2,2,0,1,0,4,4,2,2,2,1,4,2,16,11,27
SAN JOSE DE CHIQUITOS,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,1,0,0,0,0,0,4,8,19,6,1,5,6,6,4,25,35,60
SAN LORENZO(PND),enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,2,0,0,0,2,2,6,4,0,0,0,0,0,1,10,7,17
SAN PEDRO(PND),enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
SANTA ROSA,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,3,0,0,1,1,0,3,3,1,0,1,0,0,0,9,4,13
SENA,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,1,2,3,4,3,5,4,3,6,10,11,6,7,3,1,1,0,34,36,70
SOPACHUY,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,4
SUCRE,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,3
TARABUCO,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,18,18
VILLA MONTES,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
VILLA SERRANO,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,1,0,1,0,0,2,0,2,1,0,0,1,1,1,4,6,10
YAMPARAEZ,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,1,5,6
ZUDAÑEZ,enfermedades transmitidas por vectores (etv),malaria,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
ALCALA,enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
BELLA FLOR,enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,0,0,0,0,0,0,0,0,5,2,7,3,2,0,1,0,1,0,16,5,21
CAMATAQUI (C. VILLA ABECIA),enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,6
CAMIRI,enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,0,0,0,1,1,1,0,1,0,0,0,1,2,0,0,0,0,4,3,8,11
CHARAGUA,enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,1,4,0,9,11,15,17,32
COBIJA,enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,0,0,0,2,0,0,1,0,1,1,4,4,2,0,0,1,0,2,8,10,18
CONCEPCION,enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,0,0,1,0,0,3,0,0,1,5,4,18,0,3,2,3,8,5,16,37,53
EL TORNO,enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,1,0,1,2,1,0,0,0,0,6,2,8,0,3,0,0,11,5,16,24,40
EL VILLAR,enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,1,6,7
EUREKA (SANTOS MERCADO),enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,2,4
FILADELFIA,enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,3
GUAYARAMERIN,enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,1,1,8,11,27,21,11,12,18,19,37,40,19,14,14,7,9,6,144,131,275
HUACAYA (VILLA DE HUACAYA),enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,1,3
INGAVI (HUMAITA),enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,2,4
IXIAMAS,enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,1,1,0,0,4,2,6,0,36,3,26,10,6,0,2,1,1,0,82,17,99
LAGUNILLAS,enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,0,0,0,1,0,1,0,1,0,1,0,8,1,0,0,0,0,1,1,13,14
MACHARETI,enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,0,0,0,1,6,7
MOJOCOYA,enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,0,0,0,0,1,0,2,1,2,4,6,4,1,0,0,0,0,0,12,9,21
NUEVO MANOA (NUEVA ESPERANZA),enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1,0,1,1,1,0,7,5,12
PADILLA,enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,10,10
PORONGO,enfermedades transmitidas por vectores (etv),malaria,2022-02-01,0,0,0,0,1,1,7,4,12,8,9,15,20,34,9,18,7,10,13,8,78,98,176
